date,open,high,low,close,volume,symbol
2023-09-20,24.92,24.92,24.92,24.92,2056299.0,ADGYO
2023-09-21,27.4,27.4,27.4,27.4,2875164.0,ADGYO
2023-09-22,30.14,30.14,30.14,30.14,7341140.0,ADGYO
2023-09-25,33.14,33.14,33.14,33.14,16716976.0,ADGYO
2023-09-26,36.44,36.44,36.44,36.44,25566012.0,ADGYO
2023-09-27,36.818,40.08,32.8,32.8,909994881.0,ADGYO
2023-09-28,29.724,30.6,29.52,29.52,417777042.0,ADGYO
2023-09-29,29.104,31.4,27.0,29.48,2626725101.0,ADGYO
2023-10-02,30.527,32.38,28.88,30.24,1535415189.0,ADGYO
2023-10-03,31.518,33.18,29.98,31.86,1469349172.0,ADGYO
2023-10-04,33.284,34.5,31.86,33.54,969646625.0,ADGYO
2023-10-05,31.893,34.38,30.88,31.56,1065684662.0,ADGYO
2023-10-06,32.792,34.46,30.54,33.08,1070716405.0,ADGYO
2023-10-09,32.317,33.6,31.34,31.34,464004822.0,ADGYO
2023-10-10,31.825,32.28,31.34,31.76,310679357.0,ADGYO
2023-10-11,33.655,34.92,31.52,34.92,741862492.0,ADGYO
2023-10-12,34.647,36.08,33.1,34.3,1088025178.0,ADGYO
2023-10-13,35.598,36.86,33.74,34.78,752756984.0,ADGYO
2023-10-16,34.804,35.98,33.1,33.34,433087039.0,ADGYO
2023-10-17,33.056,33.68,31.98,33.46,255611987.0,ADGYO
2023-10-18,31.969,32.8,31.1,32.5,288281563.0,ADGYO
2023-10-19,32.18,32.86,31.18,31.18,182721571.0,ADGYO
2023-10-20,30.728,31.98,29.82,31.22,202150674.0,ADGYO
2023-10-23,32.171,32.94,31.5,32.58,149148091.0,ADGYO
2023-10-24,33.102,33.7,31.8,33.34,128883674.0,ADGYO
2023-10-25,32.936,34.08,30.38,30.38,191958234.0,ADGYO
2023-10-26,30.524,31.76,29.38,31.76,207749226.0,ADGYO
2023-10-27,32.115,32.78,31.42,31.9,154938539.0,ADGYO
2023-10-30,34.129,35.08,31.72,35.08,377678649.0,ADGYO
2023-10-31,35.838,38.3,33.72,35.94,556641479.0,ADGYO
2023-11-01,35.546,37.6,33.96,36.0,274666777.0,ADGYO
2023-11-02,36.177,36.86,35.4,36.12,194716010.0,ADGYO
2023-11-03,37.573,38.44,36.02,37.4,345414910.0,ADGYO
2023-11-06,37.96,38.7,37.14,37.7,242022257.0,ADGYO
2023-11-07,37.858,39.78,36.72,38.2,351591494.0,ADGYO
2023-11-08,38.413,39.32,37.18,38.0,548780096.0,ADGYO
2023-11-09,38.567,39.04,37.5,38.02,274821032.0,ADGYO
2023-11-10,39.048,39.5,38.08,39.0,243361577.0,ADGYO
2023-11-13,38.534,39.62,37.2,37.2,244755055.0,ADGYO
2023-11-14,36.955,37.6,36.4,36.82,113867781.0,ADGYO
2023-11-15,37.397,38.0,35.96,37.58,204458004.0,ADGYO
2023-11-16,38.27,38.92,37.4,38.28,157033975.0,ADGYO
2023-11-17,39.202,40.0,38.06,39.22,211304680.0,ADGYO
2023-11-20,39.864,40.5,39.08,40.2,277524421.0,ADGYO
2023-11-21,40.307,40.8,39.74,39.82,144272816.0,ADGYO
2023-11-22,39.691,40.36,38.7,38.7,141257983.0,ADGYO
2023-11-23,38.998,39.68,38.2,38.2,94716398.0,ADGYO
2023-11-24,38.44,39.18,37.78,38.14,96493067.0,ADGYO
2023-11-27,37.649,38.4,36.98,37.02,122970088.0,ADGYO
2023-11-28,36.813,37.52,36.36,36.56,108968036.0,ADGYO
2023-11-29,36.379,36.96,35.5,36.36,112128895.0,ADGYO
2023-11-30,37.494,38.0,36.38,37.06,155660151.0,ADGYO
2023-12-01,36.437,37.6,35.36,35.6,77643319.0,ADGYO
2023-12-04,35.923,36.74,35.2,35.5,116641201.0,ADGYO
2023-12-05,35.322,36.28,34.64,34.78,122198091.0,ADGYO
2023-12-06,34.126,35.0,33.38,33.38,69772545.0,ADGYO
2023-12-07,33.094,33.62,32.44,33.6,69024506.0,ADGYO
2023-12-08,33.273,33.8,32.82,33.8,60978397.0,ADGYO
2023-12-11,32.025,33.66,30.98,31.14,88012598.0,ADGYO
2023-12-12,30.937,31.86,30.3,31.26,70434283.0,ADGYO
2023-12-13,30.352,31.22,29.72,29.96,55365493.0,ADGYO
2023-12-14,30.216,30.96,29.68,30.3,64581018.0,ADGYO
2023-12-15,30.575,31.08,30.2,30.5,95854944.0,ADGYO
2023-12-18,29.415,30.96,28.32,28.32,78305983.0,ADGYO
2023-12-19,27.869,28.56,27.26,28.3,100241351.0,ADGYO
2023-12-20,27.629,28.28,27.2,27.46,62275243.0,ADGYO
2023-12-21,27.466,28.24,26.62,27.66,63157633.0,ADGYO
2023-12-22,27.86,28.9,26.9,28.54,64986932.0,ADGYO
2023-12-25,27.312,28.2,26.2,28.1,34323682.0,ADGYO
2023-12-26,28.065,28.68,27.34,28.68,63788917.0,ADGYO
2023-12-27,28.034,28.68,27.64,28.08,58313819.0,ADGYO
2023-12-28,28.388,29.0,27.92,28.16,85663976.0,ADGYO
2023-12-29,28.522,28.94,28.06,28.6,55261007.0,ADGYO
2024-01-02,28.994,29.46,28.48,29.08,50015915.0,ADGYO
2024-01-03,28.34,29.14,27.76,28.3,65568546.0,ADGYO
2024-01-04,27.97,28.24,27.7,27.9,74004875.0,ADGYO
2024-01-05,29.054,30.68,27.24,29.24,161092589.0,ADGYO
2024-01-08,29.861,30.48,29.16,30.02,51252365.0,ADGYO
2024-01-09,30.147,30.74,29.46,30.26,68000784.0,ADGYO
2024-01-10,30.536,32.0,29.86,31.04,98928024.0,ADGYO
2024-01-11,30.401,31.32,29.66,29.74,71588173.0,ADGYO
2024-01-12,29.305,29.7,28.86,29.12,65616099.0,ADGYO
2024-01-15,29.411,29.78,26.68,29.5,70185858.0,ADGYO
2024-01-16,29.546,29.9,29.2,29.44,51834011.0,ADGYO
2024-01-17,29.225,29.5,28.96,29.22,64990374.0,ADGYO
2024-01-18,30.943,32.0,29.26,31.1,158687124.0,ADGYO
2024-01-19,31.631,32.28,30.3,31.7,107964450.0,ADGYO
2024-01-22,30.802,31.52,30.4,30.54,115975616.0,ADGYO
2024-01-23,30.319,30.88,29.86,29.88,70765778.0,ADGYO
2024-01-24,31.597,32.86,29.86,32.86,363309563.0,ADGYO
2024-01-25,32.073,35.0,31.4,31.9,497816601.0,ADGYO
2024-01-26,32.077,32.8,31.74,32.0,147020812.0,ADGYO
2024-01-29,32.586,33.38,31.64,33.0,251676048.0,ADGYO
2024-01-30,34.118,36.3,32.6,33.78,221459484.0,ADGYO
2024-01-31,33.807,34.22,33.3,33.3,104030116.0,ADGYO
2024-02-01,33.904,34.64,33.28,33.8,167827262.0,ADGYO
2024-02-02,33.757,34.12,33.3,33.46,150118653.0,ADGYO
2024-02-05,34.18,35.5,33.08,35.5,190340051.0,ADGYO
2024-02-06,34.87,36.0,34.26,35.1,237827316.0,ADGYO
2024-02-07,35.277,37.0,34.7,34.7,256236244.0,ADGYO
2024-02-08,34.799,35.1,34.24,34.24,127963624.0,ADGYO
2024-02-09,34.415,35.0,33.92,35.0,134791955.0,ADGYO
2024-02-12,34.994,35.4,34.7,34.7,114880528.0,ADGYO
2024-02-13,35.368,36.1,34.72,35.24,294937197.0,ADGYO
2024-02-14,35.539,35.94,35.1,35.52,147800068.0,ADGYO
2024-02-15,36.283,36.78,35.7,36.48,141305845.0,ADGYO
2024-02-16,37.177,37.82,36.5,37.38,173810987.0,ADGYO
2024-02-19,36.828,37.8,35.6,35.98,108552773.0,ADGYO
2024-02-20,35.924,36.52,35.2,35.8,98027967.0,ADGYO
2024-02-21,37.196,38.26,35.9,37.42,206893078.0,ADGYO
2024-02-22,38.182,38.7,37.32,38.2,128234322.0,ADGYO
2024-02-23,38.67,39.4,37.82,39.12,110077953.0,ADGYO
2024-02-26,38.362,39.6,37.56,37.78,143636077.0,ADGYO
2024-02-27,36.838,37.94,36.2,37.48,85967743.0,ADGYO
2024-02-28,36.844,37.58,35.62,36.06,75711709.0,ADGYO
2024-02-29,37.772,39.66,35.76,38.12,376371737.0,ADGYO
2024-03-01,37.992,38.38,37.42,37.42,121709280.0,ADGYO
2024-03-04,38.874,40.0,37.2,39.98,518602352.0,ADGYO
2024-03-05,39.06,41.48,38.06,39.0,288563387.0,ADGYO
2024-03-06,38.39,40.2,36.9,36.9,177907937.0,ADGYO
2024-03-07,37.021,37.8,36.56,37.1,194263106.0,ADGYO
2024-03-08,36.676,37.18,35.94,37.1,147195209.0,ADGYO
2024-03-11,37.051,37.5,36.82,37.06,109697195.0,ADGYO
2024-03-12,36.894,37.4,36.28,37.1,77561365.0,ADGYO
2024-03-13,36.603,37.5,36.26,36.26,75453343.0,ADGYO
2024-03-14,36.837,37.2,36.36,36.9,75515898.0,ADGYO
2024-03-15,36.053,37.12,34.94,34.94,73470431.0,ADGYO
2024-03-18,34.03,35.66,32.2,32.2,107020434.0,ADGYO
2024-03-19,32.217,32.62,31.76,32.18,47301005.0,ADGYO
2024-03-20,32.657,33.6,31.9,31.9,69421006.0,ADGYO
2024-03-21,31.175,32.3,30.38,30.48,101296672.0,ADGYO
2024-03-22,30.53,31.0,29.8,30.0,58144738.0,ADGYO
2024-03-25,30.156,30.62,29.74,29.98,47793423.0,ADGYO
2024-03-26,28.561,30.26,27.48,27.58,81218389.0,ADGYO
2024-03-27,27.76,28.36,27.08,27.84,59170038.0,ADGYO
2024-03-28,28.554,29.14,28.0,28.1,51405685.0,ADGYO
2024-03-29,28.355,29.02,27.8,28.98,37767121.0,ADGYO
2024-04-01,27.848,29.5,27.16,27.72,37303237.0,ADGYO
2024-04-02,27.741,28.2,27.32,27.96,99473282.0,ADGYO
2024-04-03,28.092,28.5,27.52,27.8,30736727.0,ADGYO
2024-04-04,28.016,28.66,27.3,27.58,44591132.0,ADGYO
2024-04-05,28.494,29.0,27.74,28.84,43860120.0,ADGYO
2024-04-08,29.631,30.2,29.02,30.2,40604814.0,ADGYO
2024-04-09,30.248,30.6,29.94,30.42,18532254.0,ADGYO
2024-04-15,30.243,30.98,28.82,30.2,56863861.0,ADGYO
2024-04-16,29.347,30.96,28.8,29.0,42908978.0,ADGYO
2024-04-17,29.67,30.02,29.14,29.58,58737098.0,ADGYO
2024-04-18,30.326,30.88,29.58,30.42,59528976.0,ADGYO
2024-04-19,30.367,31.16,29.84,30.8,45941598.0,ADGYO
2024-04-22,30.487,30.3,30.04,30.04,67377076.0,ADGYO
2024-04-24,30.063,30.5,29.6,30.0,42820891.0,ADGYO
2024-04-25,29.862,30.34,29.5,29.52,42242367.0,ADGYO
2024-04-26,29.521,29.94,28.72,29.7,41485496.0,ADGYO
2024-04-29,29.773,30.1,29.5,30.0,35598683.0,ADGYO
2024-04-30,30.081,30.84,29.6,29.86,90357571.0,ADGYO
2024-05-02,29.119,30.2,28.46,29.14,139665155.0,ADGYO
2024-05-03,29.314,29.68,28.82,29.0,85943203.0,ADGYO
2024-05-06,28.497,28.92,28.14,28.26,46400207.0,ADGYO
2024-05-07,28.337,28.88,27.94,28.1,49176223.0,ADGYO
2024-05-08,28.056,28.4,27.56,28.0,47591213.0,ADGYO
2024-05-09,28.082,28.4,27.5,28.24,63204084.0,ADGYO
2024-05-10,28.039,28.56,27.46,28.0,59642382.0,ADGYO
2024-05-13,27.169,28.08,26.36,26.36,40874581.0,ADGYO
2024-05-14,26.794,27.26,26.38,26.88,38238717.0,ADGYO
2024-05-15,27.331,27.84,26.62,27.4,36336983.0,ADGYO
2024-05-16,27.531,27.92,27.32,27.92,25236133.0,ADGYO
2024-05-17,28.031,28.6,27.62,28.54,41483525.0,ADGYO
2024-05-20,28.5,28.9,28.26,28.4,36557316.0,ADGYO
2024-05-21,28.122,28.58,27.66,27.82,49293188.0,ADGYO
2024-05-22,29.231,30.28,27.8,29.24,155485962.0,ADGYO
2024-05-23,29.828,30.18,28.9,29.9,68290319.0,ADGYO
2024-05-24,30.036,30.48,29.74,30.26,39377150.0,ADGYO
2024-05-27,29.021,30.76,28.16,28.72,92644246.0,ADGYO
2024-05-28,27.99,28.72,27.38,27.62,41735857.0,ADGYO
2024-05-29,27.242,28.04,26.7,26.96,48523511.0,ADGYO
2024-05-30,26.874,27.34,26.36,26.62,30445409.0,ADGYO
2024-05-31,26.618,27.0,25.98,26.88,34786621.0,ADGYO
2024-06-03,27.344,27.8,26.62,27.08,41542141.0,ADGYO
2024-06-04,26.562,27.22,25.74,25.74,41929646.0,ADGYO
2024-06-05,27.509,28.3,25.2,28.3,168698085.0,ADGYO
2024-06-06,28.317,29.1,27.66,27.66,119843103.0,ADGYO
2024-06-07,27.449,27.9,26.86,27.5,45046547.0,ADGYO
2024-06-10,26.981,27.5,26.6,26.98,27593097.0,ADGYO
2024-06-11,26.808,27.4,26.0,26.78,52535460.0,ADGYO
2024-06-12,27.915,28.8,26.3,28.0,129963350.0,ADGYO
2024-06-13,28.852,29.36,28.44,28.68,92647824.0,ADGYO
2024-06-14,29.923,30.52,28.8,30.0,146927154.0,ADGYO
2024-06-20,30.371,30.6,30.04,30.22,61441852.0,ADGYO
2024-06-21,30.135,30.5,29.96,29.96,79576900.0,ADGYO
2024-06-24,29.833,30.12,29.06,29.3,58305661.0,ADGYO
2024-06-25,29.416,29.72,29.04,29.1,61213235.0,ADGYO
2024-06-26,29.149,29.78,28.62,28.7,70573432.0,ADGYO
2024-06-27,28.589,28.94,28.2,28.52,46149111.0,ADGYO
2024-06-28,28.234,28.78,27.72,27.78,41745173.0,ADGYO
2024-07-01,26.767,27.86,26.06,26.36,42574233.0,ADGYO
2024-07-02,28.084,28.98,25.6,28.72,199333018.0,ADGYO
2024-07-03,30.006,30.74,28.6,30.08,143531538.0,ADGYO
2024-07-04,30.302,30.7,29.52,30.6,80107783.0,ADGYO
2024-07-05,31.559,32.18,30.72,31.36,88236052.0,ADGYO
2024-07-08,31.565,32.0,31.06,31.46,49746938.0,ADGYO
2024-07-09,31.217,31.9,30.5,30.58,49937041.0,ADGYO
2024-07-10,30.199,30.88,29.72,29.72,34563881.0,ADGYO
2024-07-11,30.008,30.2,29.72,29.88,30337029.0,ADGYO
2024-07-12,30.275,30.72,30.0,30.2,24885965.0,ADGYO
2024-07-16,31.205,31.7,30.22,31.44,46011974.0,ADGYO
2024-07-17,31.913,32.7,30.96,32.3,86717340.0,ADGYO
2024-07-18,32.364,32.78,32.16,32.3,47361722.0,ADGYO
2024-07-19,32.086,32.5,31.12,32.2,47513592.0,ADGYO
2024-07-22,33.524,34.4,32.24,34.08,397108310.0,ADGYO
2024-07-23,34.465,35.02,33.44,34.28,88239643.0,ADGYO
2024-07-24,34.306,35.2,33.4,34.6,118045899.0,ADGYO
2024-07-25,35.061,35.38,34.38,34.94,73691173.0,ADGYO
2024-07-26,35.039,35.3,34.76,35.0,81585531.0,ADGYO
2024-07-29,35.056,35.6,34.66,34.98,78662407.0,ADGYO
2024-07-30,35.359,35.8,34.76,34.92,72402220.0,ADGYO
2024-07-31,34.726,35.1,34.1,34.56,52347283.0,ADGYO
2024-08-01,35.656,36.9,34.7,35.98,71577409.0,ADGYO
2024-08-02,35.214,36.16,34.88,35.0,124163106.0,ADGYO
2024-08-05,33.801,34.54,32.84,33.7,74866661.0,ADGYO
2024-08-06,34.5,34.94,34.1,34.42,60476112.0,ADGYO
2024-08-07,34.655,35.0,34.36,34.5,38228778.0,ADGYO
2024-08-08,34.645,35.0,34.14,34.54,42496639.0,ADGYO
2024-08-09,34.875,35.5,34.38,34.98,69094675.0,ADGYO
2024-08-12,34.692,35.28,34.04,34.26,51178684.0,ADGYO
2024-08-13,33.742,34.62,33.0,33.48,41483827.0,ADGYO
2024-08-14,33.295,33.78,32.9,33.02,35075589.0,ADGYO
2024-08-15,32.986,33.5,32.68,33.04,90596128.0,ADGYO
2024-08-16,32.69,33.2,32.44,32.44,60155929.0,ADGYO
2024-08-19,32.684,33.02,32.16,32.64,67676716.0,ADGYO
2024-08-20,32.485,32.92,32.2,32.2,53232010.0,ADGYO
2024-08-21,32.186,32.56,31.88,31.88,56978276.0,ADGYO
2024-08-22,32.127,32.46,31.74,31.88,66697696.0,ADGYO
2024-08-23,32.19,33.48,31.38,31.38,56293608.0,ADGYO
2024-08-26,31.353,32.0,30.6,30.9,30422822.0,ADGYO
2024-08-27,31.303,31.8,30.78,31.1,28085775.0,ADGYO
2024-08-28,31.711,32.2,31.18,32.12,28668695.0,ADGYO
2024-08-29,31.995,32.32,31.68,31.88,25819945.0,ADGYO
2024-09-02,32.226,32.6,31.92,32.24,35872054.0,ADGYO
2024-09-03,32.877,33.38,32.28,33.1,67205224.0,ADGYO
2024-09-04,35.198,36.34,33.02,36.28,142697386.0,ADGYO
2024-09-05,36.343,37.16,35.72,35.72,81461901.0,ADGYO
2024-09-06,36.483,36.96,35.14,36.5,145435741.0,ADGYO
2024-09-09,36.111,36.7,35.3,35.36,60674286.0,ADGYO
2024-09-10,35.123,35.62,34.5,34.68,36995900.0,ADGYO
2024-09-11,33.91,34.74,32.96,33.9,130247463.0,ADGYO
2024-09-12,33.307,34.48,32.5,33.0,36623057.0,ADGYO
2024-09-13,34.147,35.44,33.0,35.12,62000477.0,ADGYO
2024-09-16,35.678,36.8,34.9,35.22,97664588.0,ADGYO
2024-09-17,36.008,36.68,35.46,35.5,73759431.0,ADGYO
2024-09-18,35.645,36.04,35.22,35.5,36417450.0,ADGYO
2024-09-19,35.247,35.96,34.9,35.5,58378109.0,ADGYO
2024-09-20,35.802,36.2,35.2,36.0,58909584.0,ADGYO
2024-09-23,35.916,36.84,35.28,35.7,54083721.0,ADGYO
2024-09-24,34.971,35.68,34.46,34.46,49096806.0,ADGYO
2024-09-25,34.371,34.8,33.64,33.64,37561670.0,ADGYO
2024-09-26,34.421,35.18,33.0,35.0,287608245.0,ADGYO
2024-09-27,35.035,35.8,34.5,34.5,46293240.0,ADGYO
2024-09-30,34.031,34.94,33.16,33.16,74984685.0,ADGYO
2024-10-01,33.04,33.56,31.7,33.3,202482108.0,ADGYO
2024-10-02,32.154,33.16,31.78,31.8,51422104.0,ADGYO
2024-10-03,31.961,32.4,31.8,31.8,37705616.0,ADGYO
2024-10-04,32.002,32.76,31.78,32.7,26492773.0,ADGYO
2024-10-07,31.901,33.3,30.6,30.62,83613889.0,ADGYO
2024-10-08,30.771,31.16,30.4,30.96,34169826.0,ADGYO
2024-10-09,30.828,31.16,30.4,30.7,22718588.0,ADGYO
2024-10-10,30.394,31.26,29.84,30.1,59043456.0,ADGYO
2024-10-11,30.011,30.36,29.86,30.3,92814145.0,ADGYO
2024-10-14,30.03,30.48,29.8,30.02,31064729.0,ADGYO
