date,open,high,low,close,volume,symbol
2025-01-23,34.84,34.84,34.84,34.84,262551801.0,AKFIS
2025-01-24,32.115,33.48,31.36,31.4,4007141525.0,AKFIS
2025-01-27,31.418,32.34,30.6,30.6,1211077787.0,AKFIS
2025-01-28,30.405,31.4,29.64,29.86,1410280891.0,AKFIS
2025-01-29,29.501,30.4,28.4,28.4,762068886.0,AKFIS
2025-01-30,28.151,28.84,27.44,27.5,574165814.0,AKFIS
2025-01-31,26.966,27.66,26.4,26.4,381405635.0,AKFIS
2025-02-03,25.921,26.7,25.46,25.56,372915709.0,AKFIS
2025-02-04,26.728,27.5,25.46,26.34,979926126.0,AKFIS
2025-02-05,26.471,27.3,25.6,25.84,861468568.0,AKFIS
2025-02-06,25.984,26.38,25.54,25.58,411744751.0,AKFIS
2025-02-07,25.364,25.78,24.98,25.1,305137243.0,AKFIS
2025-02-10,25.389,25.86,25.04,25.06,374267068.0,AKFIS
2025-02-11,24.907,25.28,24.56,24.66,220812796.0,AKFIS
2025-02-12,24.763,25.16,24.42,24.42,402683431.0,AKFIS
2025-02-13,24.353,24.62,24.04,24.04,218046871.0,AKFIS
2025-02-14,24.366,24.76,23.98,24.26,319980199.0,AKFIS
2025-02-17,24.567,24.9,24.32,24.42,226657506.0,AKFIS
2025-02-18,23.968,24.48,23.76,23.86,261064953.0,AKFIS
2025-02-19,23.497,24.06,23.0,23.0,309394147.0,AKFIS
2025-02-20,22.757,23.18,22.5,22.68,242417444.0,AKFIS
2025-02-21,22.492,22.94,21.6,21.6,373005780.0,AKFIS
2025-02-24,22.469,23.1,21.72,22.18,505188360.0,AKFIS
2025-02-25,21.77,22.22,21.36,21.4,194900593.0,AKFIS
2025-02-26,21.125,21.56,20.7,20.7,214302544.0,AKFIS
2025-02-27,21.833,22.76,20.72,22.04,615692971.0,AKFIS
2025-02-28,21.913,22.26,21.54,21.64,258831598.0,AKFIS
2025-03-03,21.935,22.46,21.56,21.56,287244612.0,AKFIS
2025-03-04,21.132,21.66,20.72,20.72,177314256.0,AKFIS
2025-03-05,21.075,21.28,20.84,21.1,187576260.0,AKFIS
2025-03-06,21.552,21.84,21.2,21.78,255231036.0,AKFIS
2025-03-07,21.794,22.14,21.58,21.76,169338422.0,AKFIS
2025-03-10,22.247,22.78,21.74,22.6,262169070.0,AKFIS
2025-03-11,22.119,22.82,21.94,22.02,154950932.0,AKFIS
2025-03-12,21.43,21.88,21.26,21.26,148049741.0,AKFIS
2025-03-13,21.492,21.7,21.32,21.5,131373444.0,AKFIS
2025-03-14,21.913,22.28,21.52,22.06,174607881.0,AKFIS
2025-03-17,22.203,22.46,21.98,22.22,175129205.0,AKFIS
2025-03-18,21.979,22.24,21.84,21.9,121058338.0,AKFIS
2025-03-19,20.357,21.12,19.71,19.72,172701464.0,AKFIS
2025-03-20,20.031,20.36,19.73,20.06,158096216.0,AKFIS
2025-03-21,18.893,20.0,18.06,18.08,105924667.0,AKFIS
2025-03-24,18.226,18.26,18.1,18.12,133982459.0,AKFIS
2025-03-25,19.619,19.93,19.0,19.93,174766731.0,AKFIS
2025-03-26,20.573,21.18,19.93,20.16,343364261.0,AKFIS
2025-03-27,20.175,20.66,19.73,19.84,151904018.0,AKFIS
2025-03-28,19.695,20.06,19.46,19.95,79533772.0,AKFIS
2025-04-02,20.429,21.06,19.7,20.3,202531020.0,AKFIS
2025-04-03,20.21,20.56,19.87,19.93,116191267.0,AKFIS
2025-04-04,19.749,20.04,19.55,19.6,95077621.0,AKFIS
2025-04-07,19.159,19.48,18.85,19.32,127608571.0,AKFIS
2025-04-08,19.583,19.73,19.46,19.65,93264898.0,AKFIS
2025-04-09,19.973,20.38,19.42,19.78,231643597.0,AKFIS
2025-04-10,20.146,20.44,19.97,20.26,125666537.0,AKFIS
2025-04-11,20.366,20.72,20.04,20.3,169407587.0,AKFIS
2025-04-14,20.407,20.72,20.14,20.36,137471890.0,AKFIS
2025-04-15,20.284,20.66,20.04,20.12,181664555.0,AKFIS
2025-04-16,20.09,20.46,19.95,19.97,145468275.0,AKFIS
2025-04-17,19.871,20.14,19.03,19.83,105765256.0,AKFIS
2025-04-18,19.924,20.08,19.81,19.9,66429398.0,AKFIS
2025-04-21,19.722,20.08,19.38,19.56,80044891.0,AKFIS
2025-04-22,19.553,19.75,19.38,19.39,59739572.0,AKFIS
2025-04-24,19.697,19.98,19.44,19.85,135744486.0,AKFIS
2025-04-25,20.234,20.5,19.86,20.3,132547502.0,AKFIS
2025-04-28,20.131,20.44,19.8,20.0,94792655.0,AKFIS
2025-04-29,19.945,20.1,19.81,19.95,76851390.0,AKFIS
2025-04-30,19.545,20.16,19.18,19.21,86186576.0,AKFIS
2025-05-02,19.231,19.39,19.13,19.2,69097506.0,AKFIS
2025-05-05,19.239,19.37,19.16,19.17,70911300.0,AKFIS
2025-05-06,19.365,19.53,19.22,19.32,82165454.0,AKFIS
2025-05-07,18.959,19.35,18.76,18.79,91479034.0,AKFIS
2025-05-08,19.001,19.29,18.84,19.11,88994851.0,AKFIS
2025-05-09,19.217,19.43,19.03,19.31,199365156.0,AKFIS
2025-05-12,19.614,19.75,19.45,19.73,120192919.0,AKFIS
2025-05-13,19.672,19.79,19.55,19.69,69702784.0,AKFIS
2025-05-14,19.832,20.0,19.66,19.72,93833187.0,AKFIS
2025-05-15,19.951,20.36,19.64,19.95,140606069.0,AKFIS
2025-05-16,19.791,20.12,19.53,19.67,107426932.0,AKFIS
2025-05-20,19.597,19.79,19.51,19.52,64863423.0,AKFIS
2025-05-21,19.549,19.73,19.39,19.45,105678565.0,AKFIS
2025-05-22,19.418,19.6,19.32,19.4,66708977.0,AKFIS
2025-05-23,20.478,21.1,19.4,20.66,551253704.0,AKFIS
2025-05-26,21.7,22.72,20.5,22.72,490688467.0,AKFIS
2025-05-27,22.727,24.2,21.56,21.88,1247475938.0,AKFIS
2025-05-28,22.868,23.88,21.7,22.48,755679997.0,AKFIS
2025-05-29,21.942,22.8,21.36,21.44,359720419.0,AKFIS
2025-05-30,22.611,23.58,20.88,23.58,994751450.0,AKFIS
2025-06-02,23.972,25.92,22.78,23.14,1732052442.0,AKFIS
2025-06-03,23.327,24.38,22.74,22.78,563697081.0,AKFIS
2025-06-04,22.799,23.22,22.38,22.44,369366396.0,AKFIS
2025-06-05,22.21,22.64,22.0,22.0,110451601.0,AKFIS
2025-06-10,22.023,22.32,21.8,21.88,228114863.0,AKFIS
2025-06-11,22.044,22.4,21.82,21.98,285151630.0,AKFIS
2025-06-12,23.374,24.16,21.8,24.16,1438151144.0,AKFIS
2025-06-13,24.455,26.5,22.88,25.0,2413866209.0,AKFIS
2025-06-16,25.019,26.7,23.54,23.54,1750189190.0,AKFIS
2025-06-17,23.465,23.96,23.0,23.38,597807299.0,AKFIS
2025-06-18,23.61,24.08,23.2,23.78,533294345.0,AKFIS
2025-06-19,23.453,24.0,22.98,23.06,274088724.0,AKFIS
2025-06-20,23.565,23.96,23.14,23.58,428084317.0,AKFIS
2025-06-23,24.175,25.92,22.72,23.5,1295137132.0,AKFIS
2025-06-24,23.578,24.18,23.1,23.36,466667609.0,AKFIS
2025-06-25,23.488,23.98,22.7,22.7,320783006.0,AKFIS
2025-06-26,22.548,22.94,22.14,22.16,204080984.0,AKFIS
2025-06-27,22.045,22.44,21.82,21.9,129150133.0,AKFIS
2025-06-30,22.182,22.42,21.86,22.22,168563090.0,AKFIS
2025-07-01,22.57,23.0,21.9,22.8,256988725.0,AKFIS
2025-07-02,22.795,23.14,22.62,22.64,217099597.0,AKFIS
2025-07-03,22.677,22.94,22.4,22.44,156098767.0,AKFIS
2025-07-04,22.309,22.56,22.18,22.22,106815175.0,AKFIS
2025-07-07,22.075,22.38,21.9,21.9,81584654.0,AKFIS
2025-07-08,21.829,22.18,21.46,21.52,112969109.0,AKFIS
2025-07-09,21.796,22.34,21.4,21.68,242357640.0,AKFIS
2025-07-10,21.894,22.18,21.72,21.8,149369898.0,AKFIS
2025-07-11,21.708,21.96,21.48,21.7,89289215.0,AKFIS
2025-07-14,21.754,21.86,21.66,21.78,100031051.0,AKFIS
2025-07-16,21.787,22.14,21.4,21.6,138173752.0,AKFIS
2025-07-17,21.876,22.1,21.66,21.98,169603279.0,AKFIS
2025-07-18,22.408,22.78,21.92,22.24,519154549.0,AKFIS
