date,open,high,low,close,volume,symbol
2025-01-02,7.416,7.61,7.27,7.39,108173416.0,AKGRT
2025-01-03,7.363,7.46,7.31,7.35,74951578.0,AKGRT
2025-01-06,7.319,7.39,7.23,7.24,91802650.0,AKGRT
2025-01-07,7.357,7.48,7.24,7.32,120755222.0,AKGRT
2025-01-08,7.289,7.36,7.2,7.22,61750507.0,AKGRT
2025-01-09,7.373,7.44,7.27,7.38,104249086.0,AKGRT
2025-01-10,7.525,7.62,7.39,7.49,135139566.0,AKGRT
2025-01-13,7.442,7.53,7.34,7.43,118223033.0,AKGRT
2025-01-14,7.554,7.62,7.45,7.57,152328593.0,AKGRT
2025-01-15,7.483,7.62,7.22,7.42,87808379.0,AKGRT
2025-01-16,7.703,7.83,7.4,7.7,240825722.0,AKGRT
2025-01-17,7.912,8.04,7.67,7.99,182265984.0,AKGRT
2025-01-20,8.01,8.1,7.95,8.0,141312656.0,AKGRT
2025-01-21,7.922,8.05,7.82,7.87,72011720.0,AKGRT
2025-01-22,7.918,7.97,7.79,7.9,58698773.0,AKGRT
2025-01-23,7.971,8.1,7.85,7.92,87386587.0,AKGRT
2025-01-24,8.15,8.31,7.83,8.23,162287810.0,AKGRT
2025-01-27,8.2,8.29,8.1,8.17,111675361.0,AKGRT
2025-01-28,8.158,8.29,7.98,8.13,141516374.0,AKGRT
2025-01-29,8.309,8.44,8.17,8.22,146547615.0,AKGRT
2025-01-30,8.318,8.4,8.17,8.28,147009840.0,AKGRT
2025-01-31,8.022,8.31,7.85,8.04,165020783.0,AKGRT
2025-02-03,7.734,7.95,7.55,7.59,117086924.0,AKGRT
2025-02-04,7.65,7.78,7.51,7.77,115409168.0,AKGRT
2025-02-05,7.557,7.84,7.36,7.5,100883269.0,AKGRT
2025-02-06,7.464,7.74,7.36,7.4,96020190.0,AKGRT
2025-02-07,7.362,7.51,7.23,7.41,125258287.0,AKGRT
2025-02-10,7.442,7.53,7.38,7.48,113301857.0,AKGRT
2025-02-11,7.526,7.59,7.41,7.5,136963900.0,AKGRT
2025-02-12,7.35,7.58,7.22,7.26,113084053.0,AKGRT
2025-02-13,7.281,7.36,7.23,7.27,63284621.0,AKGRT
2025-02-14,7.32,7.36,7.28,7.32,49975884.0,AKGRT
2025-02-17,7.302,7.37,7.22,7.23,53326000.0,AKGRT
2025-02-18,7.305,7.37,7.23,7.33,65437403.0,AKGRT
2025-02-19,7.305,7.39,7.18,7.21,57871285.0,AKGRT
2025-02-20,7.272,7.37,7.21,7.25,70750450.0,AKGRT
2025-02-21,7.13,7.26,6.9,6.92,59109974.0,AKGRT
2025-02-24,6.975,7.05,6.86,6.92,53154727.0,AKGRT
2025-02-25,6.668,6.94,6.51,6.51,113089702.0,AKGRT
