date,open,high,low,close,volume,symbol
2025-01-02,34.142,36.1,32.82,32.82,82013105.0,ARENA
2025-01-03,33.091,33.46,32.76,32.92,44537032.0,ARENA
2025-01-06,33.648,34.2,32.94,33.9,48312598.0,ARENA
2025-01-07,33.871,34.5,33.18,34.14,41327735.0,ARENA
2025-01-08,36.993,37.54,33.96,37.18,251502001.0,ARENA
2025-01-09,38.413,39.9,36.76,39.0,280383179.0,ARENA
2025-01-10,37.412,39.08,36.0,37.0,254862274.0,ARENA
2025-01-13,37.141,37.9,36.3,37.18,110657930.0,ARENA
2025-01-14,37.261,37.88,36.6,36.72,56405983.0,ARENA
2025-01-15,36.653,37.18,36.16,36.24,47373741.0,ARENA
2025-01-16,35.02,36.86,33.94,35.0,121520690.0,ARENA
2025-01-17,36.368,37.44,35.02,36.12,107073936.0,ARENA
2025-01-20,36.203,36.68,35.62,36.08,40681520.0,ARENA
2025-01-21,35.866,36.56,35.14,35.14,45360289.0,ARENA
2025-01-22,34.96,35.38,34.44,34.66,27691274.0,ARENA
2025-01-23,34.696,35.04,34.26,34.72,36387658.0,ARENA
2025-01-24,36.343,37.14,34.66,37.0,101455383.0,ARENA
2025-01-27,38.389,39.5,36.88,37.96,190577636.0,ARENA
2025-01-28,37.624,38.24,36.88,37.68,59237699.0,ARENA
2025-01-29,37.768,38.36,36.82,36.82,44754014.0,ARENA
2025-01-30,36.756,37.26,36.08,36.14,31478088.0,ARENA
2025-01-31,35.767,36.4,35.38,35.94,29877469.0,ARENA
2025-02-03,35.344,36.0,34.8,35.1,22168073.0,ARENA
2025-02-04,35.685,36.22,35.18,35.6,20829441.0,ARENA
2025-02-05,34.315,35.64,33.46,34.2,32307761.0,ARENA
2025-02-06,33.524,34.66,32.76,32.76,66926053.0,ARENA
2025-02-07,35.24,36.02,34.14,34.72,217352122.0,ARENA
2025-02-10,34.246,35.08,33.62,34.76,56965160.0,ARENA
2025-02-11,34.279,34.74,33.72,34.18,36744317.0,ARENA
2025-02-12,36.085,37.48,33.92,36.16,150483459.0,ARENA
2025-02-13,35.844,36.76,35.36,35.92,46136853.0,ARENA
2025-02-14,37.494,38.8,36.2,38.3,142198002.0,ARENA
2025-02-17,41.16,42.12,38.4,42.12,213820547.0,ARENA
2025-02-18,43.303,44.58,42.06,42.22,199818264.0,ARENA
2025-02-19,43.743,45.96,41.66,42.04,274445495.0,ARENA
2025-02-20,43.087,45.28,41.5,44.6,205192543.0,ARENA
2025-02-21,45.039,45.86,44.02,45.0,166029797.0,ARENA
2025-02-24,46.622,47.46,44.98,46.84,127192884.0,ARENA
2025-02-25,47.33,48.38,45.44,48.04,184828482.0,ARENA
2025-02-26,47.209,49.24,45.0,45.02,216720019.0,ARENA
2025-02-27,46.017,47.48,44.98,45.08,137353370.0,ARENA
2025-02-28,45.085,46.26,44.14,45.58,99174413.0,ARENA
2025-03-03,44.824,46.12,44.12,45.68,132620451.0,ARENA
2025-03-04,47.011,48.44,45.34,47.02,224719545.0,ARENA
2025-03-05,50.307,51.7,45.96,51.7,290142866.0,ARENA
2025-03-06,53.076,54.0,51.9,52.8,166272120.0,ARENA
2025-03-07,51.924,53.5,50.9,52.45,106323176.0,ARENA
2025-03-10,52.336,54.65,49.64,51.35,164754857.0,ARENA
2025-03-11,49.665,51.75,48.54,48.54,150838878.0,ARENA
2025-03-12,49.099,49.88,47.74,48.9,110584167.0,ARENA
2025-03-13,48.869,49.68,47.8,48.14,74989474.0,ARENA
2025-03-14,48.286,49.24,47.46,48.82,67385061.0,ARENA
2025-03-17,48.993,49.7,48.52,48.76,77046942.0,ARENA
2025-03-18,46.171,49.32,44.12,45.18,180060831.0,ARENA
2025-03-19,40.984,43.0,40.68,40.68,103885269.0,ARENA
2025-03-20,39.513,41.36,38.1,38.34,224023738.0,ARENA
2025-03-21,35.674,38.38,34.52,35.82,96486433.0,ARENA
2025-03-24,36.401,38.0,33.46,36.88,66363162.0,ARENA
2025-03-25,38.049,39.08,36.58,38.22,66892850.0,ARENA
2025-03-26,38.067,39.32,37.12,37.5,39929480.0,ARENA
2025-03-27,38.668,39.54,37.72,38.2,75049347.0,ARENA
2025-03-28,38.824,40.62,37.06,39.48,51040433.0,ARENA
2025-04-02,41.384,42.82,39.38,42.5,72084533.0,ARENA
2025-04-03,42.597,43.5,41.5,42.52,54212296.0,ARENA
2025-04-04,42.865,43.94,41.64,43.62,89603531.0,ARENA
2025-04-07,41.895,43.54,40.2,43.1,76185114.0,ARENA
2025-04-08,44.205,45.04,43.5,43.7,54393344.0,ARENA
2025-04-09,43.906,44.92,43.0,43.06,69994333.0,ARENA
2025-04-10,43.415,44.2,42.46,42.46,32595728.0,ARENA
2025-04-11,41.96,42.78,40.88,42.2,74125937.0,ARENA
2025-04-14,42.067,43.04,41.0,41.12,51954737.0,ARENA
2025-04-15,40.421,41.48,39.82,39.9,53931069.0,ARENA
2025-04-16,40.725,41.74,39.64,40.18,60577399.0,ARENA
2025-04-17,41.818,42.96,40.0,42.4,79995188.0,ARENA
2025-04-18,43.012,43.98,42.1,42.5,77705503.0,ARENA
2025-04-21,42.438,43.46,40.92,41.92,65298095.0,ARENA
2025-04-22,41.604,42.5,40.92,40.94,36423581.0,ARENA
2025-04-24,40.94,41.6,40.04,41.3,57824914.0,ARENA
2025-04-25,42.982,43.82,41.0,42.54,78340202.0,ARENA
2025-04-28,43.069,43.96,41.82,42.0,51473382.0,ARENA
2025-04-29,42.76,44.2,41.6,43.0,59806065.0,ARENA
2025-04-30,44.364,45.82,42.74,43.7,205360350.0,ARENA
2025-05-02,45.496,46.76,43.3,45.96,142282462.0,ARENA
2025-05-05,46.873,49.0,45.02,48.9,126756081.0,ARENA
2025-05-06,47.682,50.0,46.54,46.9,115206747.0,ARENA
2025-05-07,46.886,48.38,45.74,46.02,79848693.0,ARENA
2025-05-08,45.158,46.9,44.36,44.52,103554513.0,ARENA
2025-05-09,46.066,47.58,44.5,45.98,127212261.0,ARENA
2025-05-12,42.707,46.26,41.4,41.4,429376325.0,ARENA
2025-05-13,41.1,42.4,39.58,40.6,201636227.0,ARENA
2025-05-14,40.451,41.62,39.6,39.6,119648897.0,ARENA
2025-05-15,39.016,40.02,38.24,38.24,111387512.0,ARENA
2025-05-16,37.834,38.68,37.18,38.04,115720772.0,ARENA
2025-05-20,39.596,41.2,37.6,39.98,242236589.0,ARENA
2025-05-21,39.882,40.96,38.62,39.4,149054150.0,ARENA
2025-05-22,38.955,39.92,38.32,38.74,76969070.0,ARENA
2025-05-23,37.829,39.68,36.84,37.16,108714210.0,ARENA
2025-05-26,36.513,37.56,35.6,35.66,81135646.0,ARENA
2025-05-27,36.281,37.46,35.08,35.58,150957153.0,ARENA
2025-05-28,35.395,36.32,35.0,35.16,44830677.0,ARENA
2025-05-29,34.325,35.56,33.86,33.96,75615124.0,ARENA
2025-05-30,33.023,34.2,32.4,32.4,68574365.0,ARENA
2025-06-02,31.959,32.74,31.04,31.28,59013697.0,ARENA
2025-06-03,32.335,33.0,31.52,32.4,64545528.0,ARENA
2025-06-04,33.226,33.9,32.14,33.64,58035668.0,ARENA
2025-06-05,34.617,35.46,33.42,34.94,50802257.0,ARENA
2025-06-10,35.151,35.84,34.74,34.96,51716092.0,ARENA
2025-06-11,34.357,35.16,33.96,34.02,45476523.0,ARENA
2025-06-12,33.031,33.96,32.4,33.06,85506831.0,ARENA
2025-06-13,30.648,31.98,29.92,30.68,101771947.0,ARENA
2025-06-16,31.22,31.94,30.36,31.34,79578917.0,ARENA
2025-06-17,30.951,31.56,30.72,30.76,47366512.0,ARENA
2025-06-18,29.994,30.94,29.68,29.8,67472122.0,ARENA
2025-06-19,29.655,30.18,29.06,29.08,43922423.0,ARENA
2025-06-20,30.124,30.78,29.36,30.26,117365303.0,ARENA
2025-06-23,29.504,29.82,29.3,29.42,36079345.0,ARENA
2025-06-24,30.104,30.7,29.84,30.46,60294146.0,ARENA
2025-06-25,30.291,30.74,30.04,30.04,54359920.0,ARENA
2025-06-26,30.128,30.68,29.72,29.74,32351933.0,ARENA
2025-06-27,29.531,29.92,29.34,29.46,34529444.0,ARENA
2025-06-30,29.962,30.3,29.38,30.22,70150775.0,ARENA
2025-07-01,30.745,31.26,30.08,30.98,71916195.0,ARENA
2025-07-02,31.592,32.3,30.8,30.98,95273783.0,ARENA
2025-07-03,31.529,31.9,31.18,31.8,63618264.0,ARENA
2025-07-04,33.277,34.14,31.46,33.22,183734656.0,ARENA
2025-07-07,33.339,34.46,32.1,33.74,135405166.0,ARENA
2025-07-08,34.541,35.18,33.54,34.6,124202730.0,ARENA
2025-07-09,34.53,35.14,33.9,34.16,85541645.0,ARENA
2025-07-10,34.71,35.04,34.32,34.54,53718260.0,ARENA
2025-07-11,35.809,37.04,34.3,35.6,227453604.0,ARENA
2025-07-14,35.329,36.1,34.66,34.66,80470218.0,ARENA
2025-07-16,35.192,35.82,34.26,34.8,83268436.0,ARENA
2025-07-17,35.521,36.1,35.08,35.76,75685050.0,ARENA
2025-07-18,35.731,36.18,35.34,35.68,59483241.0,ARENA
2025-07-21,36.419,36.96,35.84,36.68,94036290.0,ARENA
2025-07-22,38.103,39.0,36.6,38.4,175257174.0,ARENA
2025-07-23,38.146,38.76,37.74,37.74,97390905.0,ARENA
2025-07-24,38.059,38.54,37.82,37.98,56755931.0,ARENA
2025-07-25,38.5,39.06,37.94,38.24,90286561.0,ARENA
2025-07-28,38.185,38.82,37.8,37.8,52632984.0,ARENA
2025-07-29,37.215,38.3,36.66,36.9,72332778.0,ARENA
2025-07-30,36.801,37.4,36.34,36.92,61985953.0,ARENA
2025-07-31,39.28,40.38,37.0,39.94,278774541.0,ARENA
2025-08-01,40.499,41.78,38.9,40.98,221085940.0,ARENA
2025-08-04,40.56,41.4,40.22,40.32,105303283.0,ARENA
2025-08-05,39.656,40.42,38.98,39.14,93599819.0,ARENA
2025-08-06,40.026,40.98,38.88,39.76,126292017.0,ARENA
2025-08-07,39.905,40.4,39.56,39.58,84360691.0,ARENA
2025-08-08,39.581,39.96,39.1,39.12,65029642.0,ARENA
2025-08-11,36.395,37.94,35.62,36.3,198031446.0,ARENA
2025-08-12,35.58,36.7,35.0,35.28,75354700.0,ARENA
2025-08-13,35.103,35.62,34.82,34.84,60205413.0,ARENA
2025-08-14,35.353,35.92,34.66,35.14,68437142.0,ARENA
