date,open,high,low,close,volume,symbol
2025-01-02,4.560871,4.602643,4.5194864,4.5524,44345358.0,AZTEK
2025-01-03,4.5703473,4.6084447,4.515619,4.593,57492901.0,AZTEK
2025-01-06,4.713938,4.7786264,4.5929737,4.7051,124651901.0,AZTEK
2025-01-07,4.7385955,4.81537,4.672263,4.7051,97826088.0,AZTEK
2025-01-08,4.683673,4.792164,4.5775027,4.5891,86533696.0,AZTEK
2025-01-09,4.8539515,5.0474367,4.5755687,4.8173,294958372.0,AZTEK
2025-01-10,4.9257956,5.086114,4.712875,4.8686,286420774.0,AZTEK
2025-01-13,4.8157573,4.9990897,4.635519,4.6568,159268954.0,AZTEK
2025-01-14,4.645962,4.736081,4.583305,4.5891,80669315.0,AZTEK
2025-01-15,4.559711,4.62585,4.523354,4.535,55489370.0,AZTEK
2025-01-16,4.595681,4.647123,4.5484943,4.6336,41912354.0,AZTEK
2025-01-17,4.69576,4.8231063,4.5929737,4.738,81751936.0,AZTEK
2025-01-20,4.8014464,4.9023952,4.72061,4.7477,83560173.0,AZTEK
2025-01-21,4.6772914,4.743817,4.635519,4.6471,50918531.0,AZTEK
2025-01-22,4.614633,4.670329,4.569767,4.5891,61656093.0,AZTEK
2025-01-23,4.6569853,4.7070727,4.589106,4.6955,54755378.0,AZTEK
2025-01-24,4.7270885,4.809569,4.6161804,4.7844,83252951.0,AZTEK
2025-01-27,4.691795,4.81537,4.618114,4.622,61151189.0,AZTEK
2025-01-28,4.6858,4.749618,4.6413207,4.7032,77124648.0,AZTEK
2025-01-29,4.6477027,4.7302794,4.579437,4.5891,55062277.0,AZTEK
2025-01-30,4.590363,4.6393867,4.5484943,4.5562,34098608.0,AZTEK
2025-01-31,4.5775995,4.612313,4.5426927,4.5891,34065103.0,AZTEK
2025-02-03,4.512234,4.589106,4.4479327,4.4943,33292013.0,AZTEK
2025-02-04,4.5158114,4.5736346,4.473073,4.4847,33872238.0,AZTEK
2025-02-05,4.3850813,4.5059485,4.2970896,4.3338,54174333.0,AZTEK
2025-02-06,4.35704,4.3899164,4.3357673,4.3416,30909640.0,AZTEK
2025-02-07,4.363325,4.4169903,4.3280315,4.4093,40795794.0,AZTEK
2025-02-10,4.3464036,4.4343953,4.291288,4.3068,44770351.0,AZTEK
2025-02-11,4.271079,4.3435025,4.2390733,4.2623,33193614.0,AZTEK
2025-02-12,4.1586237,4.277751,4.072759,4.0747,54184456.0,AZTEK
2025-02-13,4.0615425,4.1133704,4.02828,4.0476,36572042.0,AZTEK
2025-02-14,4.0573845,4.0901637,4.0224776,4.0612,27129695.0,AZTEK
2025-02-17,4.124684,4.167519,4.061156,4.1095,27867738.0,AZTEK
2025-02-18,4.0586414,4.119172,4.030214,4.0573,22475607.0,AZTEK
2025-02-19,4.0233483,4.086296,3.9470565,3.9548,29233339.0,AZTEK
2025-02-20,4.0856194,4.1907263,3.9219162,4.1056,87938242.0,AZTEK
2025-02-21,4.056708,4.1327095,3.9354534,3.9509,41854118.0,AZTEK
2025-02-24,3.9846706,4.0592217,3.9451225,3.9645,21712086.0,AZTEK
2025-02-25,3.8708618,3.9644616,3.8213544,3.8233,31331153.0,AZTEK
2025-02-26,3.7729104,3.834891,3.722726,3.7595,29341346.0,AZTEK
2025-02-27,3.8067532,3.8755033,3.7401311,3.8465,25161992.0,AZTEK
2025-02-28,3.8637064,3.9122467,3.8020153,3.8349,20347327.0,AZTEK
2025-03-03,3.8617723,3.9315853,3.8290894,3.831,23295791.0,AZTEK
2025-03-04,3.7072551,3.840693,3.627966,3.6454,38685039.0,AZTEK
2025-03-05,3.6792138,3.7265937,3.6260319,3.6918,23970951.0,AZTEK
2025-03-06,3.9991748,4.0592217,3.7188585,4.0592,168075225.0,AZTEK
2025-03-07,4.207067,4.4363294,4.070825,4.094,168509687.0,AZTEK
2025-03-10,4.222055,4.289354,4.0824285,4.1327,78915506.0,AZTEK
2025-03-11,4.1905327,4.3028913,4.119172,4.1578,78557891.0,AZTEK
2025-03-12,4.1062155,4.1829906,4.070825,4.0805,38944318.0,AZTEK
2025-03-13,4.153499,4.188792,4.080495,4.1617,39984170.0,AZTEK
2025-03-14,4.183667,4.229404,4.15785,4.1811,37952885.0,AZTEK
2025-03-17,4.233078,4.268081,4.171387,4.2217,57431234.0,AZTEK
2025-03-18,4.1643286,4.237139,4.1153045,4.1753,35405470.0,AZTEK
2025-03-19,3.8445606,4.0495524,3.75947,3.7595,41982616.0,AZTEK
2025-03-20,3.7841268,3.8619657,3.6685772,3.7614,36559534.0,AZTEK
2025-03-21,3.8918443,4.0360155,3.645371,3.8678,216408019.0,AZTEK
2025-03-24,3.8936813,4.039883,3.6840482,3.8542,79394424.0,AZTEK
2025-03-25,3.9274278,4.0224776,3.8368251,3.9645,56418265.0,AZTEK
2025-03-26,4.036982,4.15785,3.8967755,3.9703,83572374.0,AZTEK
2025-03-27,4.1656823,4.3202963,3.9509244,4.125,117588787.0,AZTEK
2025-03-28,4.016096,4.165586,3.9451225,4.067,59893181.0,AZTEK
2025-04-02,4.097996,4.175255,4.0360155,4.1018,57979478.0,AZTEK
2025-04-03,4.177189,4.3028913,4.076627,4.1095,73668733.0,AZTEK
2025-04-04,4.0342746,4.167519,3.9760647,3.9993,43666587.0,AZTEK
2025-04-07,3.8530698,3.9489906,3.7672055,3.9142,46319109.0,AZTEK
2025-04-08,3.947153,3.9857342,3.9083786,3.9451,36093692.0,AZTEK
2025-04-09,3.885946,3.9644616,3.8290894,3.8446,37977431.0,AZTEK
2025-04-10,3.9078958,3.960594,3.8658333,3.8697,29185994.0,AZTEK
2025-04-11,3.8946483,3.9296517,3.8290894,3.8774,38054354.0,AZTEK
2025-04-14,3.9286847,3.9876683,3.8600316,3.86,36948301.0,AZTEK
2025-04-15,3.8748262,3.8987095,3.8484285,3.8678,28513670.0,AZTEK
2025-04-16,3.7989209,3.894842,3.7652714,3.7691,23944285.0,AZTEK
2025-04-17,3.797084,3.834891,3.7420652,3.8194,26450793.0,AZTEK
2025-04-18,3.7722337,3.8387592,3.7478664,3.7614,21019355.0,AZTEK
2025-04-21,3.7548287,3.786544,3.7188585,3.7305,26034093.0,AZTEK
2025-04-22,3.7137337,3.7962136,3.6898499,3.7189,25197068.0,AZTEK
2025-04-24,3.765948,3.8561642,3.6840482,3.8291,38525388.0,AZTEK
2025-04-25,4.0874567,4.211999,3.823288,4.212,192975045.0,AZTEK
2025-04-28,4.2315307,4.5446267,4.0108747,4.0109,383331687.0,AZTEK
2025-04-29,3.9212396,4.0108747,3.8561642,3.8562,79401408.0,AZTEK
2025-04-30,3.7879944,3.9064453,3.7401311,3.744,57651531.0,AZTEK
2025-05-02,3.901997,4.008941,3.7498004,3.8871,88272391.0,AZTEK
2025-05-05,3.8219345,3.95866,3.769139,3.7807,43268876.0,AZTEK
2025-05-06,3.7893484,3.825222,3.75947,3.773,33287702.0,AZTEK
2025-05-07,3.9281044,4.076627,3.7652714,3.8678,153866199.0,AZTEK
2025-05-08,3.833054,3.9064453,3.7904122,3.8136,52275020.0,AZTEK
2025-05-09,3.871055,3.9238503,3.8136184,3.8832,65107815.0,AZTEK
2025-05-12,3.9343896,4.0186105,3.834891,3.9664,97600681.0,AZTEK
2025-05-13,3.9555657,4.0166764,3.8638997,3.9819,44576957.0,AZTEK
2025-05-14,3.9523747,4.0012054,3.9122467,3.9258,34363076.0,AZTEK
2025-05-15,3.9966607,4.057288,3.88904,3.9587,54728719.0,AZTEK
2025-05-16,3.986121,4.099834,3.8987095,4.0612,53053543.0,AZTEK
2025-05-20,4.217994,4.4672713,3.8600316,3.9683,293892754.0,AZTEK
2025-05-21,4.0769167,4.1559157,3.9644616,4.0128,89699893.0,AZTEK
2025-05-22,4.014259,4.078561,3.9799325,3.9896,47801534.0,AZTEK
2025-05-23,3.939031,4.037949,3.9064453,3.9122,37377752.0,AZTEK
2025-05-26,3.9514081,3.9992714,3.9277177,3.9393,27962334.0,AZTEK
2025-05-27,3.9591434,4.055354,3.9161146,3.9741,41887799.0,AZTEK
2025-05-28,3.9002998,4.02,3.8580003,3.858,36060118.0,AZTEK
2025-05-29,3.9606,4.028,3.904,3.904,34212406.0,AZTEK
2025-05-30,3.8634,3.98,3.8220003,3.836,27458193.0,AZTEK
2025-06-02,3.8055,3.8880002,3.748,3.766,27041634.0,AZTEK
2025-06-03,3.8201,3.868,3.7759998,3.81,27059117.0,AZTEK
2025-06-04,3.8376,3.9060001,3.786,3.86,44480749.0,AZTEK
2025-06-05,3.8808,3.92,3.832,3.892,17481688.0,AZTEK
2025-06-10,3.9239,3.9599998,3.9,3.922,37404120.0,AZTEK
2025-06-11,3.9575002,4.012,3.92,3.93,44063334.0,AZTEK
2025-06-12,3.8497002,3.912,3.8279998,3.838,24933933.0,AZTEK
2025-06-13,3.5916002,3.686,3.51,3.638,42013255.0,AZTEK
2025-06-16,3.6707,3.716,3.576,3.67,25624779.0,AZTEK
2025-06-17,3.6657002,3.7080002,3.5560002,3.65,27327873.0,AZTEK
2025-06-18,3.5814,3.642,3.55,3.58,22261762.0,AZTEK
2025-06-19,3.6012,3.67,3.568,3.584,28079939.0,AZTEK
