date,open,high,low,close,volume,symbol
2025-01-02,21.967,22.16,21.8,21.8,14920447.0,BAGFS
2025-01-03,22.069,22.3,21.82,22.3,23989327.0,BAGFS
2025-01-06,23.282,23.92,22.32,23.32,51007339.0,BAGFS
2025-01-07,23.373,23.7,23.06,23.42,17620387.0,BAGFS
2025-01-08,23.223,23.72,22.86,22.88,22220551.0,BAGFS
2025-01-09,24.701,25.16,22.88,25.16,159398253.0,BAGFS
2025-01-10,24.957,25.92,24.06,24.06,106309494.0,BAGFS
2025-01-13,24.021,24.62,23.5,23.6,42811478.0,BAGFS
2025-01-14,23.475,24.0,23.14,23.22,19896468.0,BAGFS
2025-01-15,23.479,23.92,23.0,23.6,28764432.0,BAGFS
2025-01-16,23.374,23.88,23.14,23.36,16464205.0,BAGFS
2025-01-17,23.206,23.44,23.1,23.14,14955259.0,BAGFS
2025-01-20,23.271,23.5,23.0,23.22,14400632.0,BAGFS
2025-01-21,24.179,24.76,23.2,24.2,92331754.0,BAGFS
2025-01-22,23.879,24.38,23.52,23.68,29194086.0,BAGFS
2025-01-23,23.718,23.98,23.48,23.6,17327624.0,BAGFS
2025-01-24,23.281,23.66,23.0,23.02,18849661.0,BAGFS
2025-01-27,23.076,23.5,22.82,22.86,21597253.0,BAGFS
2025-01-28,22.881,23.2,22.76,22.92,17188248.0,BAGFS
2025-01-29,22.738,23.06,22.48,22.5,20366236.0,BAGFS
2025-01-30,22.515,22.8,22.28,22.3,11846884.0,BAGFS
2025-01-31,22.248,22.44,22.1,22.24,7615013.0,BAGFS
2025-02-03,21.871,22.08,21.74,21.74,7968926.0,BAGFS
2025-02-04,22.041,22.52,21.66,21.98,12124716.0,BAGFS
2025-02-05,21.596,22.04,21.22,21.36,19267634.0,BAGFS
2025-02-06,21.451,21.6,21.36,21.6,7483809.0,BAGFS
2025-02-07,21.674,21.82,21.46,21.7,7781261.0,BAGFS
2025-02-10,21.67,22.04,21.4,21.6,11802788.0,BAGFS
2025-02-11,21.376,21.78,21.22,21.38,8778101.0,BAGFS
2025-02-12,21.312,21.54,21.16,21.16,9831481.0,BAGFS
2025-02-13,21.337,21.5,21.16,21.5,8697009.0,BAGFS
2025-02-14,21.381,21.62,21.24,21.4,12435603.0,BAGFS
2025-02-17,21.288,21.44,21.18,21.28,12108410.0,BAGFS
2025-02-18,21.001,21.28,20.82,21.28,19043110.0,BAGFS
2025-02-19,21.197,21.6,20.74,20.8,15815092.0,BAGFS
2025-02-20,21.003,21.24,20.76,21.24,13634431.0,BAGFS
2025-02-21,20.764,21.3,20.34,20.42,17871143.0,BAGFS
2025-02-24,20.569,20.72,20.38,20.46,10870967.0,BAGFS
2025-02-25,20.125,20.52,19.96,19.97,11985044.0,BAGFS
2025-02-26,19.927,20.14,19.81,19.96,13786110.0,BAGFS
2025-02-27,20.011,20.32,19.84,20.04,21538969.0,BAGFS
2025-02-28,19.975,20.1,19.85,19.85,7966025.0,BAGFS
2025-03-03,19.895,20.08,19.78,19.8,13556111.0,BAGFS
2025-03-04,19.526,20.0,19.36,19.37,14073174.0,BAGFS
2025-03-05,19.562,19.84,19.32,19.84,12300369.0,BAGFS
2025-03-06,20.334,20.7,19.88,20.68,34584084.0,BAGFS
2025-03-07,20.614,20.9,20.4,20.7,15397687.0,BAGFS
2025-03-10,20.801,21.02,20.64,20.68,21357757.0,BAGFS
2025-03-11,20.562,20.82,20.3,20.7,10079049.0,BAGFS
2025-03-12,20.633,21.06,20.46,20.6,19854008.0,BAGFS
2025-03-13,21.08,21.5,20.6,21.1,42774763.0,BAGFS
2025-03-14,21.534,21.82,21.04,21.6,22330823.0,BAGFS
2025-03-17,20.677,21.64,20.48,20.58,60267054.0,BAGFS
2025-03-18,20.636,20.92,20.44,20.54,31007492.0,BAGFS
2025-03-19,19.512,20.0,18.82,18.83,25601636.0,BAGFS
2025-03-20,19.342,19.8,18.96,19.3,17301899.0,BAGFS
2025-03-21,18.15,19.48,17.6,18.0,28825918.0,BAGFS
2025-03-24,17.948,18.45,17.01,17.75,22480191.0,BAGFS
2025-03-25,18.285,18.6,17.86,18.5,19726717.0,BAGFS
2025-03-26,19.225,19.77,18.01,19.41,49274688.0,BAGFS
2025-03-27,19.68,20.12,19.31,19.64,29135867.0,BAGFS
2025-03-28,19.816,20.54,19.2,20.36,27123620.0,BAGFS
2025-04-02,20.213,20.54,19.86,20.2,23880717.0,BAGFS
2025-04-03,20.457,20.9,20.06,20.5,21073244.0,BAGFS
2025-04-04,20.219,20.66,20.0,20.04,17949772.0,BAGFS
2025-04-07,19.484,19.91,19.15,19.73,15221807.0,BAGFS
2025-04-08,20.792,21.7,18.9,21.7,86412665.0,BAGFS
2025-04-09,23.657,23.86,22.7,23.86,56056006.0,BAGFS
2025-04-10,26.078,26.24,25.3,26.24,109016562.0,BAGFS
2025-04-11,27.784,28.86,26.24,27.16,776057127.0,BAGFS
2025-04-14,26.666,27.98,25.82,26.1,212479283.0,BAGFS
2025-04-15,27.577,28.7,25.92,28.7,385780133.0,BAGFS
2025-04-16,27.799,29.6,26.54,27.04,180992918.0,BAGFS
2025-04-17,26.605,27.44,26.02,26.08,128857324.0,BAGFS
2025-04-18,26.104,27.22,24.62,24.88,106705429.0,BAGFS
2025-04-21,24.525,25.6,24.08,24.4,83807564.0,BAGFS
2025-04-22,24.043,24.86,23.48,23.8,50877855.0,BAGFS
2025-04-24,23.72,24.44,23.02,24.44,58331836.0,BAGFS
2025-04-25,24.188,24.94,23.92,24.22,42331068.0,BAGFS
2025-04-28,24.289,24.78,23.86,23.86,38544513.0,BAGFS
2025-04-29,24.682,25.46,23.7,24.3,89081599.0,BAGFS
2025-04-30,24.083,24.5,23.54,23.54,39984573.0,BAGFS
2025-05-02,24.217,25.02,23.4,24.18,63757529.0,BAGFS
2025-05-05,23.653,24.84,23.0,23.4,60967262.0,BAGFS
2025-05-06,23.639,24.08,23.3,23.68,30940099.0,BAGFS
2025-05-07,26.04,26.04,26.04,26.04,20749115.0,BAGFS
2025-05-08,28.582,28.64,27.94,28.64,70046432.0,BAGFS
2025-05-09,28.816,30.28,27.3,28.9,386910943.0,BAGFS
2025-05-12,30.447,31.78,28.28,31.78,264619386.0,BAGFS
2025-05-13,31.527,32.7,30.7,30.8,275961336.0,BAGFS
2025-05-14,30.726,31.32,30.18,30.22,98915788.0,BAGFS
