date,open,high,low,close,volume,symbol
2025-01-02,174.556,178.1,172.1,173.7,30837597.0,BIGTK
2025-01-03,184.756,191.0,172.0,182.0,220642144.0,BIGTK
2025-01-06,181.958,185.3,179.0,181.0,64613786.0,BIGTK
2025-01-07,178.067,181.5,176.8,177.2,41767488.0,BIGTK
2025-01-08,176.281,181.0,173.0,173.0,33578904.0,BIGTK
2025-01-09,180.029,183.8,174.3,180.6,101083532.0,BIGTK
2025-01-10,179.08,184.0,176.8,179.0,50210718.0,BIGTK
2025-01-13,177.736,181.8,175.2,175.6,37760601.0,BIGTK
2025-01-14,185.117,192.0,173.3,186.0,156553589.0,BIGTK
2025-01-15,183.091,190.0,180.0,180.4,50768703.0,BIGTK
2025-01-16,182.232,186.3,179.0,182.9,41520541.0,BIGTK
2025-01-17,183.215,185.2,180.2,185.0,28386776.0,BIGTK
2025-01-20,189.318,199.5,179.9,196.8,139385744.0,BIGTK
2025-01-21,194.247,197.0,192.0,192.3,37242229.0,BIGTK
2025-01-22,201.943,206.5,191.6,202.3,141185825.0,BIGTK
2025-01-23,199.893,205.4,195.7,196.7,70877037.0,BIGTK
2025-01-24,192.434,197.3,190.0,192.2,52194930.0,BIGTK
2025-01-27,193.392,198.0,187.8,191.5,65154805.0,BIGTK
2025-01-28,193.109,196.4,189.0,190.3,37121507.0,BIGTK
2025-01-29,187.986,192.9,184.7,185.6,37314829.0,BIGTK
2025-01-30,184.347,186.5,182.2,182.5,23032334.0,BIGTK
2025-01-31,182.095,188.6,178.1,180.4,27422229.0,BIGTK
2025-02-03,178.638,182.0,175.1,177.6,20386723.0,BIGTK
2025-02-04,178.613,180.8,176.2,177.9,21713923.0,BIGTK
2025-02-05,175.689,180.7,172.5,173.9,22286320.0,BIGTK
2025-02-06,180.568,191.2,166.5,191.2,207846964.0,BIGTK
2025-02-07,193.099,200.3,186.0,190.5,154390544.0,BIGTK
2025-02-10,190.858,197.0,185.8,185.8,64199882.0,BIGTK
2025-02-11,188.15,193.8,181.1,187.5,65746168.0,BIGTK
2025-02-12,200.579,206.2,185.6,206.2,243268404.0,BIGTK
2025-02-13,209.344,219.8,203.5,205.5,227576441.0,BIGTK
