date,open,high,low,close,volume,symbol
2025-01-02,17.433,17.72,17.15,17.7,106017046.0,BLUME
2025-01-03,17.086,17.68,16.88,17.0,102542260.0,BLUME
2025-01-06,17.095,17.3,16.97,17.06,74677633.0,BLUME
2025-01-07,17.083,17.2,17.03,17.15,62467015.0,BLUME
2025-01-08,17.273,17.84,17.02,17.03,100217111.0,BLUME
2025-01-09,17.04,17.15,16.93,17.1,93426738.0,BLUME
2025-01-10,16.883,17.16,16.55,17.16,106035900.0,BLUME
2025-01-13,17.263,17.4,17.05,17.33,120432702.0,BLUME
2025-01-14,17.459,17.64,17.25,17.34,94900618.0,BLUME
2025-01-15,16.91,17.46,16.55,16.88,114593751.0,BLUME
2025-01-16,16.832,17.06,16.63,16.88,94806131.0,BLUME
2025-01-17,16.993,17.13,16.82,16.96,79319049.0,BLUME
2025-01-20,16.979,17.14,16.7,16.8,78449338.0,BLUME
2025-01-21,16.735,16.93,16.54,16.88,66394460.0,BLUME
2025-01-22,16.919,17.07,16.68,16.72,57707837.0,BLUME
2025-01-23,17.017,17.15,16.74,17.0,100717822.0,BLUME
2025-01-24,16.86,17.08,16.64,16.83,62780027.0,BLUME
2025-01-27,16.587,16.9,16.26,16.33,59610464.0,BLUME
2025-01-28,16.262,16.5,15.8,16.31,47035470.0,BLUME
2025-01-29,16.045,16.37,15.74,15.74,28640615.0,BLUME
2025-01-30,15.609,15.94,15.33,15.69,45319925.0,BLUME
2025-01-31,16.063,16.56,15.38,16.5,89548630.0,BLUME
2025-02-03,16.273,16.52,15.79,15.79,67083271.0,BLUME
2025-02-04,16.011,16.24,15.72,15.81,58400936.0,BLUME
2025-02-05,15.799,16.15,15.42,15.64,74826399.0,BLUME
2025-02-06,15.835,16.04,15.63,15.8,51569006.0,BLUME
2025-02-07,16.05,16.24,15.78,16.23,49012036.0,BLUME
2025-02-10,16.346,16.62,16.06,16.09,76554060.0,BLUME
2025-02-11,16.045,16.19,15.83,15.95,47913370.0,BLUME
2025-02-12,15.76,16.03,15.54,15.54,27814869.0,BLUME
2025-02-13,15.511,15.8,15.2,15.2,29034717.0,BLUME
2025-02-14,15.485,15.67,15.2,15.5,23602273.0,BLUME
2025-02-17,15.665,15.8,15.51,15.61,29256668.0,BLUME
2025-02-18,15.688,16.0,15.42,15.99,49497574.0,BLUME
2025-02-19,15.943,16.11,15.74,15.89,46834580.0,BLUME
2025-02-20,15.561,15.85,15.29,15.38,45370068.0,BLUME
2025-02-21,15.421,15.65,15.14,15.3,47824482.0,BLUME
2025-02-24,15.155,15.42,14.89,14.97,44013416.0,BLUME
2025-02-25,14.831,15.09,14.73,15.0,70754552.0,BLUME
2025-02-26,14.976,15.1,14.83,15.09,42695610.0,BLUME
2025-02-27,14.958,15.2,14.8,15.19,41610414.0,BLUME
2025-02-28,14.993,15.36,14.75,14.75,101826366.0,BLUME
2025-03-03,14.82,15.32,14.42,15.22,63511311.0,BLUME
2025-03-04,15.67,16.14,15.08,15.92,91475581.0,BLUME
2025-03-05,15.714,16.04,15.41,15.5,46771086.0,BLUME
