date,open,high,low,close,volume,symbol
2025-01-02,5.516825,5.5727944,5.442521,5.5342,45218778.0,BORSK
2025-01-03,5.568693,5.640343,5.52937,5.5535,40938873.0,BORSK
2025-01-06,5.691005,5.7657914,5.5776196,5.732,62133990.0,BORSK
2025-01-07,5.7238145,5.7802663,5.6934175,5.7079,40486365.0,BORSK
2025-01-08,5.708133,5.7802663,5.6306934,5.6355,38772138.0,BORSK
2025-01-09,5.676289,5.7561417,5.596919,5.7417,32559730.0,BORSK
2025-01-10,5.6630206,5.789916,5.582444,5.5824,29912236.0,BORSK
2025-01-13,5.518273,5.6258683,5.4521713,5.5245,39611902.0,BORSK
2025-01-14,5.501868,5.582444,5.4328713,5.4522,22938945.0,BORSK
2025-01-15,5.4261165,5.5100703,5.360497,5.4184,27138828.0,BORSK
2025-01-16,5.517066,5.6017437,5.442521,5.5631,33581513.0,BORSK
2025-01-17,5.50428,5.5679693,5.4666457,5.5149,28843849.0,BORSK
2025-01-20,5.621043,5.7513165,5.456996,5.6017,54420065.0,BORSK
2025-01-21,5.5100703,5.587269,5.4521713,5.4811,50327849.0,BORSK
2025-01-22,5.4709883,5.5100703,5.4376965,5.4618,25931388.0,BORSK
2025-01-23,5.5556655,5.621043,5.4811206,5.5535,29752044.0,BORSK
2025-01-24,5.528405,5.616219,5.4811206,5.5487,30728777.0,BORSK
2025-01-27,5.4521713,5.5534945,5.4087467,5.4087,34232532.0,BORSK
2025-01-28,5.4056106,5.456996,5.370147,5.3991,29234608.0,BORSK
2025-01-29,5.3245516,5.4183965,5.239874,5.2495,37179322.0,BORSK
2025-01-30,5.2577267,5.321898,5.2012744,5.2013,22919452.0,BORSK
2025-01-31,5.1901774,5.2639985,5.1482005,5.182,20750611.0,BORSK
2025-02-03,5.0150323,5.1675,4.9214287,4.9793,65312723.0,BORSK
2025-02-04,5.012861,5.0565267,4.984153,4.9986,20851008.0,BORSK
2025-02-05,4.928666,5.0131025,4.8635297,4.907,28142371.0,BORSK
2025-02-06,5.0316787,5.104776,4.926254,5.0662,33861512.0,BORSK
2025-02-07,5.214302,5.302598,5.0758266,5.2495,51986129.0,BORSK
2025-02-10,5.295361,5.379797,5.1868,5.1916,44476108.0,BORSK
2025-02-11,5.221298,5.3411975,5.124076,5.3122,28350947.0,BORSK
2025-02-12,5.267859,5.379797,5.2157497,5.2254,25982087.0,BORSK
2025-02-13,5.2929482,5.379797,5.181975,5.2061,34415307.0,BORSK
2025-02-14,5.231672,5.2736487,5.1868,5.2109,18988549.0,BORSK
2025-02-17,5.261104,5.307423,5.2012744,5.2495,27620810.0,BORSK
2025-02-18,5.2519364,5.355673,5.1868,5.2399,25079726.0,BORSK
2025-02-19,5.169189,5.2832985,5.0758266,5.0758,34142084.0,BORSK
2025-02-20,5.117321,5.1433754,5.0806513,5.1193,20588309.0,BORSK
2025-02-21,5.1689477,5.2832985,4.993803,5.0758,32534700.0,BORSK
2025-02-24,5.138792,5.2012744,5.0951266,5.1386,22804573.0,BORSK
2025-02-25,5.0444646,5.1626754,4.969678,4.9986,25959648.0,BORSK
2025-02-26,4.9525495,5.046877,4.9214287,4.9649,25314297.0,BORSK
2025-02-27,4.978363,5.0661764,4.9214287,5.0469,27114377.0,BORSK
2025-02-28,5.0389156,5.0951266,4.8008056,5.0372,21893061.0,BORSK
2025-03-03,5.0611105,5.119251,5.0275774,5.0614,24459670.0,BORSK
2025-03-04,4.9788456,5.061352,4.9455533,4.9504,24364990.0,BORSK
2025-03-05,4.998145,5.0903015,4.9503784,4.9745,35103115.0,BORSK
2025-03-06,5.0898185,5.1675,4.984153,5.1627,53139709.0,BORSK
2025-03-07,5.2297416,5.297773,5.0710015,5.2206,50163840.0,BORSK
2025-03-10,5.460856,5.616219,5.2639985,5.3943,101010728.0,BORSK
2025-03-11,5.3814855,5.4618206,5.321898,5.3701,38138044.0,BORSK
2025-03-12,5.320933,5.4521713,5.2929482,5.3122,36797482.0,BORSK
2025-03-13,5.4270816,5.5100703,5.312248,5.4666,52523836.0,BORSK
2025-03-14,5.489082,5.5438447,5.456996,5.4666,38697229.0,BORSK
2025-03-17,5.5911293,5.678943,5.5438447,5.5824,70134253.0,BORSK
2025-03-18,5.5093465,5.587269,5.471471,5.4956,35977034.0,BORSK
2025-03-19,5.098745,5.3749723,4.9503784,4.9504,75468166.0,BORSK
2025-03-20,5.057009,5.1868,4.9166036,5.0179,53574083.0,BORSK
2025-03-21,4.7421823,5.017927,4.549909,4.6078,36969955.0,BORSK
2025-03-24,4.702618,4.8297553,4.443761,4.7429,39807491.0,BORSK
2025-03-25,4.913468,5.046877,4.791156,5.0372,30127775.0,BORSK
2025-03-26,5.016962,5.0951266,4.9214287,5.0179,27029593.0,BORSK
2025-03-27,5.1315546,5.2832985,5.0227523,5.0469,26922947.0,BORSK
2025-03-28,4.992596,5.109601,4.931079,5.0807,18277028.0,BORSK
2025-04-02,5.1933136,5.307423,5.0806513,5.1434,27746213.0,BORSK
2025-04-03,5.1675,5.2205744,5.109601,5.1482,25072456.0,BORSK
2025-04-04,5.0466356,5.172325,4.9793277,5.0131,28435061.0,BORSK
2025-04-07,4.871249,4.9986277,4.7790933,4.9166,30328319.0,BORSK
2025-04-08,5.0970564,5.2350492,4.9552035,5.0951,43114195.0,BORSK
2025-04-09,5.104294,5.2205744,5.032402,5.071,35229234.0,BORSK
2025-04-10,5.1327605,5.259174,5.0854764,5.0903,25902621.0,BORSK
2025-04-11,5.0618343,5.114426,5.042052,5.071,23326652.0,BORSK
2025-04-14,5.130831,5.172325,5.0758266,5.1,50628685.0,BORSK
2025-04-15,5.122146,5.1578503,5.0758266,5.0807,29841823.0,BORSK
2025-04-16,5.0572505,5.1433754,4.988978,4.9986,36836720.0,BORSK
2025-04-17,5.0372267,5.124076,4.9503784,5.0565,31537869.0,BORSK
2025-04-18,5.000075,5.0903015,4.969678,4.9938,17567110.0,BORSK
2025-04-21,4.9342146,5.0806513,4.8731794,4.8925,28117806.0,BORSK
2025-04-22,5.2652054,5.379797,5.017927,5.3798,204459740.0,BORSK
2025-04-24,5.4321475,5.6499934,5.1385503,5.2157,211639829.0,BORSK
2025-04-25,5.139274,5.254349,5.0903015,5.1,75904186.0,BORSK
2025-04-28,5.050737,5.1433754,4.993803,4.9938,48348637.0,BORSK
2025-04-29,4.931561,5.032402,4.897304,4.9021,35211701.0,BORSK
2025-04-30,4.8468833,4.9503784,4.791156,4.796,38152006.0,BORSK
2025-05-02,4.8936853,4.984153,4.8008056,4.8442,31329293.0,BORSK
2025-05-05,5.10357,5.1868,4.935903,5.1144,74717775.0,BORSK
2025-05-06,5.100434,5.2157497,5.0275774,5.0517,40847521.0,BORSK
2025-05-07,4.9884953,5.0565267,4.926254,4.9504,29077704.0,BORSK
2025-05-08,4.997904,5.042052,4.969678,5.0179,22601095.0,BORSK
2025-05-09,5.0167212,5.046877,4.969678,5.0372,22451112.0,BORSK
2025-05-12,5.1122546,5.1578503,5.0806513,5.1337,34215123.0,BORSK
2025-05-13,5.152302,5.1964498,5.0903015,5.182,43165595.0,BORSK
2025-05-14,5.1853523,5.297773,5.1578503,5.1627,38758162.0,BORSK
2025-05-15,5.4152603,5.678943,5.1385503,5.2785,223762513.0,BORSK
2025-05-16,5.371353,5.4521713,5.244699,5.3267,59943534.0,BORSK
2025-05-20,5.363151,5.4232216,5.312248,5.3219,44036311.0,BORSK
2025-05-21,5.2767844,5.355673,5.2350492,5.2399,34307542.0,BORSK
