date,open,high,low,close,volume,symbol
2025-01-02,12.454,12.56,12.4,12.56,12360347.0,BRKO
2025-01-03,12.93,12.99,12.78,12.78,14360289.0,BRKO
2025-01-06,13.099,13.2,12.96,13.0,14768195.0,BRKO
2025-01-07,12.926,13.0,12.85,12.85,4997339.0,BRKO
2025-01-08,12.658,12.69,12.58,12.58,5475844.0,BRKO
2025-01-09,13.272,13.4,13.0,13.4,12702977.0,BRKO
2025-01-10,13.584,13.72,13.5,13.72,7083686.0,BRKO
2025-01-13,13.234,13.7,12.75,13.25,7939029.0,BRKO
2025-01-14,13.435,13.5,13.25,13.5,8497001.0,BRKO
2025-01-15,13.508,13.55,13.35,13.35,5509543.0,BRKO
2025-01-16,12.94,13.0,12.9,12.9,6203494.0,BRKO
2025-01-17,13.424,13.46,13.4,13.4,9563176.0,BRKO
2025-01-20,13.348,13.49,13.0,13.2,4900951.0,BRKO
2025-01-21,13.012,13.2,12.9,12.9,4043801.0,BRKO
2025-01-22,13.727,14.0,13.11,13.11,6855612.0,BRKO
2025-01-23,13.372,13.5,13.11,13.5,8353466.0,BRKO
2025-01-24,13.063,13.54,13.0,13.0,4044509.0,BRKO
2025-01-27,12.795,12.8,12.7,12.7,4043654.0,BRKO
2025-01-28,12.674,13.0,12.13,12.7,4341308.0,BRKO
2025-01-29,12.343,12.5,12.33,12.33,4610741.0,BRKO
2025-01-30,12.717,12.75,12.51,12.51,5347843.0,BRKO
2025-01-31,12.429,12.51,12.38,12.38,3655326.0,BRKO
2025-02-03,12.729,12.98,12.39,12.39,5027935.0,BRKO
2025-02-04,12.08,12.39,11.75,12.0,4557753.0,BRKO
2025-02-05,11.363,12.0,11.05,11.28,6473877.0,BRKO
2025-02-06,12.243,12.4,11.85,12.4,8928902.0,BRKO
2025-02-07,12.715,12.8,12.56,12.56,8677918.0,BRKO
2025-02-10,12.672,12.9,12.11,12.66,8817391.0,BRKO
2025-02-11,12.487,12.56,12.4,12.49,8195572.0,BRKO
2025-02-12,12.797,13.0,12.0,12.99,17613183.0,BRKO
2025-02-13,12.919,13.16,12.8,13.16,9842671.0,BRKO
2025-02-14,13.191,13.25,13.16,13.25,16633250.0,BRKO
2025-02-17,13.301,13.45,12.88,12.88,5204815.0,BRKO
2025-02-18,13.005,13.24,12.6,12.6,5872001.0,BRKO
2025-02-19,12.442,12.5,12.1,12.5,6176551.0,BRKO
2025-02-20,12.491,12.5,12.3,12.5,7931663.0,BRKO
2025-02-21,12.698,12.8,12.5,12.5,5241912.0,BRKO
2025-02-24,12.589,12.77,11.92,12.7,5721432.0,BRKO
2025-02-25,12.593,12.7,12.2,12.2,4647095.0,BRKO
2025-02-26,12.218,12.22,12.21,12.22,6505255.0,BRKO
2025-02-27,12.683,12.72,12.59,12.59,3131472.0,BRKO
2025-02-28,12.362,12.58,12.34,12.34,3929935.0,BRKO
2025-03-03,12.319,12.35,12.25,12.25,6589002.0,BRKO
2025-03-04,12.072,12.2,11.83,11.83,3883606.0,BRKO
2025-03-05,11.383,11.98,10.68,11.9,6236290.0,BRKO
2025-03-06,11.936,12.01,11.88,12.01,5387151.0,BRKO
2025-03-07,12.0,12.01,11.96,11.96,5498822.0,BRKO
2025-03-10,11.583,11.85,11.3,11.3,3580308.0,BRKO
2025-03-11,11.049,11.05,11.04,11.04,6037810.0,BRKO
2025-03-12,11.347,11.37,11.33,11.33,7664972.0,BRKO
2025-03-13,11.17,11.33,11.01,11.01,4183688.0,BRKO
2025-03-14,10.927,11.01,10.81,11.01,5241332.0,BRKO
