date,open,high,low,close,volume,symbol
2025-01-02,4.519548,4.5645156,4.4838705,4.4839,103734980.0,BTCIM
2025-01-03,4.4518056,4.509677,4.403225,4.4677,142689699.0,BTCIM
2025-01-06,4.5167093,4.554838,4.4709673,4.5,104254542.0,BTCIM
2025-01-07,4.457064,4.5129023,4.396774,4.3968,87230093.0,BTCIM
2025-01-08,4.4921284,4.606451,4.374193,4.4839,298287356.0,BTCIM
2025-01-09,4.521612,4.570967,4.445161,4.571,286800646.0,BTCIM
2025-01-10,4.4593863,4.590322,4.3612895,4.3839,363329059.0,BTCIM
2025-01-13,4.308806,4.429032,4.1935477,4.2387,167211542.0,BTCIM
2025-01-14,4.207,4.34,4.07,4.07,88359521.0,BTCIM
2025-01-15,3.916,4.11,3.7,3.9,286169047.0,BTCIM
2025-01-16,3.924,3.96,3.87,3.96,67212349.0,BTCIM
2025-01-17,4.07,4.16,3.94,4.08,138737524.0,BTCIM
2025-01-20,4.393,4.48,4.09,4.44,457840163.0,BTCIM
2025-01-21,4.604,4.72,4.41,4.48,487225899.0,BTCIM
2025-01-22,4.414,4.53,4.3,4.41,217900310.0,BTCIM
2025-01-23,4.657,4.78,4.4,4.67,528880204.0,BTCIM
2025-01-24,4.644,4.79,4.49,4.56,364867506.0,BTCIM
2025-01-27,4.582,4.7,4.43,4.58,291666655.0,BTCIM
2025-01-28,4.572,4.62,4.51,4.51,206467353.0,BTCIM
2025-01-29,4.468,4.53,4.42,4.42,85231035.0,BTCIM
2025-01-30,4.464,4.56,4.39,4.4,112245955.0,BTCIM
2025-01-31,4.391,4.5,4.31,4.37,74153003.0,BTCIM
2025-02-03,4.287,4.38,4.21,4.22,105438756.0,BTCIM
2025-02-04,4.236,4.28,4.2,4.21,53021922.0,BTCIM
2025-02-05,4.317,4.47,4.11,4.27,427873810.0,BTCIM
2025-02-06,4.33,4.41,4.23,4.24,234797043.0,BTCIM
2025-02-07,4.306,4.36,4.22,4.3,89666159.0,BTCIM
2025-02-10,4.348,4.47,4.21,4.3,334178464.0,BTCIM
2025-02-11,4.341,4.38,4.28,4.31,122043722.0,BTCIM
2025-02-12,4.266,4.36,4.19,4.23,164293673.0,BTCIM
2025-02-13,4.235,4.28,4.2,4.21,93647123.0,BTCIM
2025-02-14,4.292,4.34,4.23,4.27,190337354.0,BTCIM
2025-02-17,4.253,4.29,4.22,4.26,75005262.0,BTCIM
2025-02-18,4.251,4.3,4.21,4.27,60580096.0,BTCIM
2025-02-19,4.274,4.34,4.21,4.22,68356877.0,BTCIM
2025-02-20,4.243,4.26,4.22,4.25,33950635.0,BTCIM
2025-02-21,4.201,4.27,4.13,4.15,49765205.0,BTCIM
2025-02-24,4.144,4.23,4.06,4.1,58492505.0,BTCIM
2025-02-25,4.002,4.12,3.93,4.01,71300053.0,BTCIM
2025-02-26,3.93,4.02,3.88,3.95,70228722.0,BTCIM
2025-02-27,3.99,4.03,3.92,3.99,102846312.0,BTCIM
2025-02-28,4.008,4.07,3.96,3.96,83263900.0,BTCIM
2025-03-03,4.03,4.12,3.96,4.03,77619634.0,BTCIM
2025-03-04,3.989,4.07,3.91,3.94,47218906.0,BTCIM
2025-03-05,3.954,3.99,3.91,3.97,68035765.0,BTCIM
2025-03-06,4.046,4.13,3.97,4.12,102223557.0,BTCIM
2025-03-07,4.127,4.19,4.08,4.12,53579609.0,BTCIM
2025-03-10,4.107,4.16,4.06,4.1,52361609.0,BTCIM
2025-03-11,4.124,4.21,4.03,4.16,73156039.0,BTCIM
2025-03-12,4.183,4.24,4.11,4.17,104732418.0,BTCIM
2025-03-13,4.413,4.58,4.16,4.41,359848567.0,BTCIM
2025-03-14,4.469,4.54,4.41,4.47,212417536.0,BTCIM
2025-03-17,4.512,4.56,4.44,4.52,241364237.0,BTCIM
2025-03-18,4.527,4.65,4.44,4.63,177330434.0,BTCIM
2025-03-19,4.277,4.41,4.17,4.17,152727878.0,BTCIM
2025-03-20,4.142,4.28,3.99,4.08,158427528.0,BTCIM
2025-03-21,3.786,4.23,3.68,3.73,142701646.0,BTCIM
2025-03-24,3.817,3.95,3.63,3.91,153640568.0,BTCIM
2025-03-25,4.128,4.23,3.93,4.18,160807735.0,BTCIM
2025-03-26,4.35,4.44,4.06,4.38,204874220.0,BTCIM
2025-03-27,4.417,4.5,4.37,4.37,154949833.0,BTCIM
2025-03-28,4.309,4.41,4.22,4.37,109946795.0,BTCIM
2025-04-02,4.376,4.44,4.33,4.36,74324491.0,BTCIM
