date,open,high,low,close,volume,symbol
2025-01-02,38.697,39.28,38.28,38.96,86329071.0,CATES
2025-01-03,39.213,39.98,38.38,39.6,90079742.0,CATES
2025-01-06,40.397,40.82,39.6,40.3,81362451.0,CATES
2025-01-07,40.051,40.74,39.62,39.66,47765903.0,CATES
2025-01-08,39.217,40.16,38.44,38.44,44137432.0,CATES
2025-01-09,38.786,39.28,38.32,39.18,39243446.0,CATES
2025-01-10,38.675,39.28,38.1,38.48,34900365.0,CATES
2025-01-13,37.749,38.5,37.36,37.7,37121770.0,CATES
2025-01-14,37.566,38.0,37.04,37.04,31988889.0,CATES
2025-01-15,36.933,37.4,36.66,37.18,26776880.0,CATES
2025-01-16,37.51,37.86,37.2,37.82,22692124.0,CATES
2025-01-17,37.564,38.02,37.2,38.0,20501194.0,CATES
2025-01-20,37.825,38.44,37.52,37.7,48370772.0,CATES
2025-01-21,37.279,37.86,36.94,37.0,30492814.0,CATES
2025-01-22,37.03,37.44,36.78,37.24,21730645.0,CATES
2025-01-23,37.198,37.62,36.76,36.86,23711536.0,CATES
2025-01-24,37.12,38.0,36.58,37.56,32986403.0,CATES
2025-01-27,37.318,38.0,36.74,36.76,37470200.0,CATES
2025-01-28,37.351,37.96,36.82,36.86,52729486.0,CATES
2025-01-29,36.326,37.14,35.82,35.86,55153403.0,CATES
2025-01-30,35.573,36.08,35.18,35.2,43636965.0,CATES
2025-01-31,34.993,35.46,34.74,35.0,29644622.0,CATES
2025-02-03,34.367,35.0,33.98,34.08,30737346.0,CATES
2025-02-04,34.268,34.7,34.04,34.18,38958494.0,CATES
2025-02-05,33.632,34.3,33.12,33.46,42087342.0,CATES
2025-02-06,33.672,33.94,33.5,33.56,33388944.0,CATES
2025-02-07,33.903,34.28,33.46,34.2,29461432.0,CATES
2025-02-10,34.198,34.5,33.96,34.1,22714017.0,CATES
2025-02-11,33.839,34.2,33.6,33.94,30432679.0,CATES
2025-02-12,33.756,34.32,33.44,33.44,23550660.0,CATES
2025-02-13,33.443,33.66,33.32,33.5,16583821.0,CATES
2025-02-14,33.472,33.78,33.22,33.4,21517114.0,CATES
2025-02-17,33.615,33.9,33.38,33.4,21181976.0,CATES
2025-02-18,33.026,33.68,32.8,32.84,30326222.0,CATES
2025-02-19,32.504,33.02,32.0,32.0,33991532.0,CATES
2025-02-20,32.278,33.08,31.98,32.54,27858454.0,CATES
2025-02-21,32.994,34.32,31.52,32.1,84728114.0,CATES
2025-02-24,32.544,32.92,32.22,32.32,20365423.0,CATES
2025-02-25,31.736,32.46,31.3,31.44,26710894.0,CATES
2025-02-26,31.431,31.7,31.08,31.36,28942736.0,CATES
2025-02-27,31.594,31.82,31.2,31.54,21797859.0,CATES
2025-02-28,31.571,31.84,31.32,31.52,21544851.0,CATES
2025-03-03,31.629,31.98,31.4,31.58,30962463.0,CATES
2025-03-04,29.306,30.48,28.84,29.2,77071751.0,CATES
2025-03-05,28.909,29.34,28.76,28.9,36117751.0,CATES
2025-03-06,29.321,29.6,29.0,29.46,34244749.0,CATES
2025-03-07,30.06,30.54,29.28,30.5,37949625.0,CATES
2025-03-10,31.003,31.54,30.32,31.54,39226386.0,CATES
2025-03-11,30.8,31.2,30.1,30.84,22953550.0,CATES
2025-03-12,30.529,31.38,30.12,30.12,19871449.0,CATES
2025-03-13,30.761,31.18,30.22,30.88,29363531.0,CATES
2025-03-14,31.121,31.34,30.9,31.16,19928068.0,CATES
2025-03-17,31.648,32.0,31.18,31.74,34462201.0,CATES
2025-03-18,31.77,32.18,31.22,31.68,25972105.0,CATES
2025-03-19,29.52,30.78,28.52,28.58,30590475.0,CATES
2025-03-20,29.089,29.52,28.36,29.06,20414293.0,CATES
2025-03-21,27.206,28.98,26.2,26.9,22632503.0,CATES
2025-03-24,26.675,28.0,25.68,26.98,29828185.0,CATES
2025-03-25,27.695,28.08,27.0,27.94,16893594.0,CATES
2025-03-26,28.148,28.44,27.72,28.44,15128499.0,CATES
2025-03-27,29.074,29.4,28.58,29.04,18738519.0,CATES
