date,open,high,low,close,volume,symbol
2025-01-02,39.586,40.5,38.46,39.78,68875513.0,DERIM
2025-01-03,40.605,41.74,39.1,40.6,76268541.0,DERIM
2025-01-06,40.243,41.28,39.36,39.46,52687901.0,DERIM
2025-01-07,39.654,40.3,38.72,39.62,31156892.0,DERIM
2025-01-08,40.307,41.5,39.34,39.72,56367545.0,DERIM
2025-01-09,39.134,40.48,37.88,40.04,35788083.0,DERIM
2025-01-10,39.773,40.5,38.92,39.38,25417809.0,DERIM
2025-01-13,38.351,39.38,37.96,38.16,18321100.0,DERIM
2025-01-14,38.453,39.0,38.08,38.16,16380108.0,DERIM
2025-01-15,38.32,39.22,37.66,38.56,16286835.0,DERIM
2025-01-16,38.643,39.26,37.7,38.12,24308506.0,DERIM
2025-01-17,38.551,39.38,37.8,38.66,14384432.0,DERIM
2025-01-20,39.378,40.2,38.4,39.72,29229954.0,DERIM
2025-01-21,39.261,40.08,38.54,39.08,28942346.0,DERIM
2025-01-22,38.828,39.74,38.16,38.16,13877946.0,DERIM
2025-01-23,38.273,38.88,37.62,37.9,11508244.0,DERIM
2025-01-24,38.84,39.76,37.28,39.1,25638909.0,DERIM
2025-01-27,38.116,39.1,37.16,37.7,14449371.0,DERIM
2025-01-28,37.118,38.4,36.26,37.2,25472857.0,DERIM
2025-01-29,36.367,37.76,35.8,35.84,15821518.0,DERIM
2025-01-30,35.689,36.26,35.1,35.56,11075760.0,DERIM
2025-01-31,35.512,36.0,35.3,35.4,6893895.0,DERIM
2025-02-03,34.562,35.3,33.3,34.16,10812424.0,DERIM
2025-02-04,35.803,37.08,32.48,35.98,29750678.0,DERIM
2025-02-05,34.682,35.78,33.92,34.08,11485829.0,DERIM
2025-02-06,34.493,35.12,33.0,34.72,9445055.0,DERIM
2025-02-07,34.61,34.86,34.24,34.56,7457001.0,DERIM
2025-02-10,34.864,35.7,34.18,35.06,17583637.0,DERIM
2025-02-11,34.713,35.5,34.46,35.0,6839493.0,DERIM
2025-02-12,37.43,38.5,34.54,38.5,86480475.0,DERIM
2025-02-13,37.391,39.82,35.64,36.1,107743972.0,DERIM
2025-02-14,35.656,36.2,35.06,35.9,29300167.0,DERIM
2025-02-17,35.932,36.6,35.36,35.68,14958217.0,DERIM
2025-02-18,35.036,35.68,34.66,34.84,11290991.0,DERIM
2025-02-19,34.892,35.5,34.36,34.4,13705439.0,DERIM
2025-02-20,34.939,35.6,34.4,35.02,12879285.0,DERIM
2025-02-21,34.747,35.44,33.62,33.72,11894547.0,DERIM
2025-02-24,34.2,34.8,33.72,34.0,9175269.0,DERIM
2025-02-25,33.598,34.04,33.02,33.68,11307083.0,DERIM
2025-02-26,33.325,33.78,32.9,32.9,9859610.0,DERIM
2025-02-27,33.184,33.42,32.9,33.02,7273986.0,DERIM
2025-02-28,33.136,33.44,32.76,33.18,5893604.0,DERIM
2025-03-03,32.478,33.5,32.0,32.22,16563678.0,DERIM
2025-03-04,32.223,33.48,31.0,31.16,24255871.0,DERIM
2025-03-05,31.476,32.24,30.84,31.76,14802540.0,DERIM
2025-03-06,32.145,32.72,31.56,32.12,13204740.0,DERIM
