date,open,high,low,close,volume,symbol
2025-01-02,46.273,46.74,45.76,46.64,19497250.0,DGATE
2025-01-03,45.976,46.9,45.22,46.54,21365754.0,DGATE
2025-01-06,45.705,46.4,44.84,44.84,16755591.0,DGATE
2025-01-07,45.099,45.5,44.56,45.36,8113513.0,DGATE
2025-01-08,45.065,46.48,44.6,44.62,9912215.0,DGATE
2025-01-09,44.46,45.48,43.78,44.52,8130073.0,DGATE
2025-01-10,45.412,46.36,44.2,45.96,19577189.0,DGATE
2025-01-13,45.452,46.18,45.02,45.1,12809734.0,DGATE
2025-01-14,46.105,47.04,44.88,46.82,24720907.0,DGATE
2025-01-15,46.439,47.26,45.9,46.48,9227703.0,DGATE
2025-01-16,46.394,47.34,45.28,45.94,22863444.0,DGATE
2025-01-17,46.53,47.44,45.22,45.8,48524594.0,DGATE
2025-01-20,47.977,50.0,44.5,50.0,50574057.0,DGATE
2025-01-21,48.82,50.0,47.66,49.98,30601626.0,DGATE
2025-01-22,49.787,50.8,48.92,50.0,16542426.0,DGATE
2025-01-23,51.156,51.95,49.9,51.3,16394041.0,DGATE
2025-01-24,50.731,52.4,49.64,52.4,17551575.0,DGATE
2025-01-27,53.078,54.4,51.15,54.05,35430871.0,DGATE
2025-01-28,53.834,54.8,52.6,53.1,22535162.0,DGATE
2025-01-29,53.984,54.85,52.4,53.4,14921476.0,DGATE
2025-01-30,53.616,54.85,52.75,54.1,12786195.0,DGATE
2025-01-31,54.628,55.4,53.9,55.4,16597137.0,DGATE
2025-02-03,55.09,56.4,53.5,56.0,19310549.0,DGATE
2025-02-04,56.452,58.95,54.9,58.95,22190626.0,DGATE
2025-02-05,54.87,59.0,53.1,53.35,57581181.0,DGATE
2025-02-06,52.039,53.35,51.2,51.6,23296715.0,DGATE
2025-02-07,54.649,56.15,51.5,55.85,38043102.0,DGATE
2025-02-10,57.479,59.1,55.25,58.7,41441216.0,DGATE
2025-02-11,57.877,59.6,56.6,58.5,30826790.0,DGATE
2025-02-12,57.132,62.35,55.9,56.3,25216646.0,DGATE
2025-02-13,56.527,57.6,55.2,57.5,21541168.0,DGATE
2025-02-14,58.389,61.65,56.45,59.85,22789272.0,DGATE
2025-02-17,61.125,62.2,59.25,62.05,25952457.0,DGATE
2025-02-18,60.754,62.4,59.95,60.0,25524262.0,DGATE
2025-02-19,60.642,61.85,59.35,61.6,22054867.0,DGATE
2025-02-20,63.189,64.1,61.1,63.95,32684953.0,DGATE
2025-02-21,63.083,64.8,61.8,62.0,24913388.0,DGATE
2025-02-24,64.035,65.15,62.95,64.9,31487763.0,DGATE
2025-02-25,62.253,65.5,59.5,59.8,33736751.0,DGATE
2025-02-26,59.521,60.95,58.45,58.45,21253788.0,DGATE
2025-02-27,56.151,59.65,54.1,54.1,37926268.0,DGATE
2025-02-28,55.097,56.15,54.25,54.4,16668523.0,DGATE
2025-03-03,54.042,55.5,52.9,55.4,18493116.0,DGATE
2025-03-04,52.338,56.8,49.86,49.86,33396793.0,DGATE
2025-03-05,48.189,51.0,45.5,48.8,46334260.0,DGATE
2025-03-06,51.252,52.2,48.7,51.6,17087316.0,DGATE
2025-03-07,54.966,56.75,50.85,56.75,29528344.0,DGATE
2025-03-10,57.613,59.5,55.75,57.05,53783600.0,DGATE
2025-03-11,54.417,57.15,53.15,53.8,25553140.0,DGATE
2025-03-12,53.197,54.5,52.5,52.5,13532762.0,DGATE
2025-03-13,54.843,56.9,53.1,54.4,19977643.0,DGATE
2025-03-14,54.122,55.85,52.3,54.4,20056412.0,DGATE
2025-03-17,53.995,54.95,53.2,53.2,13395290.0,DGATE
2025-03-18,52.878,54.0,52.05,53.5,10167862.0,DGATE
2025-03-19,49.638,52.0,48.16,48.4,8722854.0,DGATE
2025-03-20,49.571,51.05,47.92,49.52,12858051.0,DGATE
2025-03-21,45.453,49.82,44.58,45.12,9689393.0,DGATE
2025-03-24,46.257,48.52,43.6,46.5,23701019.0,DGATE
2025-03-25,48.735,50.65,46.52,50.0,13380366.0,DGATE
2025-03-26,51.185,53.6,49.0,52.2,14233806.0,DGATE
2025-03-27,52.78,54.0,51.5,52.0,10482038.0,DGATE
2025-03-28,51.229,52.4,50.5,51.0,6015411.0,DGATE
2025-04-02,51.241,52.8,49.12,52.3,13378138.0,DGATE
2025-04-03,51.982,53.9,50.6,52.2,14972679.0,DGATE
2025-04-04,50.823,52.45,50.05,50.05,9838975.0,DGATE
2025-04-07,49.145,52.0,47.24,52.0,9155992.0,DGATE
2025-04-08,52.481,53.55,51.85,52.5,12358199.0,DGATE
2025-04-09,51.021,52.3,50.3,50.3,10786318.0,DGATE
2025-04-10,50.924,52.1,50.05,50.9,12401786.0,DGATE
2025-04-11,51.66,53.95,50.0,52.15,12797351.0,DGATE
2025-04-14,52.039,52.7,50.85,51.45,14669465.0,DGATE
2025-04-15,50.891,51.65,50.55,50.55,8134931.0,DGATE
2025-04-16,49.454,50.75,48.5,49.0,13531025.0,DGATE
2025-04-17,50.142,51.2,49.0,49.98,8946710.0,DGATE
2025-04-18,50.175,51.6,49.14,50.1,10907500.0,DGATE
2025-04-21,50.869,51.7,50.0,50.65,11864103.0,DGATE
2025-04-22,50.024,51.9,49.0,49.3,10277289.0,DGATE
2025-04-24,52.615,53.9,49.08,53.5,46035113.0,DGATE
2025-04-25,57.45,58.85,53.0,58.85,116340270.0,DGATE
2025-04-28,63.447,64.7,60.1,64.7,176436882.0,DGATE
2025-04-29,68.814,71.05,66.7,66.75,203407585.0,DGATE
2025-04-30,68.436,72.0,64.5,70.55,115758842.0,DGATE
2025-05-02,73.136,75.1,71.05,75.0,82148864.0,DGATE
2025-05-05,71.089,76.5,68.4,70.05,111479481.0,DGATE
2025-05-06,68.194,73.6,65.6,68.25,68167204.0,DGATE
2025-05-07,68.3,72.0,66.05,70.0,43440988.0,DGATE
2025-05-08,71.481,74.0,69.0,72.3,53620216.0,DGATE
2025-05-09,71.639,74.4,69.5,71.45,31565810.0,DGATE
2025-05-12,69.857,71.8,68.1,68.65,36220751.0,DGATE
2025-05-13,71.596,73.7,67.0,69.95,61326807.0,DGATE
2025-05-14,70.262,73.2,69.15,69.9,44741743.0,DGATE
2025-05-15,68.725,70.6,67.2,67.7,29485509.0,DGATE
