date,open,high,low,close,volume,symbol
2025-01-02,1.5802499,1.6274999,1.5374999,1.5725,50282108.0,DMRGD
2025-01-03,1.5731249,1.5912498,1.5574999,1.5625,28989778.0,DMRGD
2025-01-06,1.5699999,1.5924999,1.5499998,1.55,41256514.0,DMRGD
2025-01-07,1.5408748,1.5599998,1.5299999,1.53,22284576.0,DMRGD
2025-01-08,1.5389999,1.5774999,1.5012499,1.5012,36654802.0,DMRGD
2025-01-09,1.5124999,1.5274999,1.4962499,1.51,23903412.0,DMRGD
2025-01-10,1.5266249,1.5487499,1.5074999,1.5175,36336553.0,DMRGD
2025-01-13,1.5718749,1.6137499,1.5049999,1.5462,65801203.0,DMRGD
2025-01-14,1.5259999,1.5574999,1.5049999,1.5062,27810158.0,DMRGD
2025-01-15,1.5023749,1.5337499,1.4849999,1.4912,22460905.0,DMRGD
2025-01-16,1.5141249,1.5299999,1.5012499,1.5175,19383997.0,DMRGD
2025-01-17,1.5234998,1.5612499,1.4974998,1.5537,28935029.0,DMRGD
2025-01-20,1.5518749,1.5824999,1.5312499,1.5337,21359435.0,DMRGD
2025-01-21,1.5541248,1.5849999,1.5199999,1.5475,32268310.0,DMRGD
2025-01-22,1.5569999,1.5812498,1.5337499,1.5437,29005872.0,DMRGD
2025-01-23,1.5468749,1.5674999,1.5337499,1.5475,22695654.0,DMRGD
2025-01-24,1.5454999,1.5612499,1.5337499,1.535,16865302.0,DMRGD
2025-01-27,1.5109999,1.5349998,1.4987499,1.5062,16657037.0,DMRGD
2025-01-28,1.5096248,1.5312499,1.4999999,1.5,15428466.0,DMRGD
2025-01-29,1.5449998,1.6037499,1.4912499,1.5375,85245742.0,DMRGD
2025-01-30,1.5756248,1.5974998,1.5262499,1.5862,57543536.0,DMRGD
2025-01-31,1.5859998,1.6124998,1.5624999,1.5762,26357618.0,DMRGD
2025-02-03,1.5861249,1.6049999,1.5462499,1.5925,37980005.0,DMRGD
2025-02-04,1.5946249,1.6099999,1.5787499,1.5875,19022196.0,DMRGD
2025-02-05,1.5778749,1.6562499,1.5224999,1.5812,61862093.0,DMRGD
2025-02-06,1.5767499,1.5924999,1.5612499,1.5637,16251483.0,DMRGD
2025-02-07,1.5928749,1.6087499,1.5612499,1.6087,22757165.0,DMRGD
2025-02-10,1.6229999,1.6499999,1.6087499,1.6212,26910802.0,DMRGD
2025-02-11,1.6157498,1.6437498,1.5937499,1.6162,29360702.0,DMRGD
2025-02-12,1.5876249,1.6262499,1.5624999,1.5625,22444107.0,DMRGD
2025-02-13,1.5692499,1.6124998,1.5437499,1.5725,28220534.0,DMRGD
2025-02-14,1.5874999,1.6049999,1.5624999,1.5937,24441308.0,DMRGD
2025-02-17,1.5892498,1.6249999,1.5512499,1.5512,32262465.0,DMRGD
