date,open,high,low,close,volume,symbol
2025-01-02,8.144,8.28,7.97,8.17,279003281.0,ENTRA
2025-01-03,8.179,8.26,8.1,8.18,146672058.0,ENTRA
2025-01-06,8.295,8.36,8.19,8.29,201625784.0,ENTRA
2025-01-07,8.356,8.59,8.2,8.5,298236489.0,ENTRA
2025-01-08,8.325,8.49,8.19,8.19,252320122.0,ENTRA
2025-01-09,8.478,8.71,8.2,8.42,718945601.0,ENTRA
2025-01-10,8.517,8.65,8.42,8.51,430525867.0,ENTRA
2025-01-13,8.776,9.05,8.42,8.77,927979777.0,ENTRA
2025-01-14,8.785,9.11,8.45,8.46,774443931.0,ENTRA
2025-01-15,8.423,8.63,8.25,8.31,246993351.0,ENTRA
2025-01-16,8.437,8.55,8.34,8.51,237668203.0,ENTRA
2025-01-17,8.53,8.62,8.44,8.53,173318220.0,ENTRA
2025-01-20,8.509,8.63,8.39,8.39,171629179.0,ENTRA
2025-01-21,8.361,8.47,8.25,8.27,137199558.0,ENTRA
2025-01-22,8.208,8.31,8.14,8.16,118351380.0,ENTRA
2025-01-23,8.212,8.26,8.16,8.18,100941340.0,ENTRA
2025-01-24,8.107,8.25,8.04,8.11,128888433.0,ENTRA
2025-01-27,8.096,8.23,8.0,8.02,103607961.0,ENTRA
2025-01-28,8.083,8.19,7.98,8.02,118481679.0,ENTRA
2025-01-29,7.982,8.08,7.88,7.88,83062061.0,ENTRA
2025-01-30,7.92,8.01,7.84,7.84,123418079.0,ENTRA
2025-01-31,7.801,7.89,7.74,7.74,89687454.0,ENTRA
2025-02-03,7.6,7.69,7.54,7.56,64793131.0,ENTRA
2025-02-04,7.607,7.65,7.57,7.64,47131414.0,ENTRA
2025-02-05,7.54,7.66,7.46,7.53,58250467.0,ENTRA
2025-02-06,7.608,7.65,7.55,7.63,53274935.0,ENTRA
2025-02-07,7.651,7.7,7.62,7.7,60455935.0,ENTRA
2025-02-10,7.666,7.73,7.6,7.63,49780819.0,ENTRA
2025-02-11,7.594,7.64,7.55,7.62,52071733.0,ENTRA
2025-02-12,7.575,7.65,7.52,7.53,43239633.0,ENTRA
2025-02-13,7.554,7.6,7.53,7.56,51269329.0,ENTRA
2025-02-14,7.565,7.64,7.53,7.55,52955377.0,ENTRA
2025-02-17,7.629,7.69,7.56,7.61,75101691.0,ENTRA
2025-02-18,7.52,7.62,7.45,7.52,75538203.0,ENTRA
