date,open,high,low,close,volume,symbol
2025-01-02,9.188,9.2,9.0,9.1,8685019.0,EUHOL
2025-01-03,9.058,9.1,9.0,9.0,19574049.0,EUHOL
2025-01-06,8.983,9.0,8.74,8.74,10881989.0,EUHOL
2025-01-07,8.971,8.99,8.9,8.9,7082404.0,EUHOL
2025-01-08,9.301,9.5,8.9,9.4,12429437.0,EUHOL
2025-01-09,9.103,9.35,9.0,9.0,13262503.0,EUHOL
2025-01-10,9.031,9.1,9.0,9.1,6582019.0,EUHOL
2025-01-13,8.953,9.1,8.7,8.7,3550947.0,EUHOL
2025-01-14,8.692,8.85,8.42,8.85,5650019.0,EUHOL
2025-01-15,8.899,8.9,8.89,8.89,4944329.0,EUHOL
2025-01-16,8.608,8.9,8.01,8.85,2792481.0,EUHOL
2025-01-17,8.85,8.85,8.85,8.85,4969337.0,EUHOL
2025-01-20,8.548,8.8,8.25,8.25,4919646.0,EUHOL
2025-01-21,8.563,8.7,8.41,8.7,2432569.0,EUHOL
2025-01-22,8.7,8.7,8.7,8.7,6923051.0,EUHOL
2025-01-23,8.614,8.7,8.56,8.56,4910555.0,EUHOL
2025-01-24,8.561,8.7,8.4,8.7,4436208.0,EUHOL
2025-01-27,8.618,8.72,8.5,8.5,4229985.0,EUHOL
2025-01-28,8.327,8.4,8.28,8.39,2597899.0,EUHOL
2025-01-29,8.365,8.38,8.34,8.34,2893966.0,EUHOL
2025-01-30,8.229,8.3,8.01,8.3,1972894.0,EUHOL
2025-01-31,8.205,8.3,8.1,8.1,1953571.0,EUHOL
2025-02-03,8.129,8.3,8.0,8.0,1512927.0,EUHOL
2025-02-04,8.179,8.3,7.92,7.92,2826802.0,EUHOL
2025-02-05,7.618,7.92,7.13,7.9,4530313.0,EUHOL
2025-02-06,8.013,8.05,8.0,8.03,1549570.0,EUHOL
2025-02-07,7.871,8.0,7.78,7.78,1750264.0,EUHOL
2025-02-10,7.651,7.78,7.17,7.78,2571164.0,EUHOL
2025-02-11,7.509,7.51,7.5,7.5,3089557.0,EUHOL
2025-02-12,7.279,7.47,7.13,7.33,1802690.0,EUHOL
2025-02-13,7.184,7.33,7.12,7.12,2182717.0,EUHOL
2025-02-14,7.148,7.15,7.12,7.15,3007584.0,EUHOL
2025-02-17,7.171,7.18,7.15,7.18,2587159.0,EUHOL
2025-02-18,7.336,7.5,7.03,7.5,4208443.0,EUHOL
2025-02-19,7.611,7.7,7.52,7.63,3106910.0,EUHOL
2025-02-20,7.702,7.73,7.63,7.71,6017382.0,EUHOL
2025-02-21,7.942,8.2,7.6,8.2,10479655.0,EUHOL
2025-02-24,8.749,9.02,8.36,9.01,20635486.0,EUHOL
2025-02-25,8.756,9.4,8.4,8.4,10661028.0,EUHOL
2025-02-26,8.06,8.4,7.68,8.24,3623858.0,EUHOL
2025-02-27,8.417,8.5,8.31,8.4,3514131.0,EUHOL
2025-02-28,8.45,8.5,8.4,8.5,4977682.0,EUHOL
2025-03-03,8.5,8.5,8.5,8.5,13806542.0,EUHOL
2025-03-04,8.746,8.75,8.61,8.75,5976606.0,EUHOL
2025-03-05,8.971,9.0,8.95,8.95,14268707.0,EUHOL
2025-03-06,8.868,8.93,8.85,8.86,4946156.0,EUHOL
2025-03-07,8.93,8.93,8.93,8.93,4083251.0,EUHOL
2025-03-10,9.211,9.4,9.0,9.4,17419456.0,EUHOL
2025-03-11,9.808,9.9,9.6,9.9,16641870.0,EUHOL
2025-03-12,9.921,9.99,9.7,9.7,10798103.0,EUHOL
2025-03-13,9.643,9.81,9.6,9.81,7835759.0,EUHOL
2025-03-14,10.123,10.55,9.88,10.55,10675106.0,EUHOL
2025-03-17,11.075,11.6,10.7,11.6,57532212.0,EUHOL
2025-03-18,12.735,12.76,12.72,12.76,40272480.0,EUHOL
2025-03-19,13.106,13.54,13.0,13.01,33916015.0,EUHOL
2025-03-20,13.56,13.83,13.01,13.83,11259403.0,EUHOL
2025-03-21,14.268,14.5,14.15,14.15,28967971.0,EUHOL
2025-03-24,14.839,15.0,14.15,15.0,34944394.0,EUHOL
2025-03-25,16.322,16.5,15.5,16.5,49180678.0,EUHOL
2025-03-26,18.074,18.15,17.65,17.95,57834167.0,EUHOL
2025-03-27,17.613,18.23,17.5,18.23,39204683.0,EUHOL
2025-03-28,19.74,20.0,19.47,20.0,36639576.0,EUHOL
2025-04-02,20.357,20.5,20.0,20.28,30970293.0,EUHOL
2025-04-03,20.779,20.84,20.76,20.84,30608389.0,EUHOL
2025-04-04,20.632,20.84,19.89,19.89,30380708.0,EUHOL
2025-04-07,17.91,17.91,17.91,17.91,19870554.0,EUHOL
2025-04-08,16.12,16.12,16.12,16.12,17795271.0,EUHOL
2025-04-09,14.51,14.51,14.51,14.51,9773211.0,EUHOL
2025-04-10,13.06,13.06,13.06,13.06,48699042.0,EUHOL
2025-04-11,14.164,14.36,13.28,14.36,28547275.0,EUHOL
2025-04-14,14.936,15.79,13.6,13.6,75349760.0,EUHOL
2025-04-15,12.246,12.3,12.24,12.3,41512941.0,EUHOL
2025-04-16,12.089,12.51,11.94,12.14,27150294.0,EUHOL
2025-04-17,12.14,13.0,11.5,13.0,36800801.0,EUHOL
