date,open,high,low,close,volume,symbol
2025-01-02,7.983,8.17,7.72,8.11,49186825.0,FRIGO
2025-01-03,8.149,8.29,8.02,8.14,34162522.0,FRIGO
2025-01-06,8.249,8.35,8.15,8.23,20495628.0,FRIGO
2025-01-07,8.265,8.36,8.18,8.23,28210153.0,FRIGO
2025-01-08,8.257,8.42,8.1,8.4,52079899.0,FRIGO
2025-01-09,8.409,8.5,8.32,8.38,21009335.0,FRIGO
2025-01-10,8.365,8.45,8.25,8.27,27434401.0,FRIGO
2025-01-13,8.144,8.32,7.93,7.95,24854652.0,FRIGO
2025-01-14,7.946,8.07,7.87,7.9,19966088.0,FRIGO
2025-01-15,7.835,7.94,7.75,7.84,16766313.0,FRIGO
2025-01-16,8.012,8.13,7.88,8.11,23193820.0,FRIGO
2025-01-17,8.077,8.19,7.93,8.19,17046792.0,FRIGO
2025-01-20,8.262,8.35,8.15,8.22,34147514.0,FRIGO
2025-01-21,8.092,8.27,7.98,8.0,19170684.0,FRIGO
2025-01-22,8.035,8.16,7.98,8.0,14598872.0,FRIGO
2025-01-23,8.006,8.11,7.95,7.95,15520977.0,FRIGO
2025-01-24,8.555,8.74,7.96,8.74,161757514.0,FRIGO
2025-01-27,8.499,8.69,8.36,8.5,108796225.0,FRIGO
2025-01-28,8.463,8.58,8.38,8.5,38475282.0,FRIGO
2025-01-29,8.749,8.99,8.47,8.57,100531375.0,FRIGO
2025-01-30,8.579,8.71,8.48,8.56,41523582.0,FRIGO
2025-01-31,8.549,8.7,8.4,8.49,32453577.0,FRIGO
2025-02-03,8.295,8.47,8.18,8.3,26845009.0,FRIGO
2025-02-04,8.259,8.36,8.12,8.13,17371971.0,FRIGO
2025-02-05,7.988,8.18,7.75,7.96,41119985.0,FRIGO
2025-02-06,8.058,8.12,8.0,8.03,17410276.0,FRIGO
2025-02-07,8.096,8.14,8.04,8.14,17479188.0,FRIGO
2025-02-10,8.088,8.17,8.03,8.03,17520746.0,FRIGO
2025-02-11,8.038,8.1,7.98,8.09,15177060.0,FRIGO
2025-02-12,7.962,8.12,7.88,7.89,20236817.0,FRIGO
2025-02-13,8.031,8.15,7.9,8.03,23836915.0,FRIGO
2025-02-14,7.99,8.1,7.93,7.97,14863543.0,FRIGO
2025-02-17,8.028,8.11,7.98,8.0,16215352.0,FRIGO
2025-02-18,7.951,8.03,7.91,7.99,14581644.0,FRIGO
2025-02-19,7.894,8.02,7.78,7.86,20693788.0,FRIGO
2025-02-20,7.884,7.95,7.81,7.92,10750037.0,FRIGO
2025-02-21,7.847,7.94,7.67,7.77,14521926.0,FRIGO
2025-02-24,7.831,7.89,7.77,7.81,9986319.0,FRIGO
2025-02-25,7.74,7.8,7.71,7.73,10216381.0,FRIGO
2025-02-26,7.726,7.79,7.69,7.71,9368585.0,FRIGO
2025-02-27,7.842,7.9,7.7,7.84,11724943.0,FRIGO
2025-02-28,7.947,8.02,7.85,7.98,26469986.0,FRIGO
2025-03-03,7.876,7.99,7.78,7.8,17692847.0,FRIGO
2025-03-04,7.76,7.9,7.66,7.67,18260796.0,FRIGO
2025-03-05,7.674,7.73,7.6,7.69,15684308.0,FRIGO
2025-03-06,7.828,7.89,7.71,7.88,16968103.0,FRIGO
2025-03-07,8.036,8.19,7.84,8.18,36761598.0,FRIGO
2025-03-10,8.244,8.33,8.12,8.25,26204043.0,FRIGO
2025-03-11,8.257,8.36,8.16,8.22,25120315.0,FRIGO
2025-03-12,8.165,8.27,8.08,8.2,22595847.0,FRIGO
2025-03-13,8.295,8.38,8.21,8.22,23872656.0,FRIGO
2025-03-14,8.281,8.35,8.24,8.25,14503486.0,FRIGO
2025-03-17,8.307,8.38,8.24,8.31,28722169.0,FRIGO
2025-03-18,8.38,8.49,8.25,8.48,47986847.0,FRIGO
2025-03-19,7.851,8.09,7.64,7.64,42883009.0,FRIGO
2025-03-20,7.917,8.04,7.66,8.02,40018519.0,FRIGO
2025-03-21,7.526,8.02,7.23,7.4,25820342.0,FRIGO
2025-03-24,7.255,7.65,7.0,7.16,30421564.0,FRIGO
2025-03-25,7.308,7.41,7.15,7.39,23115614.0,FRIGO
2025-03-26,7.379,7.5,7.25,7.39,19465662.0,FRIGO
2025-03-27,7.495,7.57,7.42,7.44,15615082.0,FRIGO
2025-03-28,7.443,7.55,7.3,7.53,17966170.0,FRIGO
2025-04-02,7.637,7.71,7.46,7.63,15526055.0,FRIGO
2025-04-03,7.75,7.88,7.5,7.68,32726140.0,FRIGO
2025-04-04,7.61,7.74,7.54,7.55,15903908.0,FRIGO
2025-04-07,7.445,7.58,7.19,7.53,31833422.0,FRIGO
2025-04-08,7.655,7.71,7.55,7.64,21750729.0,FRIGO
2025-04-09,7.717,7.86,7.6,7.65,30280392.0,FRIGO
2025-04-10,7.821,8.02,7.68,7.72,40327909.0,FRIGO
2025-04-11,7.563,7.86,7.41,7.42,44863230.0,FRIGO
2025-04-14,7.624,7.75,7.38,7.58,37855794.0,FRIGO
2025-04-15,7.762,7.9,7.63,7.67,32609916.0,FRIGO
2025-04-16,7.528,7.75,7.38,7.4,30189939.0,FRIGO
2025-04-17,7.47,7.55,7.38,7.46,18941125.0,FRIGO
2025-04-18,7.45,7.54,7.36,7.45,16247121.0,FRIGO
2025-04-21,7.321,7.62,7.12,7.21,57433554.0,FRIGO
2025-04-22,7.183,7.39,7.0,7.1,50374057.0,FRIGO
2025-04-24,7.202,7.27,7.1,7.2,16543997.0,FRIGO
2025-04-25,7.166,7.25,7.07,7.15,27049786.0,FRIGO
2025-04-28,7.106,7.18,7.04,7.04,14514508.0,FRIGO
2025-04-29,7.126,7.25,6.99,7.25,60940750.0,FRIGO
2025-04-30,7.109,7.32,6.99,7.02,32516201.0,FRIGO
2025-05-02,7.108,7.18,7.03,7.1,19646566.0,FRIGO
2025-05-05,7.057,7.18,6.99,6.99,19103987.0,FRIGO
2025-05-06,7.029,7.08,6.98,6.98,24060345.0,FRIGO
2025-05-07,6.895,7.02,6.77,6.78,29517495.0,FRIGO
2025-05-08,6.885,6.95,6.8,6.94,19263360.0,FRIGO
2025-05-09,6.954,7.03,6.9,6.95,27062713.0,FRIGO
