date,open,high,low,close,volume,symbol
2025-01-02,47.009,47.46,46.54,47.06,194818971.0,GESAN
2025-01-03,48.439,49.46,47.12,49.1,255120833.0,GESAN
2025-01-06,49.107,49.62,48.64,48.84,178256071.0,GESAN
2025-01-07,48.432,49.02,48.0,48.2,136464297.0,GESAN
2025-01-08,48.231,48.86,47.64,47.76,137820822.0,GESAN
2025-01-09,48.422,48.82,47.72,48.68,140954343.0,GESAN
2025-01-10,47.696,48.92,46.88,46.88,168887673.0,GESAN
2025-01-13,45.719,46.8,44.96,44.96,189560794.0,GESAN
2025-01-14,44.977,45.36,44.54,44.82,123157395.0,GESAN
2025-01-15,45.239,45.84,44.82,45.6,112303429.0,GESAN
2025-01-16,45.704,46.2,45.16,46.0,109159867.0,GESAN
2025-01-17,45.849,46.24,45.48,46.16,97825538.0,GESAN
2025-01-20,45.975,46.54,45.42,45.56,128833073.0,GESAN
2025-01-21,46.583,47.9,45.12,47.3,260216778.0,GESAN
2025-01-22,47.004,47.58,46.5,46.9,137879445.0,GESAN
2025-01-23,47.124,47.68,46.5,46.9,162289626.0,GESAN
2025-01-24,47.713,48.7,46.6,48.7,332261995.0,GESAN
2025-01-27,49.673,50.5,47.82,49.98,449386749.0,GESAN
2025-01-28,52.807,54.95,50.9,51.65,1024106629.0,GESAN
2025-01-29,53.002,54.5,50.65,53.3,688433435.0,GESAN
2025-01-30,53.925,56.5,52.1,53.0,704817351.0,GESAN
2025-01-31,52.467,54.1,51.25,51.25,250175461.0,GESAN
2025-02-03,51.384,52.35,50.2,50.95,269507664.0,GESAN
2025-02-04,51.772,52.65,51.1,51.45,262618595.0,GESAN
2025-02-05,49.917,51.85,48.62,49.34,235478627.0,GESAN
2025-02-06,49.72,50.15,49.14,49.3,148452897.0,GESAN
2025-02-07,48.873,49.34,48.5,49.06,143878571.0,GESAN
2025-02-10,50.194,51.2,49.18,50.5,265034346.0,GESAN
2025-02-11,49.998,51.0,49.44,49.96,195370726.0,GESAN
2025-02-12,50.174,51.25,49.62,49.8,182349952.0,GESAN
2025-02-13,51.445,52.9,49.88,52.9,342669932.0,GESAN
2025-02-14,52.494,53.35,51.5,52.75,262754871.0,GESAN
2025-02-17,52.387,53.7,51.65,52.55,197159314.0,GESAN
2025-02-18,53.054,53.8,51.95,53.5,268294430.0,GESAN
2025-02-19,52.791,54.1,50.95,52.5,326869910.0,GESAN
2025-02-20,50.984,52.45,49.8,49.94,346086098.0,GESAN
2025-02-21,49.435,50.7,47.9,48.18,221933365.0,GESAN
2025-02-24,48.321,48.9,47.64,47.76,122004027.0,GESAN
2025-02-25,46.624,47.98,45.78,45.78,144383594.0,GESAN
2025-02-26,46.061,47.0,45.3,46.46,153535410.0,GESAN
2025-02-27,47.655,48.44,46.14,47.86,160471781.0,GESAN
2025-02-28,47.864,48.68,47.3,47.4,109301572.0,GESAN
2025-03-03,47.818,48.4,47.18,47.68,176238300.0,GESAN
2025-03-04,47.164,47.98,46.74,47.92,130558266.0,GESAN
2025-03-05,49.323,50.6,48.0,50.0,210632690.0,GESAN
2025-03-06,50.225,50.8,49.6,50.45,188789033.0,GESAN
2025-03-07,52.37,54.25,50.35,53.9,409171943.0,GESAN
2025-03-10,54.176,55.4,53.3,54.0,240382485.0,GESAN
2025-03-11,52.829,54.1,48.6,51.9,346217170.0,GESAN
2025-03-12,50.298,52.4,49.72,50.95,377284010.0,GESAN
2025-03-13,51.967,52.8,51.3,52.5,263376475.0,GESAN
2025-03-14,53.737,54.65,52.3,54.0,282806942.0,GESAN
2025-03-17,54.078,55.45,53.0,54.7,472133348.0,GESAN
2025-03-18,55.28,56.8,53.25,56.7,580353545.0,GESAN
2025-03-19,52.31,54.05,51.05,51.05,375224456.0,GESAN
2025-03-20,51.301,52.65,50.0,50.65,435171241.0,GESAN
2025-03-21,46.729,50.35,45.6,45.6,432249842.0,GESAN
2025-03-24,43.844,46.7,41.4,43.12,740262043.0,GESAN
2025-03-25,44.05,45.26,43.1,44.48,603622948.0,GESAN
2025-03-26,43.36,43.98,42.88,43.34,336423811.0,GESAN
2025-03-27,44.018,45.1,43.02,43.02,317683988.0,GESAN
2025-03-28,43.402,44.54,42.52,44.34,239944974.0,GESAN
2025-04-02,45.302,46.28,43.64,45.02,415462512.0,GESAN
2025-04-03,45.112,45.8,44.34,44.38,225847080.0,GESAN
2025-04-04,43.666,44.66,43.0,43.5,171587363.0,GESAN
2025-04-07,42.667,43.94,40.66,43.44,187664703.0,GESAN
2025-04-08,43.965,44.36,43.6,43.86,119065738.0,GESAN
2025-04-09,43.321,43.98,42.68,42.68,170741588.0,GESAN
2025-04-10,43.822,44.3,43.36,43.42,163975475.0,GESAN
2025-04-11,43.5,43.98,42.9,43.76,188980526.0,GESAN
2025-04-14,43.908,44.48,43.48,43.64,124503524.0,GESAN
2025-04-15,43.838,44.22,43.4,43.74,114699361.0,GESAN
2025-04-16,43.31,44.54,42.62,43.6,201411175.0,GESAN
2025-04-17,43.705,44.5,42.84,44.02,176725176.0,GESAN
2025-04-18,43.42,44.2,43.0,43.5,115863233.0,GESAN
2025-04-21,43.349,43.84,42.72,42.76,139021759.0,GESAN
2025-04-22,42.26,43.02,41.76,41.76,99484436.0,GESAN
2025-04-24,41.601,42.08,41.12,41.86,130106726.0,GESAN
2025-04-25,41.622,42.2,41.32,41.38,94442090.0,GESAN
2025-04-28,41.988,42.5,41.46,42.1,218369676.0,GESAN
2025-04-29,41.84,42.54,41.26,41.3,191740453.0,GESAN
2025-04-30,40.96,41.62,40.42,40.5,188303233.0,GESAN
2025-05-02,40.573,41.24,40.1,40.38,174297986.0,GESAN
2025-05-05,40.241,40.74,39.9,39.94,68986049.0,GESAN
2025-05-06,40.705,41.14,40.0,40.5,116619387.0,GESAN
2025-05-07,40.055,40.62,39.56,39.6,108584210.0,GESAN
2025-05-08,40.0,40.5,39.6,40.16,107994501.0,GESAN
2025-05-09,40.457,40.96,39.9,40.5,130809515.0,GESAN
2025-05-12,42.487,43.32,41.0,42.76,315733039.0,GESAN
2025-05-13,45.519,46.18,44.96,45.38,502306777.0,GESAN
2025-05-14,45.103,46.16,44.14,44.78,412842750.0,GESAN
2025-05-15,45.025,45.84,44.58,44.94,199791829.0,GESAN
2025-05-16,46.879,47.92,44.94,47.16,473335773.0,GESAN
2025-05-20,47.178,47.84,46.6,46.88,236495835.0,GESAN
2025-05-21,47.09,47.78,46.52,47.06,183717263.0,GESAN
2025-05-22,46.667,47.66,45.9,46.16,267801884.0,GESAN
2025-05-23,45.387,46.44,44.5,44.54,175850105.0,GESAN
2025-05-26,44.096,44.9,43.66,43.76,132807626.0,GESAN
2025-05-27,43.846,44.2,43.4,43.64,121427485.0,GESAN
2025-05-28,43.249,44.28,42.04,42.22,193749471.0,GESAN
2025-05-29,42.126,42.84,41.6,41.6,93040213.0,GESAN
2025-05-30,41.464,42.92,40.88,42.92,142885931.0,GESAN
2025-06-02,41.508,42.3,41.1,41.1,107697127.0,GESAN
2025-06-03,41.493,41.78,41.14,41.2,113568383.0,GESAN
2025-06-04,42.154,43.02,41.2,42.68,103611293.0,GESAN
2025-06-05,42.755,43.04,42.5,42.56,35790947.0,GESAN
2025-06-10,42.995,43.28,42.58,42.92,77918178.0,GESAN
2025-06-11,42.475,43.0,42.2,42.2,148443922.0,GESAN
2025-06-12,41.144,41.74,40.92,41.08,159609057.0,GESAN
2025-06-13,39.017,39.74,38.1,39.7,165724136.0,GESAN
2025-06-16,39.768,40.7,39.06,40.22,97494745.0,GESAN
2025-06-17,39.897,40.52,39.5,39.5,87930764.0,GESAN
2025-06-18,38.827,39.48,38.12,38.78,87956262.0,GESAN
