date,open,high,low,close,volume,symbol
2025-01-02,19.283,19.61,18.9,19.29,65931561.0,GOODY
2025-01-03,19.324,19.79,18.99,19.76,61763947.0,GOODY
2025-01-06,20.107,20.46,19.85,20.22,50362761.0,GOODY
2025-01-07,20.174,20.44,20.0,20.1,31588827.0,GOODY
2025-01-08,20.107,20.52,19.7,19.7,48299807.0,GOODY
2025-01-09,19.9,20.24,19.76,20.0,34642013.0,GOODY
2025-01-10,19.576,20.06,19.16,19.2,45133573.0,GOODY
2025-01-13,18.751,19.35,18.25,18.25,41137106.0,GOODY
2025-01-14,18.436,18.81,18.17,18.19,25429823.0,GOODY
2025-01-15,18.069,18.37,17.88,18.21,27541369.0,GOODY
2025-01-16,18.261,18.7,17.99,18.27,35234269.0,GOODY
2025-01-17,18.205,18.4,18.11,18.23,21032951.0,GOODY
2025-01-20,18.126,18.38,17.9,17.9,26951824.0,GOODY
2025-01-21,17.636,17.9,17.45,17.45,29687784.0,GOODY
2025-01-22,17.356,17.67,17.13,17.41,29715544.0,GOODY
2025-01-23,17.611,17.81,17.41,17.64,26776830.0,GOODY
2025-01-24,17.716,17.9,17.54,17.68,27374787.0,GOODY
2025-01-27,17.336,17.66,17.15,17.15,20907490.0,GOODY
2025-01-28,17.151,17.3,16.96,17.07,26281708.0,GOODY
2025-01-29,16.962,17.16,16.77,16.95,24905495.0,GOODY
2025-01-30,16.877,17.08,16.73,16.82,33893309.0,GOODY
2025-01-31,16.601,16.84,16.42,16.61,24168185.0,GOODY
2025-02-03,16.286,16.53,16.06,16.3,22725595.0,GOODY
2025-02-04,16.39,16.58,16.22,16.32,19366929.0,GOODY
2025-02-05,16.133,16.38,15.76,16.09,24964971.0,GOODY
2025-02-06,16.233,16.43,16.09,16.31,19645127.0,GOODY
2025-02-07,16.652,17.01,16.25,16.9,36987727.0,GOODY
2025-02-10,16.775,16.99,16.58,16.64,25035528.0,GOODY
2025-02-11,16.453,16.71,16.32,16.45,18717981.0,GOODY
2025-02-12,16.265,16.69,16.1,16.16,17002970.0,GOODY
2025-02-13,16.263,16.45,16.13,16.22,15688652.0,GOODY
2025-02-14,16.167,16.37,16.03,16.15,19976348.0,GOODY
2025-02-17,16.218,16.43,16.09,16.14,16509051.0,GOODY
2025-02-18,16.107,16.25,15.98,16.21,21671872.0,GOODY
2025-02-19,16.085,16.32,15.83,15.86,21767058.0,GOODY
2025-02-20,15.99,16.09,15.86,16.0,25120770.0,GOODY
2025-02-21,15.807,16.08,15.44,15.61,24717378.0,GOODY
2025-02-24,15.855,16.01,15.74,15.86,17315526.0,GOODY
2025-02-25,15.548,16.0,15.31,15.39,18697029.0,GOODY
2025-02-26,15.287,15.44,15.11,15.27,13726947.0,GOODY
2025-02-27,15.365,15.49,15.25,15.42,11466159.0,GOODY
2025-02-28,15.273,15.4,15.01,15.26,11245687.0,GOODY
2025-03-03,15.281,15.45,15.1,15.16,26926068.0,GOODY
2025-03-04,15.078,15.18,14.99,15.07,15878374.0,GOODY
2025-03-05,15.182,15.37,15.06,15.37,10850392.0,GOODY
2025-03-06,15.598,15.8,15.37,15.76,24357698.0,GOODY
2025-03-07,15.8,15.97,15.62,15.87,26541615.0,GOODY
2025-03-10,16.027,16.32,15.87,15.98,30309597.0,GOODY
2025-03-11,16.049,16.32,15.78,16.24,31969277.0,GOODY
2025-03-12,16.149,16.37,16.01,16.31,24633058.0,GOODY
2025-03-13,16.587,16.74,16.43,16.66,30084388.0,GOODY
2025-03-14,16.73,16.84,16.63,16.7,21489888.0,GOODY
2025-03-17,17.034,17.35,16.71,17.22,46448676.0,GOODY
2025-03-18,16.99,17.2,16.82,16.82,24360204.0,GOODY
2025-03-19,15.626,16.4,15.16,15.24,38549960.0,GOODY
2025-03-20,15.437,15.94,14.8,15.41,34923948.0,GOODY
2025-03-21,14.416,15.39,13.87,14.24,53521427.0,GOODY
2025-03-24,14.223,14.65,13.65,14.31,26562147.0,GOODY
2025-03-25,15.011,15.33,14.39,15.25,31220164.0,GOODY
2025-03-26,15.334,15.55,14.91,15.47,17133430.0,GOODY
2025-03-27,15.574,15.8,15.0,15.34,18736578.0,GOODY
2025-03-28,15.343,15.6,15.11,15.43,12989633.0,GOODY
2025-04-02,15.338,15.56,15.07,15.15,22599200.0,GOODY
2025-04-03,15.514,15.7,15.15,15.45,17432623.0,GOODY
2025-04-04,15.524,15.8,15.18,15.59,24127474.0,GOODY
2025-04-07,15.497,16.06,14.76,15.97,57761601.0,GOODY
2025-04-08,16.006,16.3,15.83,15.99,35735380.0,GOODY
2025-04-09,15.933,16.35,15.5,15.55,35249894.0,GOODY
2025-04-10,15.928,16.2,15.7,16.01,30569447.0,GOODY
2025-04-11,15.809,16.15,15.62,15.75,20564368.0,GOODY
2025-04-14,16.028,16.19,15.84,16.01,16232399.0,GOODY
2025-04-15,15.991,16.17,15.77,15.78,14717112.0,GOODY
2025-04-16,15.377,15.89,15.1,15.14,19035134.0,GOODY
2025-04-17,15.245,15.42,15.03,15.35,11362725.0,GOODY
2025-04-18,15.162,15.43,15.06,15.06,10621153.0,GOODY
2025-04-21,15.072,15.26,14.94,15.02,8927108.0,GOODY
2025-04-22,14.957,15.2,14.75,14.83,10673405.0,GOODY
2025-04-24,14.953,15.07,14.79,15.07,11022825.0,GOODY
2025-04-25,15.254,15.4,15.04,15.27,9476066.0,GOODY
2025-04-28,15.046,15.45,14.76,14.76,14567203.0,GOODY
2025-04-29,16.172,16.23,15.93,16.23,25237471.0,GOODY
2025-04-30,17.418,17.85,16.54,16.54,426073175.0,GOODY
2025-05-02,17.361,17.95,16.61,17.46,172649167.0,GOODY
2025-05-05,17.604,18.41,16.97,17.02,94276907.0,GOODY
2025-05-06,16.865,17.09,16.74,16.86,51127580.0,GOODY
2025-05-07,16.674,16.97,16.51,16.68,47182782.0,GOODY
2025-05-08,16.804,17.14,16.48,16.96,45735378.0,GOODY
2025-05-09,16.716,17.05,16.56,16.6,45442977.0,GOODY
2025-05-12,17.078,17.33,16.78,17.26,45661076.0,GOODY
2025-05-13,17.363,17.61,17.02,17.45,33487552.0,GOODY
2025-05-14,17.512,17.85,17.21,17.42,27753255.0,GOODY
2025-05-15,17.119,17.69,16.8,16.84,33102328.0,GOODY
2025-05-16,16.971,17.24,16.77,17.12,32512980.0,GOODY
2025-05-20,17.238,17.57,17.01,17.07,38874400.0,GOODY
2025-05-21,16.997,17.15,16.76,16.95,92467260.0,GOODY
2025-05-22,16.778,17.04,16.56,16.85,44166929.0,GOODY
2025-05-23,16.812,16.97,16.6,16.68,36686677.0,GOODY
2025-05-26,16.502,16.78,16.37,16.4,19798920.0,GOODY
2025-05-27,16.313,16.5,16.16,16.28,21927869.0,GOODY
2025-05-28,16.354,16.52,16.27,16.38,14913679.0,GOODY
2025-05-29,16.802,17.15,16.41,16.9,35528889.0,GOODY
2025-05-30,16.483,16.89,16.22,16.24,30199203.0,GOODY
2025-06-02,15.868,16.3,15.45,15.56,18761952.0,GOODY
2025-06-03,15.932,16.12,15.56,16.0,18184425.0,GOODY
2025-06-04,16.169,16.38,15.96,16.34,11441417.0,GOODY
2025-06-05,16.464,16.64,16.22,16.58,8764972.0,GOODY
2025-06-10,16.833,16.98,16.65,16.87,20836162.0,GOODY
2025-06-11,16.986,17.19,16.76,16.95,25858825.0,GOODY
2025-06-12,16.466,16.85,16.28,16.45,33095240.0,GOODY
2025-06-13,15.479,15.8,15.28,15.72,30714407.0,GOODY
2025-06-16,15.733,15.87,15.48,15.87,21142799.0,GOODY
2025-06-17,15.826,15.96,15.71,15.74,14773719.0,GOODY
2025-06-18,15.36,15.7,15.22,15.31,17807515.0,GOODY
2025-06-19,15.325,15.52,15.2,15.22,13021408.0,GOODY
2025-06-20,15.446,15.57,15.3,15.45,16633904.0,GOODY
2025-06-23,15.188,15.44,15.06,15.11,15634649.0,GOODY
2025-06-24,15.66,15.86,15.39,15.71,15930226.0,GOODY
2025-06-25,15.846,16.1,15.6,15.74,19017729.0,GOODY
2025-06-26,15.656,15.81,15.54,15.55,13856536.0,GOODY
2025-06-27,15.495,15.66,15.32,15.62,6123865.0,GOODY
2025-06-30,15.976,16.18,15.62,16.14,15849920.0,GOODY
2025-07-01,16.353,16.64,16.05,16.39,19637161.0,GOODY
2025-07-02,16.525,16.72,16.3,16.4,25516841.0,GOODY
2025-07-03,16.632,16.95,16.0,16.74,33046355.0,GOODY
2025-07-04,16.871,17.34,16.51,17.17,30368146.0,GOODY
2025-07-07,17.027,17.38,16.72,16.86,22471484.0,GOODY
2025-07-08,16.824,17.09,16.54,16.7,19732735.0,GOODY
2025-07-09,16.956,17.1,16.71,17.04,17486880.0,GOODY
2025-07-10,17.146,17.32,16.95,17.14,23236356.0,GOODY
