date,open,high,low,close,volume,symbol
2025-01-02,3.907,3.93,3.88,3.92,15467830.0,GSDHO
2025-01-03,3.966,3.99,3.93,3.97,38930485.0,GSDHO
2025-01-06,4.009,4.04,3.98,4.0,28641469.0,GSDHO
2025-01-07,3.991,4.01,3.97,3.99,35757885.0,GSDHO
2025-01-08,3.965,3.99,3.94,3.94,27893173.0,GSDHO
2025-01-09,3.978,4.01,3.95,4.01,25956861.0,GSDHO
2025-01-10,4.003,4.04,3.94,3.96,39425639.0,GSDHO
2025-01-13,3.914,3.95,3.88,3.89,31707478.0,GSDHO
2025-01-14,3.916,3.95,3.88,3.88,25545178.0,GSDHO
2025-01-15,3.943,4.01,3.88,3.89,52218407.0,GSDHO
2025-01-16,3.872,3.92,3.81,3.89,45509549.0,GSDHO
2025-01-17,3.839,3.9,3.81,3.82,30992026.0,GSDHO
2025-01-20,3.84,3.87,3.82,3.83,21637269.0,GSDHO
2025-01-21,3.794,3.82,3.77,3.77,17696282.0,GSDHO
2025-01-22,3.761,3.79,3.75,3.75,15346064.0,GSDHO
2025-01-23,3.784,3.81,3.76,3.78,17732736.0,GSDHO
2025-01-24,3.73,3.79,3.67,3.74,34465786.0,GSDHO
2025-01-27,3.723,3.77,3.68,3.7,20934147.0,GSDHO
2025-01-28,3.703,3.72,3.68,3.7,16574945.0,GSDHO
2025-01-29,3.682,3.72,3.64,3.65,25770857.0,GSDHO
2025-01-30,3.658,3.68,3.64,3.65,13331773.0,GSDHO
2025-01-31,3.636,3.67,3.62,3.62,10210991.0,GSDHO
2025-02-03,3.559,3.6,3.53,3.53,11453008.0,GSDHO
2025-02-04,3.547,3.58,3.52,3.53,17474198.0,GSDHO
2025-02-05,3.5,3.55,3.46,3.49,17426991.0,GSDHO
2025-02-06,3.524,3.56,3.49,3.55,29635405.0,GSDHO
2025-02-07,3.572,3.61,3.53,3.6,22004253.0,GSDHO
2025-02-10,3.586,3.62,3.55,3.58,13795064.0,GSDHO
2025-02-11,3.568,3.59,3.55,3.59,18636744.0,GSDHO
2025-02-12,3.567,3.6,3.55,3.56,17334875.0,GSDHO
