date,open,high,low,close,volume,symbol
2025-01-02,11.988,12.52,11.76,11.97,5568017.0,HATEK
2025-01-03,11.783,12.1,11.4,11.86,4915099.0,HATEK
2025-01-06,11.938,12.12,11.72,11.98,10932314.0,HATEK
2025-01-07,12.144,12.4,11.87,12.29,8355445.0,HATEK
2025-01-08,12.416,12.85,12.13,12.4,15306702.0,HATEK
2025-01-09,12.47,12.65,12.25,12.65,9472978.0,HATEK
2025-01-10,13.523,13.91,12.64,13.91,22247087.0,HATEK
2025-01-13,14.079,14.69,13.17,13.63,18593509.0,HATEK
2025-01-14,13.987,14.17,13.5,14.02,11402130.0,HATEK
2025-01-15,14.45,14.66,13.95,14.02,19430646.0,HATEK
2025-01-16,14.144,14.4,13.99,14.22,15240247.0,HATEK
2025-01-17,14.449,14.9,14.11,14.69,11165256.0,HATEK
2025-01-20,15.057,15.57,14.5,14.73,14231617.0,HATEK
2025-01-21,15.273,15.49,14.32,15.49,18848797.0,HATEK
2025-01-22,15.577,15.84,15.1,15.73,12009673.0,HATEK
2025-01-23,15.527,15.95,14.75,15.78,17405467.0,HATEK
2025-01-24,15.49,15.9,15.1,15.84,6551913.0,HATEK
2025-01-27,15.647,15.94,15.45,15.76,6709995.0,HATEK
2025-01-28,15.762,16.0,15.58,15.95,10087961.0,HATEK
2025-01-29,15.797,16.1,15.51,16.07,7754695.0,HATEK
2025-01-30,15.864,16.06,15.63,15.9,5527618.0,HATEK
2025-01-31,15.84,16.05,15.58,15.99,6586775.0,HATEK
2025-02-03,15.934,16.5,15.2,16.2,12357734.0,HATEK
2025-02-04,16.114,16.3,15.91,16.3,3740172.0,HATEK
2025-02-05,16.143,16.46,15.95,16.37,13449011.0,HATEK
2025-02-06,16.298,16.49,16.09,16.44,12024611.0,HATEK
2025-02-07,16.881,17.1,16.24,17.09,19262595.0,HATEK
2025-02-10,17.719,18.1,17.09,17.41,18928782.0,HATEK
2025-02-11,17.711,17.91,17.41,17.82,9312134.0,HATEK
2025-02-12,18.328,19.59,17.5,18.1,13748969.0,HATEK
2025-02-13,18.197,18.53,17.97,18.53,10363906.0,HATEK
2025-02-14,18.379,18.94,18.07,18.07,6136278.0,HATEK
2025-02-17,17.226,18.06,16.44,17.36,10934188.0,HATEK
2025-02-18,17.649,18.95,16.0,18.77,10396994.0,HATEK
2025-02-19,18.731,19.2,18.29,18.61,8989532.0,HATEK
2025-02-20,18.61,18.97,17.99,18.58,16617120.0,HATEK
2025-02-21,18.4,18.9,18.05,18.32,10413132.0,HATEK
2025-02-24,18.079,18.69,17.82,18.11,8216013.0,HATEK
2025-02-25,19.045,19.46,17.22,19.03,23826523.0,HATEK
2025-02-26,18.349,19.2,18.07,18.74,25780245.0,HATEK
2025-02-27,18.777,19.01,18.52,18.82,3129941.0,HATEK
2025-02-28,18.635,19.1,18.15,18.24,10671338.0,HATEK
2025-03-03,18.121,18.7,17.62,18.4,6564808.0,HATEK
2025-03-04,18.084,18.48,17.62,18.41,9711605.0,HATEK
2025-03-05,18.417,19.0,18.1,18.78,8573092.0,HATEK
2025-03-06,18.771,19.3,18.62,18.91,3873953.0,HATEK
2025-03-07,18.366,18.91,17.97,18.78,6916524.0,HATEK
2025-03-10,19.743,20.64,18.0,20.64,18514937.0,HATEK
2025-03-11,21.725,22.6,20.74,22.6,27260522.0,HATEK
2025-03-12,23.991,24.5,22.6,24.38,28852543.0,HATEK
2025-03-13,25.263,26.04,23.62,26.02,23422484.0,HATEK
2025-03-14,25.329,26.1,24.64,26.04,25476075.0,HATEK
2025-03-17,25.328,26.1,24.8,26.1,22830898.0,HATEK
2025-03-18,27.223,28.7,25.36,27.38,21883562.0,HATEK
2025-03-19,25.669,27.2,24.66,26.28,21892510.0,HATEK
2025-03-20,26.836,28.5,25.88,26.86,13164808.0,HATEK
2025-03-21,26.945,29.54,25.96,26.58,14070016.0,HATEK
2025-03-24,26.314,27.34,24.96,27.1,12917345.0,HATEK
2025-03-25,29.412,29.8,27.06,29.8,34467549.0,HATEK
2025-03-26,31.635,32.78,29.8,31.62,62799854.0,HATEK
2025-03-27,32.63,34.5,30.42,30.66,61549562.0,HATEK
2025-03-28,28.763,31.0,27.6,28.98,31224805.0,HATEK
2025-04-02,26.668,29.44,26.1,26.1,29163057.0,HATEK
2025-04-03,26.698,27.94,25.0,27.82,42540600.0,HATEK
2025-04-04,25.843,27.82,25.04,25.5,35005795.0,HATEK
2025-04-07,25.115,27.78,23.68,27.78,34049616.0,HATEK
2025-04-08,28.673,30.0,26.96,29.06,43251985.0,HATEK
2025-04-09,28.972,31.0,28.12,28.96,50760514.0,HATEK
2025-04-10,28.547,30.9,28.0,28.56,33848193.0,HATEK
2025-04-11,28.113,29.72,27.3,28.98,22156261.0,HATEK
2025-04-14,27.949,29.7,27.14,28.0,25855681.0,HATEK
2025-04-15,26.809,28.6,25.86,27.36,22153990.0,HATEK
2025-04-16,25.374,27.0,24.64,24.64,12162477.0,HATEK
2025-04-17,26.172,27.1,24.0,26.98,22397351.0,HATEK
2025-04-18,26.324,27.42,25.7,26.58,12622172.0,HATEK
2025-04-21,25.92,29.0,25.26,28.14,10722156.0,HATEK
2025-04-22,26.553,27.72,25.84,25.94,10049056.0,HATEK
2025-04-24,24.937,27.0,24.5,24.64,11666474.0,HATEK
2025-04-25,23.937,26.9,23.0,26.1,15345720.0,HATEK
2025-04-28,25.228,25.9,24.54,25.2,8264294.0,HATEK
2025-04-29,24.68,25.36,24.06,25.06,10290780.0,HATEK
2025-04-30,24.414,25.06,24.1,24.3,5883555.0,HATEK
2025-05-02,24.172,24.84,23.54,24.0,8637778.0,HATEK
2025-05-05,23.84,25.88,23.48,25.12,10547640.0,HATEK
2025-05-06,25.861,26.48,24.66,25.94,15626982.0,HATEK
2025-05-07,26.059,26.9,25.54,25.56,12130515.0,HATEK
2025-05-08,25.18,25.92,24.7,25.8,9576977.0,HATEK
2025-05-09,25.304,26.5,24.5,25.48,12130365.0,HATEK
2025-05-12,24.836,25.58,24.34,25.38,12472886.0,HATEK
2025-05-13,25.574,26.62,24.84,26.3,13709281.0,HATEK
2025-05-14,26.339,27.26,25.22,26.0,35334818.0,HATEK
2025-05-15,25.022,26.0,24.02,25.54,18121123.0,HATEK
2025-05-16,26.175,27.0,25.2,27.0,36419703.0,HATEK
2025-05-20,28.572,29.7,26.9,29.7,73397184.0,HATEK
2025-05-21,31.006,32.46,28.82,31.18,71621551.0,HATEK
2025-05-22,29.136,31.18,28.52,30.4,75447047.0,HATEK
2025-05-23,29.281,31.0,28.3,30.78,32892400.0,HATEK
2025-05-26,29.501,30.3,29.06,29.72,50245412.0,HATEK
