date,open,high,low,close,volume,symbol
2025-01-02,3.774,3.94,3.65,3.73,102662315.0,HUNER
2025-01-03,3.776,3.85,3.68,3.82,72770654.0,HUNER
2025-01-06,3.936,4.01,3.8,3.9,89673799.0,HUNER
2025-01-07,3.997,4.09,3.84,4.0,87373680.0,HUNER
2025-01-08,3.953,4.03,3.9,3.97,59219752.0,HUNER
2025-01-09,4.136,4.25,4.0,4.18,149693145.0,HUNER
2025-01-10,4.103,4.21,4.0,4.06,51357646.0,HUNER
2025-01-13,3.896,4.07,3.79,3.85,75004659.0,HUNER
2025-01-14,3.843,3.91,3.78,3.8,40688349.0,HUNER
2025-01-15,3.788,3.86,3.7,3.8,34602545.0,HUNER
2025-01-16,3.869,3.94,3.81,3.9,34626602.0,HUNER
2025-01-17,3.883,3.93,3.84,3.9,25841722.0,HUNER
2025-01-20,3.868,3.94,3.82,3.85,25772361.0,HUNER
2025-01-21,3.788,3.85,3.75,3.78,26636727.0,HUNER
2025-01-22,3.75,3.8,3.71,3.76,25469406.0,HUNER
2025-01-23,3.78,3.81,3.75,3.76,17004442.0,HUNER
2025-01-24,3.741,3.81,3.7,3.75,24157341.0,HUNER
2025-01-27,3.68,3.75,3.64,3.65,25952494.0,HUNER
2025-01-28,3.791,3.93,3.66,3.71,68788135.0,HUNER
2025-01-29,3.655,3.73,3.59,3.59,31793548.0,HUNER
2025-01-30,3.607,3.65,3.58,3.58,22273678.0,HUNER
2025-01-31,3.535,3.6,3.49,3.55,20950509.0,HUNER
2025-02-03,3.471,3.53,3.44,3.47,22496682.0,HUNER
2025-02-04,3.521,3.57,3.47,3.5,19564917.0,HUNER
2025-02-05,3.499,3.56,3.45,3.48,24857017.0,HUNER
2025-02-06,3.516,3.57,3.49,3.54,18980580.0,HUNER
2025-02-07,3.502,3.55,3.48,3.52,23397809.0,HUNER
2025-02-10,3.501,3.56,3.47,3.48,23739051.0,HUNER
2025-02-11,3.493,3.54,3.47,3.5,17480335.0,HUNER
2025-02-12,3.486,3.55,3.46,3.46,18935879.0,HUNER
2025-02-13,3.448,3.5,3.41,3.42,21042595.0,HUNER
2025-02-14,3.4,3.44,3.37,3.39,25150894.0,HUNER
2025-02-17,3.401,3.48,3.36,3.37,24491957.0,HUNER
2025-02-18,3.339,3.38,3.32,3.36,22578685.0,HUNER
2025-02-19,3.347,3.43,3.27,3.27,45365641.0,HUNER
2025-02-20,3.302,3.35,3.26,3.32,19775334.0,HUNER
2025-02-21,3.275,3.34,3.19,3.24,23304804.0,HUNER
2025-02-24,3.291,3.34,3.24,3.31,18586042.0,HUNER
2025-02-25,3.244,3.32,3.2,3.23,14109686.0,HUNER
2025-02-26,3.222,3.28,3.19,3.22,15922587.0,HUNER
2025-02-27,3.256,3.31,3.19,3.31,14979317.0,HUNER
2025-02-28,3.293,3.33,3.27,3.32,16177697.0,HUNER
2025-03-03,3.463,3.6,3.31,3.5,114621694.0,HUNER
2025-03-04,3.473,3.56,3.41,3.54,43400754.0,HUNER
2025-03-05,3.699,3.86,3.52,3.73,132519388.0,HUNER
2025-03-06,3.868,3.95,3.73,3.88,123329368.0,HUNER
2025-03-07,3.937,4.0,3.83,3.99,109734697.0,HUNER
2025-03-10,4.085,4.16,4.0,4.05,216047529.0,HUNER
2025-03-11,4.198,4.37,4.02,4.1,560947646.0,HUNER
2025-03-12,3.985,4.12,3.87,3.98,199713358.0,HUNER
2025-03-13,4.081,4.15,3.97,4.14,133756445.0,HUNER
2025-03-14,4.166,4.29,4.06,4.22,191037001.0,HUNER
2025-03-17,4.407,4.55,4.28,4.38,476470241.0,HUNER
2025-03-18,4.283,4.39,4.21,4.32,228047219.0,HUNER
2025-03-19,4.018,4.17,3.89,3.89,157803702.0,HUNER
2025-03-20,3.881,4.01,3.74,3.8,180542471.0,HUNER
2025-03-21,3.558,3.8,3.42,3.54,98022989.0,HUNER
2025-03-24,3.555,3.72,3.37,3.54,87970475.0,HUNER
2025-03-25,3.62,3.71,3.54,3.62,127974928.0,HUNER
2025-03-26,3.585,3.69,3.53,3.59,102402545.0,HUNER
2025-03-27,3.759,3.84,3.63,3.74,153951178.0,HUNER
2025-03-28,3.677,3.79,3.61,3.78,102305679.0,HUNER
2025-04-02,3.873,3.94,3.71,3.87,85775045.0,HUNER
2025-04-03,3.953,4.12,3.83,4.03,154093285.0,HUNER
2025-04-04,4.012,4.11,3.94,4.0,143191220.0,HUNER
2025-04-07,4.103,4.18,3.83,4.12,309005892.0,HUNER
2025-04-08,4.124,4.22,4.03,4.18,304406369.0,HUNER
2025-04-09,4.113,4.42,3.92,3.93,663422284.0,HUNER
2025-04-10,3.908,4.02,3.81,3.82,193526544.0,HUNER
2025-04-11,3.707,3.83,3.66,3.7,171827096.0,HUNER
2025-04-14,3.728,3.78,3.67,3.68,134915233.0,HUNER
2025-04-15,3.768,3.84,3.68,3.76,176334754.0,HUNER
2025-04-16,3.667,3.79,3.54,3.58,119293864.0,HUNER
2025-04-17,3.571,3.62,3.51,3.59,110114180.0,HUNER
2025-04-18,3.532,3.62,3.5,3.53,763885171.0,HUNER
2025-04-21,3.564,3.61,3.51,3.54,83248070.0,HUNER
2025-04-22,3.531,3.57,3.51,3.52,54227127.0,HUNER
2025-04-24,3.538,3.58,3.51,3.54,72917877.0,HUNER
2025-04-25,3.531,3.57,3.51,3.51,68155379.0,HUNER
2025-04-28,3.47,3.54,3.42,3.42,90960178.0,HUNER
2025-04-29,3.417,3.45,3.39,3.39,89428561.0,HUNER
2025-04-30,3.429,3.49,3.38,3.43,112276144.0,HUNER
2025-05-02,3.44,3.48,3.4,3.41,78329533.0,HUNER
2025-05-05,3.403,3.46,3.37,3.37,78269689.0,HUNER
2025-05-06,3.425,3.46,3.38,3.43,72987099.0,HUNER
2025-05-07,3.396,3.44,3.37,3.38,69576477.0,HUNER
2025-05-08,3.394,3.41,3.38,3.39,55793567.0,HUNER
2025-05-09,3.376,3.4,3.35,3.37,69414231.0,HUNER
2025-05-12,3.486,3.56,3.4,3.54,116061590.0,HUNER
2025-05-13,3.5,3.63,3.39,3.61,101183552.0,HUNER
2025-05-14,3.679,3.9,3.56,3.61,159346169.0,HUNER
2025-05-15,3.637,3.69,3.6,3.63,58501331.0,HUNER
2025-05-16,3.703,3.77,3.63,3.76,101880563.0,HUNER
2025-05-20,3.717,3.79,3.67,3.7,68777751.0,HUNER
2025-05-21,3.655,3.73,3.61,3.62,54074808.0,HUNER
2025-05-22,3.637,3.67,3.6,3.64,53443061.0,HUNER
2025-05-23,3.62,3.68,3.55,3.55,52163206.0,HUNER
2025-05-26,3.521,3.6,3.5,3.5,45113550.0,HUNER
2025-05-27,3.454,3.5,3.42,3.42,42945209.0,HUNER
2025-05-28,3.42,3.47,3.4,3.4,34237912.0,HUNER
2025-05-29,3.487,3.6,3.4,3.5,69231782.0,HUNER
2025-05-30,3.429,3.54,3.39,3.41,47419210.0,HUNER
2025-06-02,3.392,3.45,3.33,3.36,40474300.0,HUNER
2025-06-03,3.4,3.43,3.37,3.4,39165327.0,HUNER
2025-06-04,3.443,3.48,3.4,3.48,42872818.0,HUNER
2025-06-05,3.518,3.56,3.46,3.56,26315004.0,HUNER
2025-06-10,3.605,3.64,3.56,3.64,62581220.0,HUNER
2025-06-11,3.601,3.67,3.58,3.58,45638677.0,HUNER
2025-06-12,3.483,3.56,3.45,3.47,41253959.0,HUNER
2025-06-13,3.26,3.35,3.2,3.33,49484806.0,HUNER
2025-06-16,3.324,3.38,3.25,3.35,46062657.0,HUNER
2025-06-17,3.367,3.4,3.33,3.36,56383719.0,HUNER
2025-06-18,3.273,3.36,3.23,3.24,39541717.0,HUNER
2025-06-19,3.248,3.3,3.18,3.19,46537294.0,HUNER
2025-06-20,3.233,3.26,3.21,3.23,29226192.0,HUNER
2025-06-23,3.164,3.25,3.11,3.12,33038441.0,HUNER
2025-06-24,3.22,3.26,3.18,3.25,38783393.0,HUNER
2025-06-25,3.248,3.28,3.22,3.25,40389304.0,HUNER
2025-06-26,3.269,3.32,3.21,3.3,58805021.0,HUNER
2025-06-27,3.287,3.38,3.24,3.31,72874844.0,HUNER
2025-06-30,3.355,3.43,3.28,3.4,104058198.0,HUNER
2025-07-01,3.446,3.53,3.36,3.49,141231421.0,HUNER
2025-07-02,3.649,3.79,3.56,3.6,163338122.0,HUNER
2025-07-03,3.703,3.77,3.6,3.76,120824295.0,HUNER
2025-07-04,3.738,3.8,3.7,3.75,110181518.0,HUNER
2025-07-07,3.654,3.7,3.59,3.65,87824128.0,HUNER
2025-07-08,3.775,3.86,3.69,3.82,185656541.0,HUNER
2025-07-09,3.913,3.97,3.81,3.91,198871546.0,HUNER
2025-07-10,3.93,4.01,3.85,3.87,172248957.0,HUNER
2025-07-11,3.889,3.93,3.83,3.92,119306735.0,HUNER
2025-07-14,4.006,4.08,3.95,3.98,166829909.0,HUNER
2025-07-16,3.99,4.09,3.88,3.97,278332800.0,HUNER
2025-07-17,4.193,4.35,4.0,4.25,509970594.0,HUNER
2025-07-18,4.268,4.41,4.2,4.22,263700148.0,HUNER
2025-07-21,4.278,4.38,4.2,4.36,210280437.0,HUNER
2025-07-22,4.559,4.71,4.39,4.7,380305612.0,HUNER
2025-07-23,4.853,5.0,4.75,4.75,489069261.0,HUNER
2025-07-24,4.676,4.79,4.59,4.65,351378628.0,HUNER
2025-07-25,4.704,4.8,4.64,4.76,280396748.0,HUNER
2025-07-28,4.753,4.8,4.7,4.78,278589256.0,HUNER
2025-07-29,4.726,4.81,4.66,4.69,211072238.0,HUNER
2025-07-30,4.477,4.67,4.37,4.41,246818032.0,HUNER
2025-07-31,4.432,4.49,4.38,4.47,136429715.0,HUNER
2025-08-01,4.393,4.49,4.34,4.34,106768923.0,HUNER
2025-08-04,4.315,4.37,4.27,4.31,113971451.0,HUNER
2025-08-05,4.399,4.47,4.31,4.39,202839048.0,HUNER
2025-08-06,4.384,4.48,4.28,4.47,204373675.0,HUNER
2025-08-07,4.44,4.51,4.34,4.35,217096983.0,HUNER
2025-08-08,4.318,4.37,4.27,4.3,93011158.0,HUNER
2025-08-11,4.308,4.35,4.27,4.27,91360611.0,HUNER
2025-08-12,4.118,4.29,4.06,4.06,148513634.0,HUNER
2025-08-13,4.091,4.2,3.97,3.97,219171587.0,HUNER
