date,open,high,low,close,volume,symbol
2025-01-02,17.08,17.33,16.88,17.2,31107761.0,IHAAS
2025-01-03,17.183,17.55,17.02,17.23,18502846.0,IHAAS
2025-01-06,17.2,17.33,17.07,17.08,27788942.0,IHAAS
2025-01-07,17.163,17.41,17.01,17.15,24312731.0,IHAAS
2025-01-08,17.396,17.74,16.97,17.21,66403974.0,IHAAS
2025-01-09,17.322,17.56,17.0,17.23,56028854.0,IHAAS
2025-01-10,17.043,17.34,16.8,16.97,30224619.0,IHAAS
2025-01-13,16.743,16.98,16.65,16.65,19058421.0,IHAAS
2025-01-14,16.699,17.01,16.5,16.51,39521422.0,IHAAS
2025-01-15,16.246,16.56,16.07,16.21,17037621.0,IHAAS
2025-01-16,16.103,16.5,15.91,16.07,24847667.0,IHAAS
2025-01-17,16.619,17.16,15.94,16.52,61297979.0,IHAAS
2025-01-20,16.471,16.7,16.33,16.4,24654123.0,IHAAS
2025-01-21,16.418,16.75,16.1,16.18,24326163.0,IHAAS
2025-01-22,16.222,16.5,16.11,16.25,13501695.0,IHAAS
2025-01-23,16.19,16.35,16.08,16.1,11123688.0,IHAAS
2025-01-24,16.109,16.3,15.95,16.13,21089919.0,IHAAS
2025-01-27,15.879,16.13,15.75,15.96,18392481.0,IHAAS
2025-01-28,16.896,17.55,15.77,17.55,88390738.0,IHAAS
2025-01-29,18.924,19.3,17.9,19.3,106225566.0,IHAAS
2025-01-30,20.55,21.22,19.3,21.22,370373495.0,IHAAS
2025-01-31,21.343,22.9,19.1,19.1,333920981.0,IHAAS
2025-02-03,19.543,20.96,18.42,18.71,223969080.0,IHAAS
2025-02-04,19.069,19.74,18.5,18.55,157653712.0,IHAAS
2025-02-05,18.014,18.98,17.49,17.68,78198323.0,IHAAS
2025-02-06,17.634,18.45,17.2,17.6,86803473.0,IHAAS
2025-02-07,17.422,17.9,17.16,17.35,35101195.0,IHAAS
2025-02-10,18.393,19.0,17.3,18.75,129786972.0,IHAAS
2025-02-11,19.903,20.3,18.41,19.39,159034689.0,IHAAS
2025-02-12,19.1,20.44,18.22,18.52,174241646.0,IHAAS
2025-02-13,18.203,18.9,17.8,17.93,57435782.0,IHAAS
2025-02-14,18.029,18.4,17.76,18.3,21062020.0,IHAAS
2025-02-17,18.747,19.4,18.39,18.5,39363092.0,IHAAS
2025-02-18,18.223,18.8,18.07,18.14,35807315.0,IHAAS
2025-02-19,19.031,19.59,17.9,18.5,113009588.0,IHAAS
2025-02-20,18.62,19.08,18.11,18.52,60710848.0,IHAAS
2025-02-21,18.874,19.5,18.29,18.29,58353185.0,IHAAS
2025-02-24,18.595,18.91,18.25,18.51,63143862.0,IHAAS
2025-02-25,18.019,18.72,17.6,17.68,71378063.0,IHAAS
2025-02-26,17.431,17.73,17.29,17.3,26055689.0,IHAAS
2025-02-27,17.613,18.36,17.29,17.49,42700343.0,IHAAS
2025-02-28,17.495,17.78,17.3,17.3,20383666.0,IHAAS
2025-03-03,17.304,17.55,17.1,17.2,20138594.0,IHAAS
