date,open,high,low,close,volume,symbol
2025-01-02,476.527,479.5,474.0,475.0,3300902.0,INTEK
2025-01-03,469.856,475.0,463.25,471.0,3619302.0,INTEK
2025-01-06,468.413,470.0,463.75,469.5,4070037.0,INTEK
2025-01-07,465.063,466.0,464.5,464.5,4732484.0,INTEK
2025-01-08,457.265,460.5,454.5,457.5,4874448.0,INTEK
2025-01-09,477.042,480.0,457.5,474.5,6573156.0,INTEK
2025-01-10,468.261,480.0,463.25,470.0,3459982.0,INTEK
2025-01-13,458.687,470.0,455.0,455.0,4485044.0,INTEK
2025-01-14,459.683,464.75,456.0,456.75,2676277.0,INTEK
2025-01-15,457.149,461.5,455.0,456.0,3273190.0,INTEK
2025-01-16,457.333,461.5,456.75,456.75,3792662.0,INTEK
2025-01-17,455.949,456.75,455.5,455.5,3048929.0,INTEK
2025-01-20,455.5,455.5,455.5,455.5,3658121.0,INTEK
2025-01-21,455.473,455.5,454.25,454.25,2862190.0,INTEK
2025-01-22,462.337,469.0,455.75,455.75,3461976.0,INTEK
2025-01-23,451.055,455.5,450.0,450.0,3842538.0,INTEK
2025-01-24,448.31,450.0,447.25,450.0,2760246.0,INTEK
2025-01-27,441.489,450.0,440.0,440.0,4209159.0,INTEK
2025-01-28,448.031,450.5,435.25,450.0,3498225.0,INTEK
2025-01-29,449.653,450.75,447.5,447.5,3995164.0,INTEK
2025-01-30,447.362,447.5,447.0,447.5,2875641.0,INTEK
2025-01-31,452.876,456.25,448.0,448.0,2656120.0,INTEK
2025-02-03,437.714,447.5,430.0,430.0,4140335.0,INTEK
2025-02-04,435.447,436.75,432.0,432.0,2841728.0,INTEK
2025-02-05,421.909,428.5,421.0,421.0,5595352.0,INTEK
2025-02-06,428.606,438.0,420.0,420.0,2228322.0,INTEK
2025-02-07,416.631,420.0,415.0,420.0,3721762.0,INTEK
2025-02-10,417.295,418.0,416.0,416.0,2578882.0,INTEK
2025-02-11,409.295,413.0,406.5,406.5,3612027.0,INTEK
2025-02-12,410.234,417.0,405.0,408.75,3371306.0,INTEK
2025-02-13,400.473,408.75,390.25,400.5,3502135.0,INTEK
2025-02-14,396.359,400.5,393.0,393.0,2962786.0,INTEK
2025-02-17,404.231,410.75,400.0,410.25,4094457.0,INTEK
2025-02-18,432.883,451.25,409.0,451.25,4252641.0,INTEK
2025-02-19,470.934,471.5,460.0,460.0,7154426.0,INTEK
2025-02-20,470.199,478.0,449.5,478.0,3568813.0,INTEK
2025-02-21,458.719,485.0,430.25,443.0,4809210.0,INTEK
2025-02-24,480.659,487.25,456.0,487.25,5515081.0,INTEK
2025-02-25,489.246,500.0,480.0,480.0,5446292.0,INTEK
2025-02-26,476.192,490.0,463.0,463.0,3520008.0,INTEK
2025-02-27,452.163,463.0,449.25,449.25,4058159.0,INTEK
2025-02-28,457.504,459.0,451.0,451.0,2707967.0,INTEK
2025-03-03,467.453,469.0,462.0,462.0,3096877.0,INTEK
2025-03-04,448.974,462.0,440.0,443.5,3541954.0,INTEK
2025-03-05,439.369,440.75,436.75,436.75,3973657.0,INTEK
2025-03-06,442.834,447.25,437.75,437.75,2235428.0,INTEK
2025-03-07,449.553,460.0,439.0,460.0,4666358.0,INTEK
2025-03-10,477.33,480.25,470.0,470.0,3349905.0,INTEK
2025-03-11,467.103,470.0,465.75,465.75,2051985.0,INTEK
2025-03-12,489.585,500.0,482.0,500.0,10229881.0,INTEK
2025-03-13,539.548,550.0,526.0,550.0,8087832.0,INTEK
2025-03-14,576.801,597.0,550.0,597.0,9043089.0,INTEK
2025-03-17,620.68,625.0,597.0,625.0,14633761.0,INTEK
2025-03-18,586.206,621.0,570.0,570.0,9861744.0,INTEK
2025-03-19,513.0,513.0,513.0,513.0,8935434.0,INTEK
2025-03-20,557.072,564.0,492.25,564.0,14745687.0,INTEK
2025-03-21,514.719,550.0,508.0,508.0,10765352.0,INTEK
2025-03-24,520.392,527.0,515.0,515.0,7969281.0,INTEK
2025-03-25,533.203,536.0,525.5,525.5,6175024.0,INTEK
2025-03-26,506.727,516.0,500.0,500.0,6641668.0,INTEK
2025-03-27,507.38,510.0,503.0,503.0,6551285.0,INTEK
2025-03-28,499.96,510.0,490.0,500.0,5281080.0,INTEK
2025-04-02,494.382,501.0,480.0,486.0,6169395.0,INTEK
2025-04-03,484.766,487.0,479.75,484.0,6409570.0,INTEK
2025-04-04,473.929,484.0,468.0,474.0,5536433.0,INTEK
2025-04-07,456.615,465.25,443.5,458.75,7420455.0,INTEK
2025-04-08,459.963,461.75,458.25,458.25,5570610.0,INTEK
2025-04-09,449.087,450.0,445.0,445.0,4766610.0,INTEK
2025-04-10,448.46,464.0,435.0,435.0,5970353.0,INTEK
2025-04-11,435.902,437.25,433.0,437.25,5412601.0,INTEK
2025-04-14,441.653,450.0,424.0,440.0,6451664.0,INTEK
2025-04-15,436.409,441.75,433.0,434.75,4737654.0,INTEK
2025-04-16,433.017,434.75,428.75,428.75,3846056.0,INTEK
2025-04-17,433.822,436.0,428.75,436.0,3030250.0,INTEK
