date,open,high,low,close,volume,symbol
2025-01-02,13.03,13.29,12.85,13.15,115775735.0,ISFIN
2025-01-03,13.418,13.52,13.09,13.46,81410139.0,ISFIN
2025-01-06,13.664,13.78,13.41,13.63,123102628.0,ISFIN
2025-01-07,13.553,13.72,13.39,13.63,71243776.0,ISFIN
2025-01-08,13.601,13.7,13.42,13.63,56519528.0,ISFIN
2025-01-09,13.852,14.0,13.6,14.0,70284658.0,ISFIN
2025-01-10,13.914,14.17,13.64,13.69,64167844.0,ISFIN
2025-01-13,13.246,13.66,13.04,13.54,97220509.0,ISFIN
2025-01-14,13.254,13.55,13.11,13.11,58526214.0,ISFIN
2025-01-15,12.945,13.2,12.85,12.94,43289610.0,ISFIN
2025-01-16,12.866,13.08,12.52,13.04,75031524.0,ISFIN
2025-01-17,13.181,13.3,12.98,13.24,30711796.0,ISFIN
2025-01-20,13.276,13.38,13.2,13.23,33681137.0,ISFIN
2025-01-21,13.186,13.35,13.05,13.07,26688815.0,ISFIN
2025-01-22,13.053,13.24,12.91,13.16,30028352.0,ISFIN
2025-01-23,13.18,13.3,13.05,13.08,25660752.0,ISFIN
2025-01-24,13.116,13.31,13.02,13.22,42564945.0,ISFIN
2025-01-27,13.187,13.48,12.89,13.45,57265322.0,ISFIN
2025-01-28,13.578,13.72,13.31,13.5,66001306.0,ISFIN
2025-01-29,13.496,13.82,13.3,13.3,35506414.0,ISFIN
2025-01-30,13.488,13.6,13.28,13.38,33190754.0,ISFIN
2025-01-31,13.23,13.41,13.07,13.07,22331806.0,ISFIN
2025-02-03,12.917,13.12,12.7,12.8,36618634.0,ISFIN
2025-02-04,13.233,13.37,12.98,13.3,52671775.0,ISFIN
2025-02-05,12.89,13.37,12.66,12.7,50857096.0,ISFIN
2025-02-06,12.819,12.91,12.72,12.78,26739911.0,ISFIN
2025-02-07,12.813,12.93,12.7,12.8,21657596.0,ISFIN
2025-02-10,12.735,12.97,12.64,12.76,25682045.0,ISFIN
2025-02-11,12.735,12.87,12.61,12.77,24326705.0,ISFIN
2025-02-12,12.683,12.84,12.56,12.7,24670215.0,ISFIN
2025-02-13,12.769,12.88,12.65,12.8,21270992.0,ISFIN
2025-02-14,12.838,12.95,12.66,12.66,32111393.0,ISFIN
2025-02-17,12.695,12.84,12.61,12.61,34695822.0,ISFIN
