date,open,high,low,close,volume,symbol
2025-01-02,2.7434647,2.7951105,2.6816034,2.7483,31744602.0,ISKPL
2025-01-03,2.7082775,2.7738276,2.657483,2.7242,30546274.0,ISKPL
2025-01-06,2.7020347,2.7312627,2.6532266,2.6859,21114184.0,ISKPL
2025-01-07,2.6864274,2.7085612,2.6645772,2.6901,9779464.0,ISKPL
2025-01-08,2.6608882,2.6943727,2.631944,2.6319,15029788.0,ISKPL
2025-01-09,2.6264105,2.6603208,2.582285,2.6603,23089157.0,ISKPL
2025-01-10,2.6681242,2.7241685,2.6078238,2.71,30812386.0,ISKPL
2025-01-13,2.6986294,2.7355192,2.6532266,2.7298,16582096.0,ISKPL
2025-01-14,2.7091286,2.7411945,2.675928,2.7157,21869318.0,ISKPL
2025-01-15,2.7409108,2.8121364,2.6702526,2.8093,24069315.0,ISKPL
2025-01-16,2.775814,2.823487,2.7411945,2.744,29338310.0,ISKPL
2025-01-17,2.7105477,2.7667336,2.6532266,2.6717,24421169.0,ISKPL
2025-01-20,2.7430391,2.7922728,2.6730902,2.7455,26268650.0,ISKPL
2025-01-21,2.7675848,2.8036234,2.7170744,2.7639,23963338.0,ISKPL
2025-01-22,2.7291343,2.790854,2.6972106,2.7696,18777926.0,ISKPL
2025-01-23,2.7939754,2.936994,2.7568018,2.8206,27996301.0,ISKPL
2025-01-24,2.7177837,2.8206494,2.6929538,2.6958,48111827.0,ISKPL
2025-01-27,2.6898327,2.7128177,2.6645772,2.6773,14839961.0,ISKPL
2025-01-28,2.6606047,2.7043047,2.6191742,2.6319,18779249.0,ISKPL
2025-01-29,2.789293,2.894429,2.6305254,2.8944,61114325.0,ISKPL
2025-01-30,2.9440882,3.121443,2.8220682,2.8405,130296822.0,ISKPL
2025-01-31,2.8392363,2.8717277,2.7922728,2.8519,37475051.0,ISKPL
2025-02-03,2.8762677,2.9284809,2.8092985,2.8802,58542577.0,ISKPL
2025-02-04,2.9147182,2.965371,2.8660524,2.92,23603985.0,ISKPL
2025-02-05,2.850161,2.948345,2.8135552,2.8178,48078165.0,ISKPL
2025-02-06,2.9110293,3.0476635,2.8178117,3.0079,75698464.0,ISKPL
2025-02-07,2.997153,3.050501,2.8688898,3.0079,38057182.0,ISKPL
2025-02-10,3.0353196,3.121443,2.9341564,3.0051,46101496.0,ISKPL
2025-02-11,3.0527713,3.1186054,2.9965854,3.076,30551931.0,ISKPL
2025-02-12,3.0540483,3.0930662,3.0192869,3.0647,16133323.0,ISKPL
2025-02-13,2.9974365,3.121443,2.894429,2.954,53124625.0,ISKPL
2025-02-14,3.117754,3.2349498,2.9313188,3.1697,85879085.0,ISKPL
2025-02-17,3.1640081,3.2207615,3.121443,3.1385,35988163.0,ISKPL
2025-02-18,3.1475496,3.2065732,3.1044168,3.1356,30014824.0,ISKPL
2025-02-19,3.1258414,3.1469822,3.1186054,3.1214,23731046.0,ISKPL
2025-02-20,3.188838,3.260489,3.121443,3.2435,25185161.0,ISKPL
2025-02-21,3.059014,3.2434633,2.9852347,2.9852,84153259.0,ISKPL
2025-02-24,3.098316,3.1781964,2.9965854,3.164,37753198.0,ISKPL
2025-02-25,3.1442864,3.2008977,3.0930662,3.0931,30289654.0,ISKPL
2025-02-26,3.156914,3.2207615,3.070365,3.1754,31601499.0,ISKPL
2025-02-27,3.172805,3.263327,3.1242807,3.1782,32823343.0,ISKPL
2025-02-28,3.1685483,3.1781964,3.155495,3.164,10799725.0,ISKPL
2025-03-03,3.197209,3.2434633,3.1668458,3.1924,26488803.0,ISKPL
2025-03-04,3.2062895,3.2349498,3.192385,3.2037,122825221.0,ISKPL
2025-03-05,3.1306653,3.263327,2.95402,3.2037,39819271.0,ISKPL
2025-03-06,3.247294,3.4477756,3.1753585,3.3371,89090172.0,ISKPL
2025-03-07,3.4192572,3.4988537,3.3399441,3.4648,27895591.0,ISKPL
2025-03-10,3.4602616,3.4988537,3.4137237,3.4336,12875228.0,ISKPL
2025-03-11,3.4301822,3.4761524,3.385347,3.4676,12741988.0,ISKPL
2025-03-12,3.475301,3.5130424,3.436425,3.4762,14251265.0,ISKPL
2025-03-13,3.5070832,3.5556073,3.4704769,3.4932,16199528.0,ISKPL
2025-03-14,3.447492,3.5414188,3.4023728,3.4336,15907431.0,ISKPL
2025-03-17,3.4100344,3.4761524,3.32008,3.4137,35845304.0,ISKPL
2025-03-18,3.4165611,3.4506133,3.3626456,3.3995,21116693.0,ISKPL
2025-03-19,3.2052963,3.3626456,3.1015792,3.1129,33147853.0,ISKPL
2025-03-20,3.1247065,3.1753585,3.078878,3.0959,35746530.0,ISKPL
2025-03-21,2.9683504,3.1015792,2.8376753,3.0278,25743194.0,ISKPL
2025-03-24,2.9679248,3.050501,2.8688898,2.9512,30291053.0,ISKPL
2025-03-25,3.0221243,3.2463005,2.9171302,3.1867,28779215.0,ISKPL
2025-03-26,3.0624192,3.1895473,3.033475,3.0363,27119165.0,ISKPL
2025-03-27,2.9896328,3.0732026,2.9256437,2.9881,35932628.0,ISKPL
2025-03-28,3.02482,3.1781964,2.9114552,3.13,17576840.0,ISKPL
2025-04-02,3.182595,3.263327,3.129956,3.164,18140707.0,ISKPL
2025-04-03,3.1879864,3.251976,3.1441445,3.252,16805946.0,ISKPL
2025-04-04,3.2014651,3.3058918,3.1413066,3.1895,22036259.0,ISKPL
2025-04-07,3.1949387,3.2831905,3.0817153,3.252,28085472.0,ISKPL
2025-04-08,3.3066013,3.3881845,3.2321124,3.2775,22595271.0,ISKPL
2025-04-09,3.2952507,3.3654828,3.2207615,3.3399,19614547.0,ISKPL
2025-04-10,3.3077364,3.410886,3.2690024,3.3116,52666712.0,ISKPL
2025-04-11,3.2731168,3.3626456,3.2207615,3.2633,59020020.0,ISKPL
2025-04-14,3.2511246,3.3342688,3.2037356,3.2406,56625628.0,ISKPL
