date,open,high,low,close,volume,symbol
2025-01-02,992.081,1017.0,976.0,1004.0,3597286.0,KENT
2025-01-03,992.987,1010.0,966.0,994.0,4086142.0,KENT
2025-01-06,994.477,995.0,994.0,994.0,4264317.0,KENT
2025-01-07,990.0,990.0,990.0,990.0,4115430.0,KENT
2025-01-08,970.519,990.0,956.5,980.0,3244447.0,KENT
2025-01-09,975.432,980.0,972.5,980.0,3388652.0,KENT
2025-01-10,974.779,976.0,972.5,972.5,3178753.0,KENT
2025-01-13,989.688,990.0,989.5,989.5,4316028.0,KENT
2025-01-14,989.075,990.0,980.5,980.5,2268939.0,KENT
2025-01-15,955.705,970.5,951.5,956.0,4234729.0,KENT
2025-01-16,956.18,960.0,956.0,960.0,3723364.0,KENT
2025-01-17,951.911,960.0,950.0,953.0,3313602.0,KENT
2025-01-20,932.096,940.0,929.0,929.0,4322128.0,KENT
2025-01-21,911.29,925.0,900.0,901.0,3552208.0,KENT
2025-01-22,920.787,927.5,910.0,927.5,3086479.0,KENT
2025-01-23,927.414,928.0,924.0,924.0,3312724.0,KENT
2025-01-24,920.906,924.0,910.0,910.0,2193599.0,KENT
2025-01-27,899.354,900.0,898.5,898.5,2802389.0,KENT
2025-01-28,872.715,876.5,866.0,876.5,3955147.0,KENT
2025-01-29,876.029,876.5,875.5,875.5,4052511.0,KENT
2025-01-30,875.124,875.5,873.5,873.5,3628266.0,KENT
2025-01-31,891.346,897.5,873.5,897.5,2595599.0,KENT
2025-02-03,924.323,930.0,909.5,909.5,4389608.0,KENT
2025-02-04,901.922,909.5,886.5,886.5,1999561.0,KENT
2025-02-05,868.274,870.0,866.0,866.0,4252804.0,KENT
2025-02-06,866.243,867.5,866.0,867.5,2408155.0,KENT
2025-02-07,929.848,954.0,892.0,954.0,6257877.0,KENT
2025-02-10,1023.77,1047.0,961.0,961.0,8929323.0,KENT
2025-02-11,937.036,959.0,915.5,959.0,5619402.0,KENT
2025-02-12,927.397,927.5,926.5,927.0,3498142.0,KENT
2025-02-13,943.238,948.5,896.5,940.0,4497357.0,KENT
2025-02-14,922.678,938.0,915.5,915.5,3568919.0,KENT
2025-02-17,931.117,946.0,916.0,920.0,2846424.0,KENT
2025-02-18,902.913,912.0,900.0,910.5,3394049.0,KENT
2025-02-19,910.249,910.5,910.0,910.5,2868196.0,KENT
2025-02-20,917.189,933.0,907.5,933.0,2468156.0,KENT
2025-02-21,939.218,950.0,920.0,920.0,2152689.0,KENT
2025-02-24,920.0,920.0,920.0,920.0,3532800.0,KENT
2025-02-25,926.925,930.0,908.0,908.0,2872540.0,KENT
2025-02-26,897.977,902.0,890.0,902.0,4282450.0,KENT
2025-02-27,902.745,905.5,902.5,905.5,2664001.0,KENT
2025-02-28,904.024,906.5,900.0,905.0,4689173.0,KENT
2025-03-03,911.536,918.5,910.0,918.5,4577732.0,KENT
2025-03-04,886.063,888.0,886.0,888.0,6743824.0,KENT
2025-03-05,899.472,900.0,899.0,900.0,3910904.0,KENT
2025-03-06,900.421,902.5,900.0,902.5,3575573.0,KENT
2025-03-07,945.52,960.0,910.0,960.0,3180730.0,KENT
