date,open,high,low,close,volume,symbol
2025-01-02,4.607,4.68,4.54,4.66,33784824.0,KLGYO
2025-01-03,4.701,4.78,4.64,4.72,37033561.0,KLGYO
2025-01-06,4.935,5.06,4.78,4.98,81566763.0,KLGYO
2025-01-07,5.005,5.1,4.9,5.02,51905536.0,KLGYO
2025-01-08,4.943,5.07,4.88,4.88,31802747.0,KLGYO
2025-01-09,5.07,5.18,4.9,5.11,71880278.0,KLGYO
2025-01-10,5.483,5.62,5.21,5.32,277684848.0,KLGYO
2025-01-13,5.208,5.39,5.04,5.07,88452605.0,KLGYO
2025-01-14,5.324,5.44,5.1,5.37,127797853.0,KLGYO
2025-01-15,5.286,5.5,5.17,5.23,59574543.0,KLGYO
2025-01-16,5.187,5.35,5.09,5.19,66236256.0,KLGYO
2025-01-17,5.248,5.35,5.16,5.27,44036818.0,KLGYO
2025-01-20,5.247,5.35,5.19,5.22,48077226.0,KLGYO
2025-01-21,5.364,5.48,5.2,5.35,56963347.0,KLGYO
2025-01-22,5.364,5.48,5.29,5.33,41012412.0,KLGYO
2025-01-23,5.334,5.42,5.24,5.26,37800464.0,KLGYO
2025-01-24,5.277,5.39,5.22,5.22,43936656.0,KLGYO
2025-01-27,5.119,5.27,5.06,5.1,29721563.0,KLGYO
2025-01-28,5.11,5.21,5.05,5.1,33562766.0,KLGYO
2025-01-29,5.019,5.14,4.92,4.92,36173019.0,KLGYO
2025-01-30,4.855,4.95,4.75,4.86,70904847.0,KLGYO
2025-01-31,4.889,4.95,4.83,4.86,31405601.0,KLGYO
2025-02-03,4.769,4.86,4.7,4.74,25918934.0,KLGYO
2025-02-04,4.744,4.78,4.7,4.76,22735544.0,KLGYO
2025-02-05,4.657,4.76,4.59,4.66,35277109.0,KLGYO
2025-02-06,4.83,4.94,4.68,4.86,56294883.0,KLGYO
2025-02-07,4.839,4.88,4.81,4.86,25698131.0,KLGYO
2025-02-10,4.821,4.9,4.79,4.79,20331226.0,KLGYO
2025-02-11,4.808,4.87,4.74,4.8,34876795.0,KLGYO
2025-02-12,4.768,4.84,4.69,4.69,18417728.0,KLGYO
2025-02-13,4.711,4.76,4.67,4.71,18903154.0,KLGYO
2025-02-14,4.726,4.77,4.68,4.73,24540481.0,KLGYO
2025-02-17,4.718,4.77,4.68,4.72,23775367.0,KLGYO
2025-02-18,4.704,4.75,4.67,4.73,30848788.0,KLGYO
2025-02-19,4.639,4.76,4.49,4.49,58424253.0,KLGYO
2025-02-20,4.541,4.59,4.5,4.55,22165197.0,KLGYO
2025-02-21,4.389,4.56,4.2,4.25,53782791.0,KLGYO
2025-02-24,4.31,4.37,4.23,4.31,39030648.0,KLGYO
2025-02-25,4.239,4.31,4.18,4.18,19092244.0,KLGYO
2025-02-26,4.135,4.22,4.06,4.06,29006971.0,KLGYO
2025-02-27,4.15,4.18,4.08,4.16,17459973.0,KLGYO
2025-02-28,4.189,4.24,4.15,4.18,18581371.0,KLGYO
2025-03-03,4.524,4.59,4.38,4.52,102993542.0,KLGYO
2025-03-04,4.459,4.52,4.41,4.46,31648536.0,KLGYO
2025-03-05,4.612,4.67,4.46,4.61,54496520.0,KLGYO
2025-03-06,4.581,4.68,4.51,4.62,46399030.0,KLGYO
2025-03-07,4.666,4.8,4.59,4.79,57790233.0,KLGYO
2025-03-10,4.973,5.12,4.84,4.84,68166603.0,KLGYO
2025-03-11,4.843,4.92,4.79,4.87,22348065.0,KLGYO
2025-03-12,4.876,4.95,4.84,4.89,30620112.0,KLGYO
2025-03-13,5.011,5.08,4.89,5.03,59458528.0,KLGYO
2025-03-14,5.306,5.49,5.03,5.44,137831501.0,KLGYO
2025-03-17,5.432,5.54,5.36,5.45,81269676.0,KLGYO
2025-03-18,5.493,5.67,5.35,5.59,78517298.0,KLGYO
2025-03-19,5.078,5.25,5.04,5.04,144738537.0,KLGYO
2025-03-20,4.891,5.05,4.71,4.78,113739445.0,KLGYO
2025-03-21,4.367,4.77,4.31,4.31,71094627.0,KLGYO
2025-03-24,4.249,4.38,4.08,4.25,103137652.0,KLGYO
2025-03-25,4.446,4.66,4.29,4.55,68210896.0,KLGYO
2025-03-26,4.528,4.61,4.44,4.53,43302280.0,KLGYO
2025-03-27,4.638,4.72,4.54,4.58,25389677.0,KLGYO
2025-03-28,4.603,4.71,4.49,4.64,54209498.0,KLGYO
2025-04-02,4.641,4.71,4.59,4.65,23178781.0,KLGYO
2025-04-03,4.85,5.01,4.65,4.81,60838078.0,KLGYO
2025-04-04,4.734,4.89,4.68,4.73,39216034.0,KLGYO
2025-04-07,4.724,4.91,4.43,4.84,56802821.0,KLGYO
2025-04-08,4.937,5.0,4.87,4.91,45070443.0,KLGYO
2025-04-09,5.005,5.1,4.86,4.93,73498526.0,KLGYO
2025-04-10,5.035,5.14,4.81,4.99,62419582.0,KLGYO
2025-04-11,4.927,5.04,4.86,4.93,45396972.0,KLGYO
2025-04-14,4.813,5.0,4.69,4.72,92676659.0,KLGYO
2025-04-15,4.683,4.8,4.57,4.59,65413310.0,KLGYO
2025-04-16,4.476,4.6,4.38,4.39,43198216.0,KLGYO
2025-04-17,4.391,4.49,4.27,4.41,72185750.0,KLGYO
2025-04-18,4.337,4.43,4.29,4.32,33657700.0,KLGYO
2025-04-21,4.273,4.34,4.2,4.26,42219134.0,KLGYO
2025-04-22,4.371,4.46,4.24,4.39,60752323.0,KLGYO
2025-04-24,4.482,4.56,4.39,4.52,50232038.0,KLGYO
2025-04-25,4.545,4.62,4.48,4.56,27010417.0,KLGYO
2025-04-28,4.493,4.6,4.4,4.4,31990755.0,KLGYO
2025-04-29,4.362,4.41,4.3,4.35,25476267.0,KLGYO
2025-04-30,4.262,4.36,4.2,4.22,85871994.0,KLGYO
2025-05-02,4.425,4.61,4.25,4.61,68589984.0,KLGYO
2025-05-05,4.569,4.69,4.43,4.62,94033569.0,KLGYO
2025-05-06,4.754,4.87,4.58,4.7,52577854.0,KLGYO
2025-05-07,4.561,4.8,4.46,4.49,85861310.0,KLGYO
2025-05-08,4.49,4.6,4.38,4.54,55985670.0,KLGYO
2025-05-09,4.612,4.65,4.54,4.63,37675019.0,KLGYO
2025-05-12,4.654,4.77,4.52,4.72,89502794.0,KLGYO
2025-05-13,4.717,4.77,4.67,4.71,39164080.0,KLGYO
2025-05-14,4.737,4.87,4.65,4.8,210986740.0,KLGYO
2025-05-15,4.896,5.04,4.77,4.95,146439688.0,KLGYO
2025-05-16,4.929,5.01,4.86,4.91,78974434.0,KLGYO
2025-05-20,4.884,5.0,4.77,4.9,60144977.0,KLGYO
2025-05-21,5.086,5.24,4.86,5.02,172287818.0,KLGYO
2025-05-22,4.873,5.09,4.79,4.82,105936871.0,KLGYO
2025-05-23,4.823,4.94,4.7,4.7,53539243.0,KLGYO
2025-05-26,4.703,4.77,4.65,4.65,64150624.0,KLGYO
2025-05-27,4.71,4.82,4.62,4.63,336602517.0,KLGYO
2025-05-28,4.58,4.67,4.52,4.52,61775961.0,KLGYO
2025-05-29,4.545,4.63,4.5,4.51,74185681.0,KLGYO
2025-05-30,4.473,4.56,4.42,4.44,49357180.0,KLGYO
2025-06-02,4.498,4.57,4.43,4.48,48339889.0,KLGYO
2025-06-03,4.823,4.92,4.52,4.92,175338206.0,KLGYO
2025-06-04,5.024,5.11,4.93,5.03,151550461.0,KLGYO
2025-06-05,5.068,5.15,4.98,5.03,40439321.0,KLGYO
2025-06-10,5.217,5.41,5.03,5.28,151592377.0,KLGYO
2025-06-11,5.316,5.42,5.23,5.31,95739829.0,KLGYO
2025-06-12,5.29,5.41,5.19,5.25,113019016.0,KLGYO
2025-06-13,5.027,5.19,4.8,5.17,129378225.0,KLGYO
2025-06-16,5.165,5.26,5.04,5.24,102586252.0,KLGYO
2025-06-17,5.191,5.3,5.12,5.17,91879895.0,KLGYO
2025-06-18,5.058,5.17,4.97,5.1,93939801.0,KLGYO
2025-06-19,5.113,5.33,4.91,4.98,143566368.0,KLGYO
2025-06-20,5.33,5.47,5.05,5.27,206381665.0,KLGYO
2025-06-23,5.311,5.41,5.17,5.39,101429845.0,KLGYO
2025-06-24,5.693,5.83,5.52,5.82,187218947.0,KLGYO
2025-06-25,5.789,5.97,5.67,5.85,136228408.0,KLGYO
2025-06-26,5.714,5.89,5.63,5.71,121957084.0,KLGYO
2025-06-27,5.733,5.93,5.53,5.83,171013611.0,KLGYO
2025-06-30,6.122,6.32,5.84,6.22,169616857.0,KLGYO
