date,open,high,low,close,volume,symbol
2025-01-02,73.039,74.2,71.65,74.0,86319917.0,KORDS
2025-01-03,74.341,75.05,73.6,74.6,75961619.0,KORDS
2025-01-06,76.517,77.95,74.95,76.55,131861806.0,KORDS
2025-01-07,75.861,76.65,75.25,75.25,59669061.0,KORDS
2025-01-08,74.489,76.1,73.4,73.6,50994590.0,KORDS
2025-01-09,74.314,75.1,73.6,74.85,36749012.0,KORDS
2025-01-10,74.853,75.6,73.75,74.35,52766992.0,KORDS
2025-01-13,72.568,74.5,71.25,71.95,58002438.0,KORDS
2025-01-14,72.548,73.9,71.7,71.7,70917185.0,KORDS
2025-01-15,71.778,72.5,71.25,72.0,41029770.0,KORDS
2025-01-16,71.782,72.85,71.0,72.65,58839801.0,KORDS
2025-01-17,71.788,72.65,71.2,71.55,65813527.0,KORDS
2025-01-20,71.435,72.3,70.7,71.0,61081994.0,KORDS
2025-01-21,70.439,71.05,69.9,70.05,60776260.0,KORDS
2025-01-22,69.999,70.45,69.6,70.35,44998578.0,KORDS
2025-01-23,70.92,71.35,70.45,70.6,52407533.0,KORDS
2025-01-24,71.045,71.6,70.45,71.45,39555391.0,KORDS
2025-01-27,70.23,71.25,69.6,69.6,45822663.0,KORDS
2025-01-28,69.612,70.1,69.25,69.4,48228433.0,KORDS
2025-01-29,69.561,70.05,68.95,68.95,35332790.0,KORDS
2025-01-30,69.206,69.7,68.7,68.95,40725040.0,KORDS
2025-01-31,68.373,69.15,67.9,68.0,37816909.0,KORDS
2025-02-03,65.811,67.75,65.1,65.4,51746963.0,KORDS
2025-02-04,65.971,66.35,65.6,65.7,27575541.0,KORDS
2025-02-05,65.067,66.15,64.0,64.9,26911685.0,KORDS
2025-02-06,65.719,66.3,65.15,65.65,28698594.0,KORDS
2025-02-07,66.298,67.0,65.55,67.0,31152579.0,KORDS
2025-02-10,66.894,67.7,66.35,67.0,34549166.0,KORDS
2025-02-11,66.156,67.15,65.9,66.0,35488369.0,KORDS
2025-02-12,65.645,66.3,65.1,65.1,35789342.0,KORDS
2025-02-13,65.47,65.8,64.9,65.15,28858323.0,KORDS
2025-02-14,65.143,65.95,64.25,64.65,40145625.0,KORDS
2025-02-17,64.365,65.2,63.8,63.8,45504850.0,KORDS
2025-02-18,64.065,65.0,63.45,64.4,44074779.0,KORDS
2025-02-19,64.155,65.25,62.75,62.75,40316125.0,KORDS
2025-02-20,63.556,64.25,62.8,64.15,26127422.0,KORDS
2025-02-21,63.879,64.85,62.65,63.2,30399176.0,KORDS
2025-02-24,63.847,64.4,63.25,63.35,28409972.0,KORDS
2025-02-25,63.202,63.95,61.95,62.05,78602736.0,KORDS
2025-02-26,62.341,62.75,62.05,62.3,16648802.0,KORDS
2025-02-27,62.827,63.35,62.1,62.8,27075166.0,KORDS
2025-02-28,62.849,63.25,62.5,62.65,22853789.0,KORDS
2025-03-03,60.698,61.4,60.3,60.35,105144568.0,KORDS
2025-03-04,59.159,60.55,58.0,58.0,47045945.0,KORDS
2025-03-05,58.413,58.95,58.0,58.5,50247112.0,KORDS
2025-03-06,60.412,61.55,58.65,61.55,86322419.0,KORDS
2025-03-07,62.03,62.95,61.2,62.35,40656956.0,KORDS
2025-03-10,63.131,63.6,62.5,63.3,55121461.0,KORDS
2025-03-11,62.791,63.7,62.05,63.0,33012276.0,KORDS
2025-03-12,63.248,64.2,62.2,63.8,56455584.0,KORDS
2025-03-13,64.601,65.25,63.9,64.55,79366866.0,KORDS
2025-03-14,64.931,65.55,64.5,64.6,40541686.0,KORDS
2025-03-17,64.826,65.15,64.4,64.65,46046380.0,KORDS
2025-03-18,64.44,65.4,63.4,64.05,80381147.0,KORDS
2025-03-19,60.539,62.55,58.0,58.5,85320812.0,KORDS
2025-03-20,59.296,60.85,57.25,58.4,58828127.0,KORDS
2025-03-21,55.685,58.5,54.0,54.4,50008567.0,KORDS
2025-03-24,54.671,56.1,52.55,54.7,54077084.0,KORDS
2025-03-25,56.117,57.5,54.9,56.65,49092512.0,KORDS
2025-03-26,56.167,56.95,55.45,56.05,33672682.0,KORDS
2025-03-27,56.203,57.1,55.75,55.75,26494925.0,KORDS
2025-03-28,56.057,57.45,55.0,57.0,27319936.0,KORDS
2025-04-02,57.232,57.85,56.5,56.5,23551020.0,KORDS
2025-04-03,59.768,61.0,57.25,58.8,96422397.0,KORDS
2025-04-04,58.344,60.15,57.5,58.4,44067756.0,KORDS
2025-04-07,57.765,59.2,55.65,58.5,78403919.0,KORDS
2025-04-08,58.6,60.95,57.95,58.55,79646195.0,KORDS
2025-04-09,59.212,60.7,57.95,58.65,111670391.0,KORDS
2025-04-10,60.251,62.0,59.25,60.45,130121350.0,KORDS
2025-04-11,60.603,61.5,59.8,60.25,61218097.0,KORDS
2025-04-14,60.337,61.2,59.65,60.2,39624871.0,KORDS
2025-04-15,59.632,60.7,59.0,59.15,49944666.0,KORDS
2025-04-16,57.8,59.25,56.9,57.15,42446639.0,KORDS
2025-04-17,56.669,57.85,55.65,56.4,89819477.0,KORDS
2025-04-18,56.269,57.05,55.3,55.7,30933747.0,KORDS
2025-04-21,56.223,57.0,55.7,56.0,30653795.0,KORDS
2025-04-22,57.803,59.7,55.5,59.7,81645101.0,KORDS
2025-04-24,58.641,60.55,57.8,58.7,60558164.0,KORDS
2025-04-25,59.358,59.95,58.85,58.95,39471216.0,KORDS
2025-04-28,58.462,59.5,57.65,57.65,28193714.0,KORDS
2025-04-29,56.838,57.85,54.9,56.5,26219945.0,KORDS
2025-04-30,55.624,56.6,54.8,55.0,36014951.0,KORDS
2025-05-02,55.581,56.15,55.05,55.15,23165793.0,KORDS
2025-05-05,55.374,55.9,54.9,54.9,26633318.0,KORDS
2025-05-06,55.715,56.3,55.0,55.25,24510924.0,KORDS
2025-05-07,54.932,56.1,53.8,54.3,38468335.0,KORDS
2025-05-08,54.921,55.5,53.1,55.0,29726473.0,KORDS
2025-05-09,55.341,56.15,54.55,55.9,30701494.0,KORDS
2025-05-12,57.165,57.7,56.5,57.55,44399490.0,KORDS
2025-05-13,57.431,58.4,56.1,58.15,41895121.0,KORDS
2025-05-14,58.289,59.0,57.85,57.95,44764044.0,KORDS
2025-05-15,57.628,58.85,56.4,56.8,28178361.0,KORDS
2025-05-16,57.772,58.85,56.7,58.8,46276351.0,KORDS
2025-05-20,59.162,60.0,58.1,58.65,52885353.0,KORDS
2025-05-21,57.976,59.1,56.95,56.95,37459340.0,KORDS
2025-05-22,57.086,57.85,56.35,57.25,24631453.0,KORDS
2025-05-23,57.382,58.15,56.6,57.35,30037383.0,KORDS
2025-05-26,56.623,57.8,56.05,56.25,25034919.0,KORDS
2025-05-27,55.922,56.6,55.25,55.25,22593170.0,KORDS
2025-05-28,54.993,55.8,54.5,54.7,29094867.0,KORDS
2025-05-29,55.673,56.5,54.9,55.7,36314492.0,KORDS
2025-05-30,55.162,55.7,54.65,54.65,16322957.0,KORDS
2025-06-02,53.849,54.65,53.5,53.55,22558245.0,KORDS
2025-06-03,54.696,55.5,53.75,54.7,21001495.0,KORDS
2025-06-04,56.071,56.95,54.7,56.8,40014567.0,KORDS
2025-06-05,56.593,56.95,56.3,56.4,5531720.0,KORDS
2025-06-10,57.317,57.65,56.45,57.35,26299757.0,KORDS
2025-06-11,57.944,58.25,57.35,57.7,19830748.0,KORDS
2025-06-12,56.583,57.45,55.95,56.05,21773967.0,KORDS
2025-06-13,53.266,54.0,52.65,53.8,36523767.0,KORDS
2025-06-16,54.123,54.85,53.15,54.15,19521298.0,KORDS
2025-06-17,53.988,54.65,53.55,53.55,21724924.0,KORDS
2025-06-18,52.583,53.3,52.1,52.45,21731587.0,KORDS
2025-06-19,52.972,53.6,52.45,53.1,23429416.0,KORDS
2025-06-20,53.032,53.95,52.45,53.55,23985003.0,KORDS
2025-06-23,52.122,52.65,51.7,51.95,25508629.0,KORDS
2025-06-24,53.224,53.85,52.4,53.8,31137448.0,KORDS
2025-06-25,53.193,53.85,52.75,53.2,36105653.0,KORDS
2025-06-26,53.282,53.6,53.0,53.25,22751825.0,KORDS
2025-06-27,53.422,54.05,52.75,53.45,19354643.0,KORDS
2025-06-30,54.776,55.7,53.5,55.6,41736076.0,KORDS
2025-07-01,56.881,57.95,55.4,57.6,37683722.0,KORDS
2025-07-02,57.54,58.4,56.0,57.0,58709396.0,KORDS
2025-07-03,57.953,59.1,57.5,57.7,26666224.0,KORDS
2025-07-04,57.922,58.6,57.1,58.5,28202246.0,KORDS
2025-07-07,57.066,58.05,56.5,56.55,31405603.0,KORDS
2025-07-08,56.005,57.05,55.45,55.45,22717401.0,KORDS
2025-07-09,56.186,56.6,55.45,56.4,15406759.0,KORDS
2025-07-10,57.179,57.55,56.8,57.05,24729871.0,KORDS
2025-07-11,57.198,58.0,56.25,57.25,26216728.0,KORDS
2025-07-14,56.988,57.55,56.35,56.7,15461229.0,KORDS
2025-07-16,56.252,57.05,55.0,55.8,37470060.0,KORDS
2025-07-17,56.572,57.1,55.8,57.05,35600948.0,KORDS
2025-07-18,56.931,57.7,56.4,57.1,26667287.0,KORDS
2025-07-21,57.866,58.85,57.25,57.9,45043475.0,KORDS
2025-07-22,57.988,58.4,57.45,57.65,38321752.0,KORDS
2025-07-23,59.719,61.6,57.55,60.9,197109288.0,KORDS
2025-07-24,60.814,61.7,59.7,61.45,96368989.0,KORDS
2025-07-25,60.539,61.75,59.8,60.15,38292168.0,KORDS
2025-07-28,59.355,60.65,58.5,58.8,58270281.0,KORDS
2025-07-29,59.534,60.55,58.55,58.95,44402312.0,KORDS
2025-07-30,59.958,61.0,58.85,59.6,52361094.0,KORDS
2025-07-31,60.656,61.6,59.65,61.5,72012052.0,KORDS
2025-08-01,61.568,62.5,60.9,61.3,50285949.0,KORDS
2025-08-04,62.831,63.5,61.5,62.95,160993641.0,KORDS
2025-08-05,63.141,63.35,62.4,62.6,63175493.0,KORDS
2025-08-06,63.576,64.4,62.65,63.7,75022672.0,KORDS
2025-08-07,62.135,62.85,61.1,62.1,94306670.0,KORDS
2025-08-08,61.837,62.25,61.45,61.5,47235392.0,KORDS
2025-08-11,61.69,62.15,61.35,61.6,40771088.0,KORDS
2025-08-12,61.059,61.9,60.35,60.55,29461674.0,KORDS
2025-08-13,60.817,61.3,60.5,60.95,33254602.0,KORDS
2025-08-14,61.583,62.65,60.45,61.4,64679869.0,KORDS
2025-08-15,62.378,63.1,61.45,62.4,44741396.0,KORDS
2025-08-18,63.988,65.05,62.55,64.85,84630285.0,KORDS
2025-08-19,64.799,66.5,63.25,63.75,96192178.0,KORDS
2025-08-20,63.947,64.5,63.2,64.4,48129022.0,KORDS
2025-08-21,65.24,65.75,64.55,65.7,60680883.0,KORDS
2025-08-22,65.987,66.8,65.15,66.4,49255697.0,KORDS
2025-08-25,67.475,68.15,66.75,67.6,47485470.0,KORDS
2025-08-26,67.108,67.9,66.65,66.9,33758110.0,KORDS
2025-08-27,69.972,72.0,66.4,70.75,201186529.0,KORDS
2025-08-28,69.991,71.5,68.45,69.2,55527304.0,KORDS
2025-08-29,69.285,70.85,68.1,68.55,31791808.0,KORDS
2025-09-01,69.75,70.9,68.4,70.0,59942333.0,KORDS
2025-09-02,69.186,71.6,67.4,68.15,112357388.0,KORDS
2025-09-03,67.001,68.45,66.0,67.1,60920364.0,KORDS
2025-09-04,67.192,68.0,66.0,67.65,51606830.0,KORDS
2025-09-05,66.785,68.4,65.8,66.7,47403359.0,KORDS
