date,open,high,low,close,volume,symbol
2025-01-02,29.485,29.8,29.14,29.56,82559920.0,KRDMA
2025-01-03,29.592,30.14,29.18,29.42,125590061.0,KRDMA
2025-01-06,29.339,29.78,29.0,29.04,74525004.0,KRDMA
2025-01-07,29.628,30.34,28.08,30.32,430199346.0,KRDMA
2025-01-08,30.139,30.7,29.64,30.3,218129145.0,KRDMA
2025-01-09,30.302,30.8,29.94,29.94,248791923.0,KRDMA
2025-01-10,30.089,30.3,29.92,30.0,62658773.0,KRDMA
2025-01-13,29.455,30.28,28.6,28.72,274362790.0,KRDMA
2025-01-14,28.516,29.08,27.94,28.36,72101642.0,KRDMA
2025-01-15,28.055,28.66,27.16,27.9,85134560.0,KRDMA
2025-01-16,28.662,29.0,27.88,28.76,246902858.0,KRDMA
2025-01-17,28.882,29.3,28.58,28.6,80355736.0,KRDMA
2025-01-20,28.652,28.96,28.22,28.54,94539898.0,KRDMA
2025-01-21,28.42,28.78,28.18,28.4,45884230.0,KRDMA
2025-01-22,29.233,29.6,28.4,29.32,284360063.0,KRDMA
2025-01-23,29.496,30.08,29.1,30.08,89466677.0,KRDMA
2025-01-24,29.952,30.46,29.36,29.6,282097169.0,KRDMA
2025-01-27,30.014,30.2,29.68,29.9,119327816.0,KRDMA
2025-01-28,30.771,31.38,29.92,31.32,136120978.0,KRDMA
2025-01-29,32.17,33.28,31.18,33.0,203126585.0,KRDMA
2025-01-30,33.303,33.84,32.88,33.6,133750152.0,KRDMA
2025-01-31,34.63,35.0,33.6,35.0,200627742.0,KRDMA
2025-02-03,35.003,35.6,34.44,35.0,173996235.0,KRDMA
2025-02-04,35.56,36.26,34.82,35.8,146480347.0,KRDMA
2025-02-05,35.181,36.04,34.28,35.84,209246616.0,KRDMA
2025-02-06,35.668,36.12,35.26,36.0,224181640.0,KRDMA
2025-02-07,36.916,38.26,35.7,36.28,409627419.0,KRDMA
2025-02-10,36.422,38.3,35.48,38.3,250213483.0,KRDMA
2025-02-11,38.2,38.98,37.56,38.68,194922802.0,KRDMA
2025-02-12,38.775,39.4,38.1,38.64,234366096.0,KRDMA
2025-02-13,38.054,38.94,35.98,35.98,263049846.0,KRDMA
2025-02-14,36.199,37.3,35.02,36.76,219973061.0,KRDMA
2025-02-17,36.662,37.2,36.2,36.62,91306845.0,KRDMA
2025-02-18,36.756,37.06,36.28,36.98,103360743.0,KRDMA
2025-02-19,36.605,37.18,35.88,36.48,149024384.0,KRDMA
2025-02-20,37.091,37.78,36.26,37.3,142904131.0,KRDMA
2025-02-21,37.226,37.58,36.64,37.46,93128752.0,KRDMA
2025-02-24,37.529,37.9,37.02,37.4,71585274.0,KRDMA
2025-02-25,37.328,37.62,37.0,37.4,89898815.0,KRDMA
2025-02-26,37.245,37.6,37.02,37.16,56424848.0,KRDMA
2025-02-27,37.68,38.16,37.18,37.72,89800634.0,KRDMA
2025-02-28,36.646,38.24,35.6,37.16,306230988.0,KRDMA
2025-03-03,36.385,37.46,35.74,35.74,422411301.0,KRDMA
2025-03-04,34.876,36.1,32.88,35.18,406639837.0,KRDMA
2025-03-05,36.394,37.5,35.02,37.2,378732992.0,KRDMA
2025-03-06,36.96,37.94,36.5,37.3,139351848.0,KRDMA
2025-03-07,37.313,37.74,36.82,37.24,153578603.0,KRDMA
2025-03-10,37.446,37.76,36.92,37.46,156791817.0,KRDMA
2025-03-11,37.589,37.98,37.16,37.44,145997416.0,KRDMA
2025-03-12,38.05,40.0,37.14,39.8,246694152.0,KRDMA
2025-03-13,39.801,40.72,39.24,40.0,272597866.0,KRDMA
2025-03-14,40.158,40.66,39.74,40.2,106614365.0,KRDMA
2025-03-17,39.898,40.46,39.52,39.82,90518531.0,KRDMA
2025-03-18,39.88,40.84,39.22,40.8,106555917.0,KRDMA
2025-03-19,38.893,39.52,37.3,39.52,136692458.0,KRDMA
2025-03-20,40.455,41.42,39.24,40.98,177640369.0,KRDMA
2025-03-21,38.079,40.98,36.9,36.9,222488684.0,KRDMA
2025-03-24,35.488,37.48,33.44,33.94,233478661.0,KRDMA
2025-03-25,34.221,34.8,33.64,34.2,191471289.0,KRDMA
2025-03-26,33.757,34.3,33.36,33.64,165456437.0,KRDMA
2025-03-27,33.65,34.04,32.96,32.96,107488551.0,KRDMA
2025-03-28,34.229,34.78,33.1,34.14,188965860.0,KRDMA
2025-04-02,34.193,34.98,33.54,33.54,162229299.0,KRDMA
2025-04-03,33.57,34.0,33.12,33.48,76939183.0,KRDMA
2025-04-04,32.825,33.74,32.46,32.6,83730910.0,KRDMA
2025-04-07,31.96,32.5,31.44,32.1,110578950.0,KRDMA
2025-04-08,32.221,32.6,31.96,32.16,182558961.0,KRDMA
2025-04-09,31.9,32.34,31.54,31.6,137520567.0,KRDMA
2025-04-10,31.888,32.26,31.4,31.64,75562918.0,KRDMA
2025-04-11,32.268,33.34,30.76,33.3,227173691.0,KRDMA
2025-04-14,34.507,35.46,33.44,34.12,196250010.0,KRDMA
2025-04-15,34.893,35.26,34.42,34.72,84188768.0,KRDMA
2025-04-16,34.146,34.8,33.36,33.98,109044705.0,KRDMA
2025-04-17,34.593,35.66,33.8,35.52,122345476.0,KRDMA
2025-04-18,35.457,36.0,34.88,35.7,68968527.0,KRDMA
2025-04-21,36.05,36.54,35.08,36.5,73999211.0,KRDMA
2025-04-22,36.678,37.5,36.0,37.5,71762239.0,KRDMA
2025-04-24,39.048,40.08,37.86,40.06,183982773.0,KRDMA
2025-04-25,39.833,40.34,39.02,39.02,121092383.0,KRDMA
2025-04-28,38.389,39.66,37.78,37.86,60485031.0,KRDMA
2025-04-29,38.936,41.06,36.16,40.5,360220577.0,KRDMA
2025-04-30,39.956,41.0,38.68,38.68,82714477.0,KRDMA
2025-05-02,39.496,40.0,38.4,40.0,70457548.0,KRDMA
2025-05-05,38.727,41.0,36.18,37.94,287230896.0,KRDMA
2025-05-06,37.92,38.58,37.32,38.0,58356414.0,KRDMA
2025-05-07,37.818,38.48,37.42,37.8,71109588.0,KRDMA
2025-05-08,39.805,40.88,37.54,40.3,275350789.0,KRDMA
2025-05-09,40.318,40.6,39.9,40.18,70419166.0,KRDMA
2025-05-12,40.103,40.86,39.62,40.48,166368994.0,KRDMA
2025-05-13,39.495,40.56,38.36,38.36,85352589.0,KRDMA
2025-05-14,39.907,40.34,38.66,40.16,445513386.0,KRDMA
2025-05-15,39.939,40.16,39.5,40.08,57997308.0,KRDMA
2025-05-16,40.11,40.5,39.74,40.04,64048603.0,KRDMA
2025-05-20,41.304,44.04,39.64,44.0,208448952.0,KRDMA
2025-05-21,42.174,44.0,40.72,40.98,139498487.0,KRDMA
2025-05-22,38.723,41.18,36.9,36.9,166843732.0,KRDMA
2025-05-23,35.655,37.1,34.36,35.04,227359903.0,KRDMA
