date,open,high,low,close,volume,symbol
2025-01-02,2.302,2.33,2.28,2.31,18460746.0,KRVGD
2025-01-03,2.329,2.37,2.3,2.36,43374512.0,KRVGD
2025-01-06,2.401,2.44,2.37,2.4,29829453.0,KRVGD
2025-01-07,2.362,2.43,2.32,2.36,41967021.0,KRVGD
2025-01-08,2.327,2.37,2.29,2.31,22621772.0,KRVGD
2025-01-09,2.327,2.37,2.28,2.33,41233770.0,KRVGD
2025-01-10,2.313,2.35,2.28,2.3,29689268.0,KRVGD
2025-01-13,2.269,2.32,2.22,2.28,46727017.0,KRVGD
2025-01-14,2.273,2.31,2.25,2.26,43694951.0,KRVGD
2025-01-15,2.241,2.27,2.21,2.22,49876310.0,KRVGD
2025-01-16,2.212,2.24,2.17,2.23,41122663.0,KRVGD
2025-01-17,2.214,2.24,2.2,2.22,18823568.0,KRVGD
2025-01-20,2.224,2.25,2.2,2.21,21095154.0,KRVGD
2025-01-21,2.181,2.21,2.15,2.17,54269121.0,KRVGD
2025-01-22,2.176,2.2,2.16,2.17,16999406.0,KRVGD
2025-01-23,2.179,2.21,2.15,2.16,26349187.0,KRVGD
2025-01-24,2.145,2.18,2.12,2.16,26853285.0,KRVGD
2025-01-27,2.126,2.17,2.1,2.11,23799382.0,KRVGD
2025-01-28,2.084,2.12,2.06,2.08,42651175.0,KRVGD
2025-01-29,2.039,2.09,2.0,2.02,43432441.0,KRVGD
2025-01-30,2.137,2.21,2.0,2.19,119993418.0,KRVGD
2025-01-31,2.147,2.21,2.1,2.14,50232948.0,KRVGD
2025-02-03,2.197,2.27,2.13,2.14,73555654.0,KRVGD
2025-02-04,2.195,2.24,2.15,2.2,36147125.0,KRVGD
2025-02-05,2.164,2.21,2.12,2.14,22507159.0,KRVGD
2025-02-06,2.215,2.28,2.13,2.24,62088174.0,KRVGD
2025-02-07,2.395,2.46,2.23,2.41,192518678.0,KRVGD
2025-02-10,2.33,2.41,2.26,2.29,74522191.0,KRVGD
2025-02-11,2.399,2.47,2.24,2.34,123250378.0,KRVGD
2025-02-12,2.367,2.42,2.31,2.32,58928074.0,KRVGD
2025-02-13,2.33,2.37,2.3,2.32,40507551.0,KRVGD
2025-02-14,2.296,2.32,2.27,2.29,30668880.0,KRVGD
2025-02-17,2.31,2.33,2.29,2.3,21773086.0,KRVGD
2025-02-18,2.328,2.4,2.27,2.32,71307345.0,KRVGD
2025-02-19,2.279,2.32,2.25,2.26,31303850.0,KRVGD
2025-02-20,2.27,2.3,2.24,2.29,20687070.0,KRVGD
2025-02-21,2.287,2.32,2.23,2.26,22254236.0,KRVGD
2025-02-24,2.27,2.29,2.25,2.27,19566915.0,KRVGD
2025-02-25,2.246,2.3,2.22,2.23,27311863.0,KRVGD
2025-02-26,2.21,2.24,2.17,2.22,33811153.0,KRVGD
2025-02-27,2.153,2.21,2.13,2.14,77675476.0,KRVGD
2025-02-28,2.141,2.16,2.12,2.12,20917534.0,KRVGD
2025-03-03,2.13,2.16,2.11,2.12,19871445.0,KRVGD
2025-03-04,2.123,2.14,2.11,2.12,19441897.0,KRVGD
2025-03-05,2.133,2.16,2.11,2.16,19037209.0,KRVGD
2025-03-06,2.183,2.25,2.15,2.25,28531408.0,KRVGD
2025-03-07,2.269,2.33,2.22,2.25,37914482.0,KRVGD
2025-03-10,2.353,2.41,2.25,2.38,68721525.0,KRVGD
2025-03-11,2.441,2.49,2.38,2.48,43828457.0,KRVGD
2025-03-12,2.448,2.5,2.42,2.44,31684684.0,KRVGD
