date,open,high,low,close,volume,symbol
2025-01-02,2799.789,2805.3408,2792.8726,2797.8599,2725533.0,KSTUR
2025-01-03,2792.8726,2792.8726,2792.8726,2792.8726,2587200.0,KSTUR
2025-01-06,2876.3616,2930.0227,2842.7454,2855.2136,4397645.0,KSTUR
2025-01-07,2837.428,2852.72,2807.8345,2807.8345,1354063.0,KSTUR
2025-01-08,2861.0068,2892.6182,2770.43,2892.6182,6152520.0,KSTUR
2025-01-09,2855.0432,2880.15,2812.8218,2872.6689,1588593.0,KSTUR
2025-01-10,2856.7446,2892.6182,2830.277,2830.2771,1824390.0,KSTUR
2025-01-13,2792.9417,2807.8345,2738.0127,2738.0127,2326858.0,KSTUR
2025-01-14,2831.3325,2842.7454,2760.4553,2760.4553,1683265.0,KSTUR
2025-01-15,2780.0066,2802.8472,2767.9363,2790.3792,978273.0,KSTUR
2025-01-16,2825.1924,2825.29,2815.3154,2815.3154,1730598.0,KSTUR
2025-01-17,2797.8728,2827.7837,2795.3662,2795.3662,1668983.0,KSTUR
2025-01-20,2735.7864,2792.8726,2703.1018,2728.0381,3096585.0,KSTUR
2025-01-21,2722.8296,2728.038,2698.1145,2698.1145,2426773.0,KSTUR
2025-01-22,2641.2197,2698.1145,2538.5217,2698.1145,3352318.0,KSTUR
2025-01-23,2722.1113,2740.5063,2698.1145,2740.5063,2014045.0,KSTUR
2025-01-24,2720.2312,2752.9744,2693.1272,2733.0254,1832660.0,KSTUR
2025-01-27,2722.5342,2733.0254,2693.1272,2693.1272,1318340.0,KSTUR
2025-01-28,2687.9585,2693.1272,2625.799,2693.1272,2632838.0,KSTUR
2025-01-29,2696.1575,2715.5698,2693.1272,2715.5698,1381253.0,KSTUR
2025-01-30,2802.6545,2842.7454,2720.5571,2830.2771,4546268.0,KSTUR
2025-01-31,2860.7695,2942.491,2772.9236,2842.7454,3559275.0,KSTUR
2025-02-03,2807.313,2820.3027,2782.8982,2782.8982,2032053.0,KSTUR
2025-02-04,2781.1316,2782.8982,2762.949,2762.949,889445.0,KSTUR
2025-02-05,2728.5796,2762.949,2693.1272,2695.6208,1726128.0,KSTUR
2025-02-06,2705.025,2723.0508,2695.6208,2710.5828,1149858.0,KSTUR
2025-02-07,2712.322,2760.4553,2693.1272,2760.4553,1106733.0,KSTUR
2025-02-10,2811.967,2815.3154,2795.3662,2815.3154,4127225.0,KSTUR
2025-02-11,2838.146,2867.6816,2792.8726,2792.8726,4265238.0,KSTUR
2025-02-12,2828.9106,2842.7454,2792.8726,2792.8726,1330145.0,KSTUR
2025-02-13,2761.1436,2792.8726,2752.9744,2752.9744,1433923.0,KSTUR
2025-02-14,2773.2397,2785.3918,2747.9873,2765.4426,1426303.0,KSTUR
2025-02-17,2890.4785,2922.5417,2770.43,2922.5417,6305733.0,KSTUR
2025-02-18,3098.783,3214.297,2992.3635,3214.2971,5321763.0,KSTUR
2025-02-19,3423.9573,3491.0908,3241.7273,3491.0908,12011000.0,KSTUR
2025-02-20,3306.6685,3428.75,3241.7273,3241.7273,7216988.0,KSTUR
2025-02-21,3398.0671,3565.9,3117.0454,3466.1545,9331058.0,KSTUR
2025-02-24,3549.2944,3725.4927,3386.3582,3628.2407,8778455.0,KSTUR
2025-02-25,3419.1794,3590.8362,3304.068,3304.0681,8761725.0,KSTUR
2025-02-26,3296.5054,3304.068,3291.5999,3291.5999,3714728.0,KSTUR
2025-02-27,3438.7056,3481.1162,3279.1318,3481.1162,3547458.0,KSTUR
2025-02-28,3821.339,3827.7317,3790.3271,3827.7317,12527668.0,KSTUR
2025-03-03,4152.3535,4209.2583,3890.0728,4209.2583,12268213.0,KSTUR
2025-03-04,4617.605,4628.189,4575.8228,4628.189,19309183.0,KSTUR
2025-03-05,4269.8696,4628.189,4166.866,4166.8662,21626430.0,KSTUR
2025-03-06,4258.0684,4583.3037,4002.2864,4583.3037,13050135.0,KSTUR
2025-03-07,4630.7524,4688.036,4583.3037,4688.0361,9661188.0,KSTUR
2025-03-10,4936.0425,4987.2725,4837.6543,4867.5781,18275325.0,KSTUR
2025-03-11,4483.2656,4832.667,4381.319,4381.3188,11812090.0,KSTUR
2025-03-12,4612.3843,4817.7056,4381.319,4817.7056,11412415.0,KSTUR
2025-03-13,4706.947,4837.6543,4660.6064,4837.6543,11188653.0,KSTUR
2025-03-14,5148.984,5161.827,5087.018,5161.8271,17158900.0,KSTUR
2025-03-17,5381.112,5386.2544,5366.305,5366.3052,13956463.0,KSTUR
2025-03-18,5138.8535,5343.863,4830.1733,5341.3691,15244673.0,KSTUR
2025-03-19,4850.332,5034.652,4807.731,4807.731,12565243.0,KSTUR
2025-03-20,4842.473,5286.509,4476.077,4987.2725,16428748.0,KSTUR
2025-03-21,4538.7007,4932.4126,4488.5454,4488.5454,17436685.0,KSTUR
2025-03-24,4583.4443,4588.291,4570.8354,4573.3291,16248418.0,KSTUR
2025-03-25,4978.984,5029.6646,4690.53,5022.1836,10896860.0,KSTUR
2025-03-26,5386.2544,5386.2544,5386.2544,5386.2544,16075800.0,KSTUR
2025-03-27,5814.111,5924.88,5593.226,5924.8799,17754975.0,KSTUR
2025-03-28,6370.1016,6376.228,6353.785,6353.7852,21298505.0,KSTUR
2025-04-02,6638.2246,6650.528,6483.4546,6483.4546,17935670.0,KSTUR
2025-04-03,6115.695,6333.8364,5984.727,6144.3198,16523860.0,KSTUR
2025-04-04,6009.399,6099.4346,5884.982,5884.9819,9892615.0,KSTUR
2025-04-07,5763.1245,5855.058,5730.3765,5730.3765,9966760.0,KSTUR
2025-04-08,5436.4766,5486.0,5386.2544,5388.748,20536918.0,KSTUR
2025-04-09,5396.3354,5486.0,5388.748,5486.0,16365573.0,KSTUR
2025-04-10,5927.406,6034.6,5745.338,6034.6001,17268998.0,KSTUR
2025-04-11,6370.8135,6583.1997,6037.0938,6219.1289,14722200.0,KSTUR
2025-04-14,6060.3804,6219.129,5847.577,5847.5771,12716745.0,KSTUR
2025-04-15,5916.7397,6184.2183,5386.2544,6076.9917,16508308.0,KSTUR
2025-04-16,5754.79,5894.956,5695.4653,5695.4653,11446640.0,KSTUR
2025-04-17,5773.6113,5787.73,5692.9717,5787.73,8011070.0,KSTUR
2025-04-18,5634.1714,5770.2744,5486.0,5486.0,7851485.0,KSTUR
2025-04-21,5293.142,5500.0,5160.0,5160.0,9199480.0,KSTUR
