date,open,high,low,close,volume,symbol
2025-01-02,78.863,81.6,76.9,77.7,47799755.0,KUTPO
2025-01-03,78.163,79.05,77.2,79.0,25549541.0,KUTPO
2025-01-06,80.607,81.45,79.05,81.25,26409227.0,KUTPO
2025-01-07,81.321,82.2,80.25,80.9,28439296.0,KUTPO
2025-01-08,80.292,81.9,79.2,79.5,22559144.0,KUTPO
2025-01-09,80.937,82.55,79.2,81.7,23248846.0,KUTPO
2025-01-10,81.443,83.6,79.9,81.15,26857547.0,KUTPO
2025-01-13,78.844,80.85,77.5,77.75,19680535.0,KUTPO
2025-01-14,77.441,78.4,76.0,77.45,18759175.0,KUTPO
2025-01-15,77.709,78.65,76.65,78.65,17778185.0,KUTPO
2025-01-16,78.136,79.4,77.25,78.25,14591023.0,KUTPO
2025-01-17,77.424,78.3,77.0,77.5,13184141.0,KUTPO
2025-01-20,79.196,80.7,77.5,79.15,29277758.0,KUTPO
2025-01-21,77.954,79.7,77.25,78.1,14829648.0,KUTPO
2025-01-22,78.274,79.25,77.3,79.0,13596366.0,KUTPO
2025-01-23,79.614,80.1,78.95,79.9,22626411.0,KUTPO
2025-01-24,79.921,81.9,78.05,81.55,32783583.0,KUTPO
2025-01-27,79.083,81.5,78.0,78.35,29538720.0,KUTPO
2025-01-28,79.509,80.55,78.0,79.85,26785731.0,KUTPO
2025-01-29,81.264,82.6,79.4,80.45,46757279.0,KUTPO
2025-01-30,80.934,82.5,79.4,81.9,32759757.0,KUTPO
2025-01-31,80.005,83.0,78.25,79.35,47174431.0,KUTPO
2025-02-03,76.621,78.95,75.2,76.6,27026715.0,KUTPO
2025-02-04,76.638,77.4,76.05,76.15,11152580.0,KUTPO
2025-02-05,74.243,76.55,73.0,73.45,25198822.0,KUTPO
2025-02-06,73.337,74.45,72.65,73.65,23510405.0,KUTPO
2025-02-07,72.91,74.4,72.35,74.2,20050588.0,KUTPO
2025-02-10,73.832,74.6,73.1,74.0,11001515.0,KUTPO
2025-02-11,73.947,75.6,72.75,74.95,19881079.0,KUTPO
2025-02-12,73.328,75.8,72.3,72.45,15426330.0,KUTPO
2025-02-13,72.019,72.9,71.15,72.0,19040557.0,KUTPO
2025-02-14,70.924,72.45,70.0,70.7,23373912.0,KUTPO
2025-02-17,71.209,71.8,70.6,71.0,10469625.0,KUTPO
2025-02-18,70.663,71.4,69.8,71.0,14662905.0,KUTPO
2025-02-19,70.196,71.45,69.0,69.35,15464557.0,KUTPO
2025-02-20,70.612,71.75,68.45,71.4,15420789.0,KUTPO
2025-02-21,70.35,71.75,68.5,69.05,10096792.0,KUTPO
2025-02-24,72.859,75.05,69.8,72.15,57456432.0,KUTPO
2025-02-25,70.587,72.9,69.4,69.5,20151443.0,KUTPO
2025-02-26,70.129,71.15,69.3,69.95,14149820.0,KUTPO
2025-02-27,70.97,72.0,69.55,71.3,16010783.0,KUTPO
2025-02-28,71.3,71.9,70.8,71.15,17885932.0,KUTPO
2025-03-03,70.348,71.55,69.65,70.0,20967135.0,KUTPO
2025-03-04,68.894,71.25,68.0,68.25,13849010.0,KUTPO
2025-03-05,68.739,69.4,68.05,69.0,15490921.0,KUTPO
2025-03-06,70.289,71.85,69.05,71.85,22344852.0,KUTPO
2025-03-07,72.024,73.1,71.05,73.0,23725503.0,KUTPO
2025-03-10,73.888,74.85,72.7,74.25,29507062.0,KUTPO
2025-03-11,73.664,74.55,71.85,74.45,22581193.0,KUTPO
2025-03-12,80.107,81.5,78.5,80.2,103924733.0,KUTPO
2025-03-13,81.751,83.5,79.15,81.05,49918014.0,KUTPO
2025-03-14,82.693,83.45,80.6,83.45,44132910.0,KUTPO
2025-03-17,83.427,84.85,81.4,82.55,38291932.0,KUTPO
2025-03-18,82.224,83.8,81.25,82.0,39856485.0,KUTPO
