date,open,high,low,close,volume,symbol
2025-01-02,6.8374996,7.0099998,6.6799994,6.74,339351539.0,KZBGY
2025-01-03,6.8207498,6.9499993,6.7099996,6.945,304887347.0,KZBGY
2025-01-06,7.1762495,7.3049994,6.8949995,7.215,631440941.0,KZBGY
2025-01-07,7.208,7.47,6.9,7.07,517175280.0,KZBGY
2025-01-08,7.291,7.4,7.09,7.19,644654145.0,KZBGY
2025-01-09,6.774,7.25,6.48,6.57,254401120.0,KZBGY
2025-01-10,6.188,6.72,5.92,5.92,231500975.0,KZBGY
2025-01-13,5.82,6.0,5.68,5.77,203970518.0,KZBGY
2025-01-14,6.033,6.18,5.8,6.06,155369671.0,KZBGY
2025-01-15,5.96,6.17,5.84,5.89,148834777.0,KZBGY
2025-01-16,5.818,5.98,5.66,5.66,89786817.0,KZBGY
2025-01-17,5.502,5.61,5.43,5.49,97265237.0,KZBGY
2025-01-20,5.476,5.56,5.44,5.44,55886689.0,KZBGY
2025-01-21,5.841,5.98,5.38,5.98,368193240.0,KZBGY
2025-01-22,5.801,5.95,5.59,5.75,262382406.0,KZBGY
2025-01-23,5.746,5.91,5.62,5.63,220511092.0,KZBGY
2025-01-24,5.565,5.67,5.52,5.56,39812927.0,KZBGY
2025-01-27,5.515,5.63,5.48,5.48,56471858.0,KZBGY
2025-01-28,5.485,5.54,5.43,5.48,118761866.0,KZBGY
2025-01-29,5.412,5.51,5.33,5.34,42199389.0,KZBGY
2025-01-30,5.291,5.42,5.24,5.25,31666507.0,KZBGY
2025-01-31,5.201,5.29,5.14,5.2,43934387.0,KZBGY
2025-02-03,5.335,5.43,5.1,5.37,101312439.0,KZBGY
2025-02-04,5.393,5.5,5.28,5.4,43520455.0,KZBGY
2025-02-05,5.589,5.78,5.34,5.59,125437949.0,KZBGY
2025-02-06,5.519,5.61,5.43,5.46,58351346.0,KZBGY
2025-02-07,5.42,5.5,5.37,5.39,24434971.0,KZBGY
2025-02-10,5.382,5.47,5.34,5.37,24868801.0,KZBGY
2025-02-11,5.356,5.44,5.26,5.37,19204876.0,KZBGY
2025-02-12,5.323,5.41,5.24,5.24,22799544.0,KZBGY
2025-02-13,5.323,5.44,5.21,5.36,30601922.0,KZBGY
2025-02-14,5.342,5.39,5.32,5.34,18397761.0,KZBGY
2025-02-17,5.361,5.42,5.32,5.34,16748854.0,KZBGY
2025-02-18,5.299,5.36,5.2,5.3,24481677.0,KZBGY
2025-02-19,5.372,5.48,5.28,5.3,44490056.0,KZBGY
2025-02-20,5.376,5.46,5.29,5.43,27147540.0,KZBGY
2025-02-21,5.339,5.46,5.23,5.28,33878118.0,KZBGY
2025-02-24,5.598,5.73,5.32,5.67,102476665.0,KZBGY
2025-02-25,5.588,5.75,5.46,5.48,47146848.0,KZBGY
2025-02-26,5.591,5.71,5.39,5.58,60738834.0,KZBGY
2025-02-27,5.735,5.8,5.61,5.72,56539690.0,KZBGY
2025-02-28,5.652,5.79,5.56,5.69,35466614.0,KZBGY
2025-03-03,5.735,5.85,5.66,5.74,46015878.0,KZBGY
2025-03-04,5.712,5.79,5.64,5.72,36649158.0,KZBGY
2025-03-05,5.703,5.84,5.52,5.68,62035695.0,KZBGY
2025-03-06,5.651,5.73,5.6,5.68,39885539.0,KZBGY
2025-03-07,5.647,5.75,5.57,5.6,55627551.0,KZBGY
2025-03-10,5.267,5.38,5.14,5.28,126735147.0,KZBGY
2025-03-11,5.242,5.31,5.2,5.26,50016477.0,KZBGY
2025-03-12,5.682,5.78,5.44,5.78,177399806.0,KZBGY
2025-03-13,6.216,6.35,5.81,6.16,455308398.0,KZBGY
2025-03-14,6.178,6.35,6.08,6.18,160026008.0,KZBGY
2025-03-17,6.683,6.79,6.26,6.5,519640049.0,KZBGY
2025-03-18,6.754,7.04,6.28,6.72,346633542.0,KZBGY
2025-03-19,6.28,6.54,6.05,6.05,166805194.0,KZBGY
2025-03-20,6.098,6.3,5.85,6.0,167005297.0,KZBGY
