date,open,high,low,close,volume,symbol
2025-01-02,9.862,10.0,9.79,9.92,29876391.0,MNDRS
2025-01-03,10.057,10.16,9.94,10.12,38878217.0,MNDRS
2025-01-06,10.526,10.81,10.07,10.65,92140664.0,MNDRS
2025-01-07,10.638,10.84,10.49,10.64,38821954.0,MNDRS
2025-01-08,10.512,10.69,10.4,10.45,40174598.0,MNDRS
2025-01-09,10.545,10.59,10.49,10.53,21802588.0,MNDRS
2025-01-10,10.689,10.82,10.56,10.58,46081239.0,MNDRS
2025-01-13,10.317,10.6,10.1,10.13,34204152.0,MNDRS
2025-01-14,10.156,10.24,10.07,10.11,22433970.0,MNDRS
2025-01-15,10.197,10.29,10.12,10.19,32163081.0,MNDRS
2025-01-16,10.213,10.32,10.12,10.27,26899526.0,MNDRS
2025-01-17,10.595,11.29,10.26,10.71,54181501.0,MNDRS
2025-01-20,10.675,10.81,10.56,10.59,32935679.0,MNDRS
2025-01-21,10.656,10.89,10.5,10.57,37200541.0,MNDRS
2025-01-22,10.445,10.62,10.36,10.43,30479049.0,MNDRS
2025-01-23,10.491,10.69,10.4,10.45,22540869.0,MNDRS
2025-01-24,10.434,10.5,10.37,10.49,19406874.0,MNDRS
2025-01-27,10.362,10.7,10.14,10.15,25202141.0,MNDRS
2025-01-28,10.227,10.35,10.15,10.23,25075489.0,MNDRS
2025-01-29,10.115,10.23,10.0,10.0,22223120.0,MNDRS
2025-01-30,10.061,10.2,9.98,9.98,31887539.0,MNDRS
2025-01-31,10.009,10.12,9.92,10.12,24130848.0,MNDRS
2025-02-03,9.92,10.11,9.85,9.87,18790703.0,MNDRS
2025-02-04,9.848,10.0,9.75,9.77,24529603.0,MNDRS
2025-02-05,9.681,9.81,9.51,9.66,18455588.0,MNDRS
2025-02-06,9.674,9.78,9.62,9.65,16592117.0,MNDRS
2025-02-07,9.599,9.7,9.54,9.6,19693336.0,MNDRS
2025-02-10,9.583,9.69,9.5,9.54,15271400.0,MNDRS
2025-02-11,9.582,9.72,9.45,9.58,24946735.0,MNDRS
2025-02-12,9.459,9.64,9.3,9.36,25986805.0,MNDRS
2025-02-13,9.424,9.51,9.36,9.38,14957590.0,MNDRS
2025-02-14,9.353,9.45,9.28,9.38,14967287.0,MNDRS
