date,open,high,low,close,volume,symbol
2025-01-02,5.913,5.99,5.83,5.89,11250142.0,MNDTR
2025-01-03,6.056,6.18,5.9,6.18,19289194.0,MNDTR
2025-01-06,6.253,6.35,6.13,6.31,20335989.0,MNDTR
2025-01-07,6.179,6.3,6.1,6.16,11761091.0,MNDTR
2025-01-08,6.13,6.2,6.07,6.11,10066655.0,MNDTR
2025-01-09,6.287,6.41,6.11,6.35,20521228.0,MNDTR
2025-01-10,6.425,6.54,6.3,6.54,18504335.0,MNDTR
2025-01-13,6.602,6.75,6.38,6.52,35891652.0,MNDTR
2025-01-14,6.556,6.67,6.42,6.52,18648091.0,MNDTR
2025-01-15,6.391,6.55,6.3,6.38,22095461.0,MNDTR
2025-01-16,6.395,6.46,6.32,6.38,12549886.0,MNDTR
2025-01-17,6.369,6.42,6.3,6.38,10320646.0,MNDTR
2025-01-20,6.369,6.42,6.32,6.36,8787934.0,MNDTR
2025-01-21,6.257,6.36,6.11,6.26,11174871.0,MNDTR
2025-01-22,6.305,6.39,6.2,6.37,8448869.0,MNDTR
2025-01-23,6.487,6.67,6.33,6.63,18374588.0,MNDTR
2025-01-24,6.623,6.72,6.5,6.67,9751040.0,MNDTR
2025-01-27,6.652,6.8,6.5,6.75,14277453.0,MNDTR
2025-01-28,6.637,6.82,6.44,6.56,15272798.0,MNDTR
2025-01-29,6.435,6.59,6.3,6.47,13675010.0,MNDTR
2025-01-30,6.426,6.49,6.39,6.4,5051897.0,MNDTR
2025-01-31,6.351,6.44,6.26,6.27,7422347.0,MNDTR
2025-02-03,6.16,6.29,6.02,6.11,8987957.0,MNDTR
2025-02-04,6.213,6.29,6.13,6.15,5417184.0,MNDTR
2025-02-05,6.005,6.19,5.9,5.94,9402988.0,MNDTR
2025-02-06,6.037,6.15,5.95,6.06,7816011.0,MNDTR
2025-02-07,6.091,6.19,6.03,6.07,5952414.0,MNDTR
2025-02-10,6.258,6.49,5.91,6.44,19744749.0,MNDTR
2025-02-11,6.508,6.61,6.39,6.54,18302839.0,MNDTR
2025-02-12,6.418,6.57,6.28,6.3,11450764.0,MNDTR
2025-02-13,6.218,6.38,6.16,6.17,8786415.0,MNDTR
2025-02-14,6.259,6.38,6.18,6.24,7905863.0,MNDTR
2025-02-17,6.193,6.28,6.11,6.17,4716055.0,MNDTR
2025-02-18,6.108,6.18,6.06,6.06,7346770.0,MNDTR
2025-02-19,6.036,6.18,5.92,5.92,9273513.0,MNDTR
2025-02-20,6.015,6.11,5.96,6.03,8081014.0,MNDTR
2025-02-21,5.952,6.08,5.82,5.84,6333469.0,MNDTR
2025-02-24,5.986,6.13,5.88,6.12,9525827.0,MNDTR
2025-02-25,5.919,6.07,5.82,5.83,8029525.0,MNDTR
2025-02-26,5.826,5.91,5.78,5.82,3402787.0,MNDTR
2025-02-27,5.809,5.85,5.77,5.83,7159420.0,MNDTR
2025-02-28,5.842,5.93,5.8,5.84,4320144.0,MNDTR
2025-03-03,5.844,5.92,5.76,5.76,9280018.0,MNDTR
2025-03-04,5.598,5.8,5.49,5.51,10293574.0,MNDTR
