date,open,high,low,close,volume,symbol
2025-01-02,4.24,4.3,4.2,4.3,33615380.0,MOBTL
2025-01-03,4.374,4.43,4.31,4.36,53485053.0,MOBTL
2025-01-06,4.44,4.48,4.39,4.45,51611472.0,MOBTL
2025-01-07,4.415,4.48,4.34,4.4,32744597.0,MOBTL
2025-01-08,4.333,4.4,4.3,4.3,30227100.0,MOBTL
2025-01-09,4.348,4.38,4.31,4.36,23043050.0,MOBTL
2025-01-10,4.303,4.38,4.25,4.27,22838397.0,MOBTL
2025-01-13,4.176,4.28,4.11,4.16,38399334.0,MOBTL
2025-01-14,4.129,4.2,4.08,4.09,24587120.0,MOBTL
2025-01-15,4.072,4.12,4.03,4.07,20853751.0,MOBTL
2025-01-16,4.12,4.16,4.08,4.14,15506057.0,MOBTL
2025-01-17,4.191,4.25,4.11,4.21,30406888.0,MOBTL
2025-01-20,4.337,4.42,4.21,4.3,52507159.0,MOBTL
2025-01-21,4.28,4.38,4.22,4.25,26501533.0,MOBTL
2025-01-22,4.256,4.29,4.23,4.24,21745114.0,MOBTL
2025-01-23,4.281,4.35,4.23,4.31,35631219.0,MOBTL
2025-01-24,4.328,4.4,4.26,4.37,32761709.0,MOBTL
2025-01-27,4.329,4.41,4.24,4.27,27825649.0,MOBTL
2025-01-28,4.293,4.35,4.25,4.31,21430854.0,MOBTL
2025-01-29,4.233,4.33,4.14,4.17,23689405.0,MOBTL
2025-01-30,4.172,4.21,4.13,4.15,13105630.0,MOBTL
2025-01-31,4.131,4.18,4.07,4.14,16278978.0,MOBTL
2025-02-03,4.059,4.14,4.03,4.06,19462775.0,MOBTL
2025-02-04,4.097,4.13,4.07,4.08,23418542.0,MOBTL
2025-02-05,4.013,4.09,3.94,4.01,22389485.0,MOBTL
2025-02-06,4.035,4.07,4.01,4.05,13448921.0,MOBTL
2025-02-07,4.063,4.12,4.03,4.12,15112528.0,MOBTL
2025-02-10,4.068,4.15,4.03,4.05,20907851.0,MOBTL
2025-02-11,4.043,4.07,4.01,4.06,23156786.0,MOBTL
2025-02-12,4.0,4.07,3.96,3.97,26789741.0,MOBTL
2025-02-13,3.99,4.03,3.95,4.0,20516970.0,MOBTL
2025-02-14,3.983,4.02,3.95,3.97,21206927.0,MOBTL
2025-02-17,3.994,4.02,3.97,3.99,13772798.0,MOBTL
2025-02-18,3.932,3.98,3.91,3.94,20878403.0,MOBTL
2025-02-19,3.926,3.98,3.87,3.92,25282228.0,MOBTL
2025-02-20,3.953,4.01,3.89,3.99,21126845.0,MOBTL
2025-02-21,3.955,4.02,3.87,3.92,18198872.0,MOBTL
2025-02-24,4.037,4.11,3.93,4.08,28516758.0,MOBTL
2025-02-25,3.933,4.1,3.87,3.9,27034060.0,MOBTL
2025-02-26,3.846,3.94,3.77,3.8,33236842.0,MOBTL
2025-02-27,3.796,3.83,3.77,3.8,28274468.0,MOBTL
2025-02-28,3.771,3.81,3.73,3.74,16983548.0,MOBTL
2025-03-03,3.884,4.05,3.76,3.8,52675523.0,MOBTL
2025-03-04,3.736,3.83,3.66,3.69,24691415.0,MOBTL
