date,open,high,low,close,volume,symbol
2025-01-02,1.752,1.77,1.73,1.75,47722483.0,MRGYO
2025-01-03,1.763,1.78,1.75,1.76,43908191.0,MRGYO
2025-01-06,1.836,1.88,1.76,1.85,153290772.0,MRGYO
2025-01-07,1.844,1.87,1.83,1.84,65627311.0,MRGYO
2025-01-08,1.829,1.87,1.78,1.79,77911887.0,MRGYO
2025-01-09,1.804,1.82,1.79,1.81,27149560.0,MRGYO
2025-01-10,1.791,1.83,1.75,1.77,44561011.0,MRGYO
2025-01-13,1.758,1.83,1.7,1.72,57138114.0,MRGYO
2025-01-14,1.706,1.74,1.67,1.69,47568150.0,MRGYO
2025-01-15,1.682,1.71,1.66,1.69,36733185.0,MRGYO
2025-01-16,1.718,1.74,1.7,1.73,40551721.0,MRGYO
2025-01-17,1.718,1.74,1.7,1.72,25474347.0,MRGYO
2025-01-20,1.722,1.74,1.7,1.72,40623331.0,MRGYO
2025-01-21,1.713,1.74,1.69,1.7,36595234.0,MRGYO
2025-01-22,1.687,1.71,1.67,1.68,28446742.0,MRGYO
2025-01-23,1.682,1.71,1.65,1.66,41479070.0,MRGYO
2025-01-24,1.67,1.69,1.65,1.66,36224607.0,MRGYO
2025-01-27,1.631,1.66,1.61,1.62,30598152.0,MRGYO
2025-01-28,1.608,1.63,1.58,1.59,34511030.0,MRGYO
2025-01-29,1.459,1.51,1.44,1.44,201882501.0,MRGYO
2025-01-30,1.437,1.54,1.36,1.41,164877608.0,MRGYO
2025-01-31,1.459,1.5,1.4,1.48,113930177.0,MRGYO
2025-02-03,1.45,1.48,1.42,1.43,50507000.0,MRGYO
2025-02-04,1.437,1.46,1.42,1.42,31856734.0,MRGYO
2025-02-05,1.409,1.44,1.38,1.4,57076570.0,MRGYO
2025-02-06,1.408,1.43,1.39,1.41,26811675.0,MRGYO
2025-02-07,1.419,1.45,1.4,1.41,42545639.0,MRGYO
2025-02-10,1.403,1.42,1.39,1.4,42159138.0,MRGYO
2025-02-11,1.469,1.53,1.4,1.45,202053565.0,MRGYO
2025-02-12,1.427,1.46,1.41,1.41,82070841.0,MRGYO
2025-02-13,1.42,1.45,1.4,1.42,43934495.0,MRGYO
2025-02-14,1.468,1.5,1.42,1.49,97947782.0,MRGYO
2025-02-17,1.505,1.57,1.47,1.48,104948509.0,MRGYO
2025-02-18,1.479,1.53,1.45,1.46,131673710.0,MRGYO
2025-02-19,1.433,1.46,1.4,1.41,59202770.0,MRGYO
2025-02-20,1.478,1.54,1.4,1.53,146691729.0,MRGYO
2025-02-21,1.535,1.66,1.43,1.45,262414980.0,MRGYO
2025-02-24,1.49,1.55,1.44,1.52,194539381.0,MRGYO
2025-02-25,1.477,1.51,1.44,1.46,116845829.0,MRGYO
2025-02-26,1.435,1.46,1.42,1.43,80967981.0,MRGYO
2025-02-27,1.432,1.45,1.42,1.43,44067838.0,MRGYO
2025-02-28,1.435,1.45,1.42,1.42,53081677.0,MRGYO
2025-03-03,1.426,1.44,1.41,1.43,51754658.0,MRGYO
2025-03-04,1.399,1.43,1.37,1.37,52587692.0,MRGYO
2025-03-05,1.381,1.4,1.37,1.39,34391636.0,MRGYO
2025-03-06,1.4,1.41,1.39,1.4,38740336.0,MRGYO
2025-03-07,1.443,1.48,1.4,1.44,100203212.0,MRGYO
2025-03-10,1.448,1.47,1.43,1.43,85579845.0,MRGYO
2025-03-11,1.412,1.44,1.4,1.41,101765882.0,MRGYO
2025-03-12,1.409,1.43,1.39,1.4,62452726.0,MRGYO
2025-03-13,1.438,1.46,1.4,1.45,96491645.0,MRGYO
2025-03-14,1.469,1.49,1.45,1.47,84166074.0,MRGYO
2025-03-17,1.516,1.61,1.46,1.54,229215632.0,MRGYO
2025-03-18,1.525,1.55,1.5,1.51,126093663.0,MRGYO
2025-03-19,1.397,1.46,1.36,1.36,108752117.0,MRGYO
2025-03-20,1.375,1.41,1.34,1.36,76318992.0,MRGYO
2025-03-21,1.266,1.35,1.23,1.23,85550298.0,MRGYO
2025-03-24,1.226,1.27,1.18,1.22,165801856.0,MRGYO
2025-03-25,1.258,1.28,1.23,1.27,87359134.0,MRGYO
2025-03-26,1.285,1.34,1.24,1.32,115116340.0,MRGYO
2025-03-27,1.336,1.37,1.31,1.32,74430215.0,MRGYO
2025-03-28,1.33,1.37,1.3,1.37,46933149.0,MRGYO
2025-04-02,1.393,1.41,1.36,1.39,41176498.0,MRGYO
2025-04-03,1.464,1.51,1.39,1.45,114721211.0,MRGYO
2025-04-04,1.445,1.48,1.41,1.41,84471518.0,MRGYO
2025-04-07,1.369,1.4,1.34,1.38,112988333.0,MRGYO
2025-04-08,1.437,1.48,1.4,1.42,106729057.0,MRGYO
2025-04-09,1.418,1.46,1.39,1.39,102226626.0,MRGYO
2025-04-10,1.418,1.44,1.39,1.42,90247251.0,MRGYO
2025-04-11,1.438,1.48,1.39,1.45,141146576.0,MRGYO
2025-04-14,1.463,1.48,1.45,1.46,90648294.0,MRGYO
2025-04-15,1.491,1.54,1.46,1.47,153759505.0,MRGYO
2025-04-16,1.449,1.48,1.42,1.43,73745561.0,MRGYO
2025-04-17,1.452,1.48,1.43,1.45,88906525.0,MRGYO
2025-04-18,1.429,1.46,1.41,1.42,31578523.0,MRGYO
2025-04-21,1.401,1.43,1.39,1.39,42715273.0,MRGYO
2025-04-22,1.39,1.41,1.38,1.38,33278074.0,MRGYO
2025-04-24,1.402,1.42,1.38,1.41,40849168.0,MRGYO
2025-04-25,1.409,1.43,1.39,1.4,46693801.0,MRGYO
2025-04-28,1.384,1.41,1.37,1.37,44301326.0,MRGYO
2025-04-29,1.37,1.38,1.36,1.37,25803895.0,MRGYO
2025-04-30,1.34,1.37,1.32,1.32,30461137.0,MRGYO
2025-05-02,1.35,1.37,1.33,1.35,26732014.0,MRGYO
2025-05-05,1.426,1.45,1.36,1.41,131356126.0,MRGYO
2025-05-06,1.409,1.43,1.39,1.4,44468683.0,MRGYO
2025-05-07,1.379,1.41,1.35,1.36,51796193.0,MRGYO
2025-05-08,1.369,1.39,1.35,1.39,42519616.0,MRGYO
2025-05-09,1.383,1.41,1.37,1.38,42652314.0,MRGYO
2025-05-12,1.406,1.42,1.39,1.42,59232614.0,MRGYO
2025-05-13,1.424,1.45,1.39,1.44,78702813.0,MRGYO
2025-05-14,1.556,1.58,1.5,1.58,583854188.0,MRGYO
2025-05-15,1.702,1.73,1.62,1.73,161115800.0,MRGYO
2025-05-16,1.78,1.88,1.68,1.76,630477641.0,MRGYO
2025-05-20,1.699,1.79,1.6,1.62,312185981.0,MRGYO
2025-05-21,1.703,1.78,1.59,1.78,291353903.0,MRGYO
2025-05-22,1.775,1.84,1.72,1.72,316753029.0,MRGYO
2025-05-23,1.722,1.78,1.68,1.72,183389117.0,MRGYO
2025-05-26,1.826,1.89,1.69,1.89,336579038.0,MRGYO
2025-05-27,1.949,2.05,1.82,1.93,436347299.0,MRGYO
2025-05-28,2.024,2.12,1.85,2.01,412242930.0,MRGYO
2025-05-29,2.029,2.11,1.97,1.97,275683757.0,MRGYO
2025-05-30,1.904,1.98,1.85,1.87,165579745.0,MRGYO
2025-06-02,1.776,1.86,1.73,1.77,192382335.0,MRGYO
2025-06-03,1.795,1.84,1.75,1.76,154043831.0,MRGYO
2025-06-04,1.856,1.9,1.76,1.85,183613348.0,MRGYO
2025-06-05,1.878,1.92,1.82,1.9,70808668.0,MRGYO
2025-06-10,1.916,1.98,1.87,1.93,211709794.0,MRGYO
2025-06-11,1.881,1.92,1.85,1.87,145819710.0,MRGYO
2025-06-12,1.884,1.93,1.82,1.85,164216819.0,MRGYO
2025-06-13,1.714,1.77,1.67,1.75,151390618.0,MRGYO
2025-06-16,1.758,1.8,1.7,1.77,136427751.0,MRGYO
2025-06-17,1.752,1.78,1.73,1.75,78875354.0,MRGYO
2025-06-18,1.7,1.75,1.67,1.69,134951312.0,MRGYO
2025-06-19,1.818,1.85,1.69,1.85,311839334.0,MRGYO
2025-06-20,1.842,1.96,1.76,1.79,242203888.0,MRGYO
2025-06-23,1.767,1.82,1.73,1.76,130669133.0,MRGYO
2025-06-24,1.866,1.93,1.79,1.93,225202938.0,MRGYO
2025-06-25,2.08,2.12,1.94,2.02,492166294.0,MRGYO
2025-06-26,2.088,2.18,1.98,2.08,320053676.0,MRGYO
2025-06-27,1.984,2.1,1.92,2.0,238552857.0,MRGYO
2025-06-30,2.141,2.2,1.99,2.16,343851043.0,MRGYO
2025-07-01,2.243,2.35,2.14,2.3,404881719.0,MRGYO
2025-07-02,2.346,2.42,2.28,2.29,290081657.0,MRGYO
2025-07-03,2.264,2.33,2.22,2.25,223099325.0,MRGYO
2025-07-04,2.315,2.4,2.21,2.33,297045007.0,MRGYO
2025-07-07,2.281,2.36,2.24,2.24,212439554.0,MRGYO
2025-07-08,2.074,2.25,2.02,2.02,427595856.0,MRGYO
2025-07-09,1.997,2.05,1.93,2.01,232879380.0,MRGYO
2025-07-10,2.063,2.1,2.02,2.03,196350561.0,MRGYO
2025-07-11,2.021,2.06,1.99,2.04,127215805.0,MRGYO
2025-07-14,2.199,2.24,2.04,2.24,308876661.0,MRGYO
2025-07-16,2.277,2.34,2.2,2.26,391054587.0,MRGYO
2025-07-17,2.369,2.44,2.28,2.36,404744297.0,MRGYO
2025-07-18,2.384,2.46,2.33,2.39,344651527.0,MRGYO
2025-07-21,2.554,2.62,2.4,2.58,456858232.0,MRGYO
2025-07-22,2.57,2.62,2.52,2.56,399057696.0,MRGYO
2025-07-23,2.417,2.56,2.35,2.39,352623062.0,MRGYO
2025-07-24,2.511,2.62,2.39,2.62,463133330.0,MRGYO
2025-07-25,2.834,2.88,2.67,2.88,504003984.0,MRGYO
2025-07-28,2.944,3.02,2.82,2.93,536197164.0,MRGYO
2025-07-29,2.967,3.1,2.84,2.95,366046981.0,MRGYO
2025-07-30,2.828,2.98,2.73,2.88,295018320.0,MRGYO
2025-07-31,3.123,3.16,2.99,3.16,230400106.0,MRGYO
2025-08-01,3.289,3.43,3.18,3.21,660664231.0,MRGYO
2025-08-04,3.207,3.29,3.12,3.22,398426352.0,MRGYO
2025-08-05,3.272,3.38,3.16,3.27,351345370.0,MRGYO
2025-08-06,3.255,3.32,3.2,3.22,208240694.0,MRGYO
2025-08-07,3.345,3.5,3.18,3.28,505313182.0,MRGYO
2025-08-08,3.258,3.33,3.2,3.22,166143438.0,MRGYO
2025-08-11,3.272,3.33,3.22,3.26,226392169.0,MRGYO
2025-08-12,3.147,3.27,3.08,3.14,208457901.0,MRGYO
2025-08-13,3.099,3.18,3.04,3.05,146275726.0,MRGYO
2025-08-14,2.954,3.05,2.9,2.95,214920705.0,MRGYO
2025-08-15,2.937,3.02,2.89,2.93,133750806.0,MRGYO
2025-08-18,2.879,2.94,2.8,2.9,170849751.0,MRGYO
2025-08-19,2.998,3.1,2.9,2.93,277304846.0,MRGYO
2025-08-20,2.94,3.03,2.86,2.93,167943788.0,MRGYO
2025-08-21,2.982,3.02,2.94,2.99,126105969.0,MRGYO
2025-08-22,2.91,3.01,2.83,2.9,230115202.0,MRGYO
2025-08-25,2.893,2.94,2.86,2.9,115717172.0,MRGYO
2025-08-26,2.891,2.98,2.84,2.86,183973296.0,MRGYO
2025-08-27,2.812,2.89,2.73,2.75,135851142.0,MRGYO
2025-08-28,2.911,3.02,2.76,2.92,377439431.0,MRGYO
2025-08-29,2.918,3.01,2.86,2.87,203838795.0,MRGYO
2025-09-01,2.962,3.06,2.85,3.0,281801709.0,MRGYO
2025-09-02,3.013,3.14,2.86,3.03,369090910.0,MRGYO
2025-09-03,3.199,3.33,2.95,3.33,605199446.0,MRGYO
2025-09-04,3.599,3.66,3.38,3.66,690459078.0,MRGYO
2025-09-05,3.715,3.98,3.55,3.6,742157129.0,MRGYO
2025-09-08,3.568,3.78,3.4,3.45,434404573.0,MRGYO
2025-09-09,3.414,3.54,3.32,3.39,274854626.0,MRGYO
2025-09-10,3.465,3.67,3.37,3.4,400133663.0,MRGYO
2025-09-11,3.275,3.43,3.08,3.12,430477348.0,MRGYO
2025-09-12,3.046,3.12,2.99,3.02,205558769.0,MRGYO
2025-09-15,3.173,3.32,2.96,3.32,318385385.0,MRGYO
2025-09-16,3.366,3.44,3.3,3.35,294234452.0,MRGYO
2025-09-17,3.449,3.53,3.33,3.52,405060679.0,MRGYO
2025-09-18,3.566,3.68,3.45,3.47,548542144.0,MRGYO
2025-09-19,3.559,3.66,3.44,3.62,449441516.0,MRGYO
2025-09-22,3.64,3.73,3.59,3.61,271093621.0,MRGYO
2025-09-23,3.499,3.59,3.42,3.44,258948864.0,MRGYO
2025-09-24,3.484,3.6,3.35,3.51,364970445.0,MRGYO
2025-09-25,3.487,3.55,3.4,3.49,177946563.0,MRGYO
2025-09-26,3.413,3.47,3.38,3.38,155845750.0,MRGYO
2025-09-29,3.368,3.45,3.29,3.29,127699829.0,MRGYO
2025-09-30,3.343,3.44,3.29,3.33,208633927.0,MRGYO
2025-10-01,3.261,3.34,3.17,3.27,257389647.0,MRGYO
2025-10-02,3.285,3.36,3.21,3.22,155602507.0,MRGYO
2025-10-03,3.151,3.24,3.1,3.15,161188565.0,MRGYO
2025-10-06,3.116,3.18,3.05,3.11,107406988.0,MRGYO
2025-10-07,3.177,3.26,3.12,3.16,167173298.0,MRGYO
2025-10-08,3.169,3.24,3.09,3.11,211600734.0,MRGYO
2025-10-09,3.102,3.18,3.05,3.07,140608570.0,MRGYO
2025-10-10,3.117,3.18,3.06,3.15,179886631.0,MRGYO
