date,open,high,low,close,volume,symbol
2025-01-02,36.471,37.1,35.44,36.84,17174783.0,OYYAT
2025-01-03,37.699,38.62,36.56,38.14,22282746.0,OYYAT
2025-01-06,38.593,39.08,37.88,38.52,19524293.0,OYYAT
2025-01-07,38.602,39.24,37.9,38.06,9697937.0,OYYAT
2025-01-08,37.622,38.46,37.18,37.34,5916540.0,OYYAT
2025-01-09,37.883,38.7,37.34,38.04,6641067.0,OYYAT
2025-01-10,37.294,38.14,36.6,37.0,6174432.0,OYYAT
2025-01-13,36.27,37.7,35.42,35.44,7341022.0,OYYAT
2025-01-14,35.146,35.94,34.48,35.24,14853438.0,OYYAT
2025-01-15,34.996,35.5,34.7,35.18,5625980.0,OYYAT
2025-01-16,35.034,35.92,34.32,35.56,19657328.0,OYYAT
2025-01-17,35.392,35.92,34.94,35.66,5959273.0,OYYAT
2025-01-20,35.774,36.4,35.48,35.6,7525694.0,OYYAT
2025-01-21,34.915,35.6,34.5,34.88,7855151.0,OYYAT
2025-01-22,34.615,35.08,34.0,34.76,3856883.0,OYYAT
2025-01-23,34.609,35.08,34.3,34.3,9658000.0,OYYAT
2025-01-24,34.688,35.16,34.1,34.5,8607702.0,OYYAT
2025-01-27,34.052,34.48,33.76,34.2,6705908.0,OYYAT
2025-01-28,34.056,34.48,33.9,34.06,7204410.0,OYYAT
2025-01-29,33.523,34.18,33.06,33.06,7657646.0,OYYAT
2025-01-30,33.414,33.68,33.08,33.28,7078335.0,OYYAT
2025-01-31,33.183,33.44,33.0,33.34,4060069.0,OYYAT
2025-02-03,32.542,33.58,32.08,32.36,6725940.0,OYYAT
2025-02-04,32.305,32.64,32.0,32.64,4970938.0,OYYAT
2025-02-05,31.743,32.64,31.14,31.72,13538918.0,OYYAT
2025-02-06,32.026,32.26,31.72,32.12,3688386.0,OYYAT
2025-02-07,32.313,32.6,32.08,32.3,4338882.0,OYYAT
2025-02-10,32.203,32.56,32.0,32.38,6530734.0,OYYAT
2025-02-11,32.698,33.0,32.1,33.0,9146206.0,OYYAT
2025-02-12,32.308,33.2,31.62,31.82,8246351.0,OYYAT
2025-02-13,31.236,32.02,31.02,31.2,12272411.0,OYYAT
2025-02-14,31.138,31.42,31.0,31.12,4669002.0,OYYAT
2025-02-17,32.508,33.54,31.18,32.12,21406777.0,OYYAT
2025-02-18,31.742,32.28,31.4,31.86,10180164.0,OYYAT
2025-02-19,31.588,31.94,31.18,31.18,7367813.0,OYYAT
2025-02-20,31.755,32.76,31.06,31.76,12960092.0,OYYAT
2025-02-21,31.203,31.96,30.48,30.98,6151219.0,OYYAT
2025-02-24,31.495,31.88,30.82,31.58,7101769.0,OYYAT
2025-02-25,31.201,31.98,30.6,30.6,7538267.0,OYYAT
2025-02-26,29.799,30.62,29.5,29.56,13601001.0,OYYAT
2025-02-27,29.273,29.64,29.06,29.34,8461321.0,OYYAT
