date,open,high,low,close,volume,symbol
2025-01-02,6.776,6.87,6.67,6.8,17873384.0,PENGD
2025-01-03,6.856,6.92,6.77,6.91,17446332.0,PENGD
2025-01-06,7.036,7.16,6.84,7.09,22629594.0,PENGD
2025-01-07,7.062,7.15,7.01,7.01,16036730.0,PENGD
2025-01-08,6.916,7.05,6.79,6.82,23498177.0,PENGD
2025-01-09,6.902,7.0,6.8,6.91,20117370.0,PENGD
2025-01-10,6.847,6.94,6.77,6.79,14968274.0,PENGD
2025-01-13,6.618,6.78,6.52,6.53,20296607.0,PENGD
2025-01-14,6.487,6.57,6.39,6.43,17792079.0,PENGD
2025-01-15,6.443,6.61,6.35,6.5,22552545.0,PENGD
2025-01-16,6.577,6.7,6.48,6.7,13635924.0,PENGD
2025-01-17,6.698,6.74,6.65,6.68,11798918.0,PENGD
2025-01-20,6.773,6.86,6.71,6.72,16949400.0,PENGD
2025-01-21,6.723,6.9,6.62,6.81,21299679.0,PENGD
2025-01-22,7.353,7.49,7.06,7.49,58264113.0,PENGD
2025-01-23,7.519,7.95,7.1,7.1,214851109.0,PENGD
2025-01-24,7.274,7.5,7.0,7.37,136169004.0,PENGD
2025-01-27,7.286,7.44,7.16,7.16,42996875.0,PENGD
2025-01-28,7.09,7.26,7.0,7.06,33304699.0,PENGD
2025-01-29,7.117,7.24,6.99,7.0,44043207.0,PENGD
2025-01-30,6.998,7.05,6.95,6.97,15279387.0,PENGD
2025-01-31,7.084,7.26,6.89,7.23,42304744.0,PENGD
2025-02-03,7.049,7.19,6.95,7.0,29238316.0,PENGD
2025-02-04,7.029,7.11,6.93,6.93,19633500.0,PENGD
2025-02-05,6.854,7.0,6.71,6.83,26911724.0,PENGD
2025-02-06,6.922,7.0,6.83,7.0,24425215.0,PENGD
2025-02-07,7.092,7.23,6.96,7.17,29128307.0,PENGD
2025-02-10,7.079,7.23,6.98,7.03,19506688.0,PENGD
2025-02-11,7.002,7.06,6.95,7.02,26730482.0,PENGD
2025-02-12,7.054,7.14,6.96,7.07,38997311.0,PENGD
