date,open,high,low,close,volume,symbol
2025-01-02,214.259,215.6,212.8,215.6,1256536345.0,PGSUS
2025-01-03,221.847,225.0,216.2,223.7,3103437486.0,PGSUS
2025-01-06,223.738,225.0,222.0,222.0,1480149558.0,PGSUS
2025-01-07,221.146,222.9,218.6,218.6,1566023048.0,PGSUS
2025-01-08,220.289,223.0,217.5,218.8,1404735400.0,PGSUS
2025-01-09,220.247,222.7,218.3,219.5,1486930094.0,PGSUS
2025-01-10,218.745,221.4,215.9,216.2,1850597372.0,PGSUS
2025-01-13,211.958,217.3,208.0,210.3,1834911736.0,PGSUS
2025-01-14,212.211,213.8,210.1,211.5,1577153605.0,PGSUS
2025-01-15,214.083,216.8,211.8,212.9,1863116872.0,PGSUS
2025-01-16,214.831,216.7,213.2,215.0,1324976002.0,PGSUS
2025-01-17,220.13,223.5,214.2,223.0,2679259735.0,PGSUS
2025-01-20,224.18,225.8,222.5,223.6,1751412316.0,PGSUS
2025-01-21,222.409,224.2,219.7,220.5,1506900862.0,PGSUS
2025-01-22,224.84,228.0,220.3,228.0,2163000873.0,PGSUS
2025-01-23,228.687,231.8,226.3,231.2,2696981640.0,PGSUS
2025-01-24,229.221,231.2,227.5,230.2,1571465758.0,PGSUS
2025-01-27,230.531,232.8,226.3,231.2,2266783235.0,PGSUS
2025-01-28,230.911,233.8,227.5,233.3,3400143078.0,PGSUS
2025-01-29,231.745,235.7,228.7,233.3,3463333774.0,PGSUS
2025-01-30,234.698,238.0,232.2,232.5,2342873540.0,PGSUS
2025-01-31,234.103,235.2,232.5,234.5,1885505378.0,PGSUS
2025-02-03,234.035,236.7,231.0,232.5,2360335047.0,PGSUS
2025-02-04,226.328,234.8,222.1,222.2,3639532164.0,PGSUS
2025-02-05,222.846,226.0,219.8,223.1,2785123345.0,PGSUS
2025-02-06,229.518,232.2,224.5,230.5,2895234438.0,PGSUS
2025-02-07,235.58,239.3,228.4,238.8,2856243580.0,PGSUS
2025-02-10,236.77,239.1,234.2,235.9,1558658059.0,PGSUS
2025-02-11,234.264,238.1,230.0,237.8,1857829436.0,PGSUS
2025-02-12,236.919,239.3,233.3,238.0,2324767333.0,PGSUS
2025-02-13,243.733,246.4,239.2,245.5,2987255825.0,PGSUS
2025-02-14,243.104,246.7,240.8,242.0,1386642924.0,PGSUS
2025-02-17,242.068,244.3,238.6,243.6,1912078206.0,PGSUS
2025-02-18,246.523,249.1,242.7,247.1,2518175179.0,PGSUS
2025-02-19,245.005,248.2,242.1,242.4,1725307122.0,PGSUS
2025-02-20,244.33,247.2,242.2,243.3,1444031174.0,PGSUS
2025-02-21,241.713,245.4,236.2,240.0,1517672709.0,PGSUS
2025-02-24,240.815,242.6,238.3,238.5,1193569865.0,PGSUS
2025-02-25,234.628,241.5,231.5,232.1,2021603048.0,PGSUS
2025-02-26,232.584,234.0,230.8,232.5,1868259567.0,PGSUS
2025-02-27,237.533,242.2,231.5,238.7,2133218973.0,PGSUS
2025-02-28,239.123,241.3,235.6,239.0,2307380828.0,PGSUS
