date,open,high,low,close,volume,symbol
2025-01-02,23.151,24.46,22.44,22.58,64448749.0,PRKME
2025-01-03,23.215,23.98,22.44,23.18,85519879.0,PRKME
2025-01-06,23.006,23.42,22.7,22.76,34181804.0,PRKME
2025-01-07,22.7,23.12,22.48,22.98,32176647.0,PRKME
2025-01-08,22.518,23.4,22.2,22.24,34447598.0,PRKME
2025-01-09,22.553,23.06,22.18,23.06,25685421.0,PRKME
2025-01-10,22.549,23.06,22.26,22.32,21011513.0,PRKME
2025-01-13,22.182,22.44,21.94,22.1,20774710.0,PRKME
2025-01-14,22.999,24.3,21.8,21.98,125295041.0,PRKME
2025-01-15,21.755,22.2,21.38,21.74,18445392.0,PRKME
2025-01-16,21.92,22.24,21.56,22.18,26504613.0,PRKME
2025-01-17,21.882,22.32,21.62,21.88,24534545.0,PRKME
2025-01-20,21.857,22.26,21.54,21.56,23320743.0,PRKME
2025-01-21,21.407,21.92,21.16,21.22,21985971.0,PRKME
2025-01-22,21.233,21.48,21.1,21.16,13109082.0,PRKME
2025-01-23,21.202,21.34,21.06,21.26,9650122.0,PRKME
2025-01-24,21.307,22.0,21.14,21.4,11864190.0,PRKME
2025-01-27,21.029,21.38,20.78,20.9,10524954.0,PRKME
2025-01-28,21.092,21.4,20.88,21.12,13195715.0,PRKME
2025-01-29,20.66,21.18,20.28,20.5,18235396.0,PRKME
2025-01-30,20.555,20.98,20.32,20.5,9662828.0,PRKME
2025-01-31,20.38,20.62,20.2,20.5,6829455.0,PRKME
2025-02-03,19.939,20.5,19.69,19.91,15662610.0,PRKME
2025-02-04,20.124,20.34,19.91,20.2,10146926.0,PRKME
2025-02-05,19.895,20.56,19.62,19.83,8523061.0,PRKME
2025-02-06,20.014,20.28,19.84,20.28,8662706.0,PRKME
2025-02-07,20.257,20.64,20.0,20.28,15502107.0,PRKME
2025-02-10,20.211,20.4,20.0,20.1,12050626.0,PRKME
2025-02-11,20.425,20.82,19.96,20.5,37340193.0,PRKME
2025-02-12,20.18,20.78,19.98,19.99,19896055.0,PRKME
2025-02-13,19.993,20.28,19.91,20.0,10795814.0,PRKME
2025-02-14,19.835,20.26,19.64,19.77,10585750.0,PRKME
2025-02-17,19.899,20.12,19.79,19.83,9326536.0,PRKME
2025-02-18,19.583,19.83,19.45,19.6,9047229.0,PRKME
2025-02-19,19.438,19.77,19.05,19.31,10415796.0,PRKME
