date,open,high,low,close,volume,symbol
2025-01-02,22.527,22.94,22.0,22.28,95267566.0,RYSAS
2025-01-03,22.251,22.6,21.98,22.1,77274156.0,RYSAS
2025-01-06,22.108,22.4,21.94,22.08,50697696.0,RYSAS
2025-01-07,22.04,22.36,21.66,21.9,67472131.0,RYSAS
2025-01-08,22.225,22.64,21.8,21.94,116887858.0,RYSAS
2025-01-09,22.049,22.68,21.46,21.72,101465540.0,RYSAS
2025-01-10,21.599,21.88,20.84,21.2,64263716.0,RYSAS
2025-01-13,21.245,21.56,21.0,21.3,54959340.0,RYSAS
2025-01-14,21.422,22.0,21.2,21.7,73237455.0,RYSAS
2025-01-15,21.793,22.46,21.3,21.62,99502312.0,RYSAS
2025-01-16,21.662,22.0,21.54,21.64,50386346.0,RYSAS
2025-01-17,21.607,21.82,21.4,21.44,42769258.0,RYSAS
2025-01-20,21.023,21.82,20.42,21.0,74107084.0,RYSAS
2025-01-21,20.908,21.12,20.6,21.0,46936158.0,RYSAS
2025-01-22,20.89,21.48,20.52,20.96,52164292.0,RYSAS
2025-01-23,21.252,21.66,20.76,21.28,49674262.0,RYSAS
2025-01-24,21.602,21.98,20.4,21.7,77039658.0,RYSAS
2025-01-27,21.586,22.1,21.28,21.28,39696743.0,RYSAS
2025-01-28,21.036,21.44,20.76,21.0,63109478.0,RYSAS
2025-01-29,20.35,21.2,19.78,19.85,66418020.0,RYSAS
2025-01-30,19.485,20.12,19.19,19.19,71658863.0,RYSAS
2025-01-31,18.74,19.21,18.37,18.98,72926054.0,RYSAS
2025-02-03,18.893,19.86,18.33,18.85,52223277.0,RYSAS
2025-02-04,18.953,19.2,18.8,18.8,38278937.0,RYSAS
2025-02-05,18.771,19.2,18.61,18.76,34558774.0,RYSAS
2025-02-06,18.824,19.0,18.69,18.94,27514478.0,RYSAS
2025-02-07,18.996,19.26,18.83,19.22,41602991.0,RYSAS
2025-02-10,19.205,19.52,19.08,19.16,24879518.0,RYSAS
2025-02-11,19.199,19.41,18.99,19.34,27520920.0,RYSAS
2025-02-12,18.752,19.34,18.4,18.4,50797513.0,RYSAS
2025-02-13,18.182,18.5,17.85,18.43,46544029.0,RYSAS
2025-02-14,18.206,18.44,18.03,18.06,32736197.0,RYSAS
2025-02-17,18.184,18.5,18.0,18.06,24391687.0,RYSAS
2025-02-18,18.126,18.42,17.97,18.29,30025618.0,RYSAS
2025-02-19,18.578,19.13,18.16,18.29,59136505.0,RYSAS
2025-02-20,18.684,19.26,17.42,19.06,63022710.0,RYSAS
2025-02-21,19.197,19.66,18.71,19.05,96384271.0,RYSAS
2025-02-24,19.145,19.49,18.4,19.05,39443667.0,RYSAS
2025-02-25,18.977,19.15,18.56,18.74,36833885.0,RYSAS
2025-02-26,19.039,19.41,18.56,19.15,49463454.0,RYSAS
2025-02-27,19.155,19.41,18.98,19.17,41076328.0,RYSAS
2025-02-28,19.426,20.0,19.08,19.18,78404856.0,RYSAS
2025-03-03,19.249,19.54,19.09,19.23,38579002.0,RYSAS
2025-03-04,18.853,19.33,18.52,18.57,46800672.0,RYSAS
2025-03-05,18.21,18.99,17.99,18.05,50055646.0,RYSAS
2025-03-06,18.032,18.14,17.94,18.03,37003501.0,RYSAS
2025-03-07,18.206,18.52,17.91,18.16,36531180.0,RYSAS
2025-03-10,18.049,18.93,17.5,18.51,116544681.0,RYSAS
2025-03-11,18.408,18.69,18.0,18.48,75729285.0,RYSAS
2025-03-12,18.594,18.97,18.32,18.48,57616863.0,RYSAS
2025-03-13,18.545,18.79,18.42,18.5,33879193.0,RYSAS
2025-03-14,18.608,18.75,18.48,18.66,38076273.0,RYSAS
2025-03-17,18.778,18.97,18.54,18.69,32237025.0,RYSAS
2025-03-18,18.379,19.15,18.08,18.1,61607709.0,RYSAS
2025-03-19,16.578,17.5,16.29,16.29,64011531.0,RYSAS
2025-03-20,16.223,17.9,15.55,15.93,64084730.0,RYSAS
2025-03-21,14.64,16.4,14.34,14.34,58792143.0,RYSAS
2025-03-24,14.078,14.71,13.43,14.24,87860509.0,RYSAS
2025-03-25,14.965,15.66,14.31,15.53,92099579.0,RYSAS
2025-03-26,15.702,16.81,15.31,15.48,84032542.0,RYSAS
2025-03-27,15.758,16.01,15.55,15.77,52612093.0,RYSAS
2025-03-28,16.519,17.34,15.56,17.34,107215440.0,RYSAS
2025-04-02,17.309,17.64,16.86,17.21,99279286.0,RYSAS
2025-04-03,17.283,17.76,17.04,17.09,48513334.0,RYSAS
2025-04-04,16.941,17.43,16.53,16.61,44993135.0,RYSAS
2025-04-07,16.272,16.73,15.84,16.64,32806868.0,RYSAS
2025-04-08,16.661,16.83,16.53,16.55,22840753.0,RYSAS
2025-04-09,16.559,16.79,16.3,16.3,28747431.0,RYSAS
2025-04-10,16.4,16.63,16.1,16.2,23857476.0,RYSAS
2025-04-11,15.88,16.1,15.75,16.0,62222590.0,RYSAS
2025-04-14,16.031,16.49,15.64,15.64,78552046.0,RYSAS
2025-04-15,15.644,15.86,15.5,15.62,32859803.0,RYSAS
2025-04-16,15.561,15.8,15.0,15.41,30023710.0,RYSAS
2025-04-17,15.533,15.8,15.19,15.38,49049336.0,RYSAS
2025-04-18,15.246,15.48,15.16,15.31,31041614.0,RYSAS
2025-04-21,15.276,15.46,15.02,15.11,19663044.0,RYSAS
2025-04-22,15.001,15.21,14.82,14.9,16133922.0,RYSAS
2025-04-24,14.96,15.05,14.7,15.03,18757366.0,RYSAS
2025-04-25,15.561,16.31,14.84,15.27,61444558.0,RYSAS
2025-04-28,15.313,15.54,15.0,15.04,48919232.0,RYSAS
2025-04-29,15.094,15.29,14.92,14.93,30123051.0,RYSAS
2025-04-30,14.84,15.0,14.75,14.75,34452168.0,RYSAS
2025-05-02,15.356,15.82,14.61,15.3,204571363.0,RYSAS
2025-05-05,15.258,15.4,15.14,15.25,59567942.0,RYSAS
2025-05-06,15.815,16.1,15.26,16.0,147906479.0,RYSAS
2025-05-07,16.143,16.64,15.89,16.05,112447096.0,RYSAS
2025-05-08,16.329,16.7,15.91,16.06,144794101.0,RYSAS
2025-05-09,16.106,16.32,15.9,16.04,89449222.0,RYSAS
2025-05-12,16.236,16.38,16.05,16.28,68215604.0,RYSAS
2025-05-13,16.097,16.22,15.93,16.13,54895735.0,RYSAS
2025-05-14,16.083,16.25,15.94,15.94,27899407.0,RYSAS
2025-05-15,15.644,16.12,15.27,15.27,38052078.0,RYSAS
2025-05-16,15.241,15.43,15.01,15.18,45960344.0,RYSAS
2025-05-20,14.917,15.48,14.68,14.7,43386897.0,RYSAS
2025-05-21,14.587,14.84,14.41,14.55,55480051.0,RYSAS
2025-05-22,14.47,14.73,14.33,14.37,29204492.0,RYSAS
2025-05-23,14.129,14.4,13.8,13.88,52434476.0,RYSAS
2025-05-26,13.881,14.2,13.58,13.58,26931116.0,RYSAS
2025-05-27,13.72,13.92,13.54,13.59,64431186.0,RYSAS
2025-05-28,13.406,13.86,13.15,13.24,25611588.0,RYSAS
2025-05-29,13.295,13.43,13.04,13.23,40114755.0,RYSAS
2025-05-30,13.413,13.7,13.08,13.7,52522668.0,RYSAS
2025-06-02,13.422,13.72,13.11,13.11,30336936.0,RYSAS
2025-06-03,13.019,13.3,12.78,12.83,39301752.0,RYSAS
2025-06-04,13.822,14.11,12.5,14.11,173386309.0,RYSAS
2025-06-05,14.352,14.63,13.87,14.25,285018845.0,RYSAS
2025-06-10,13.883,14.23,13.66,13.72,58792494.0,RYSAS
2025-06-11,13.747,13.82,13.56,13.73,107437998.0,RYSAS
2025-06-12,13.618,13.77,13.37,13.41,42724268.0,RYSAS
2025-06-13,13.065,13.39,12.74,13.39,55674185.0,RYSAS
2025-06-16,13.517,13.66,13.32,13.59,122438744.0,RYSAS
2025-06-17,13.762,13.92,13.06,13.63,259028903.0,RYSAS
2025-06-18,13.594,13.8,13.41,13.59,111958767.0,RYSAS
2025-06-19,13.503,13.64,13.25,13.29,19650460.0,RYSAS
2025-06-20,12.782,13.4,12.6,12.6,106978951.0,RYSAS
2025-06-23,12.247,12.57,12.05,12.23,81723160.0,RYSAS
2025-06-24,12.827,13.05,12.38,13.05,162678487.0,RYSAS
2025-06-25,13.891,14.34,13.09,14.34,306800432.0,RYSAS
2025-06-26,14.32,14.52,13.98,14.12,181817400.0,RYSAS
2025-06-27,13.991,14.19,13.74,14.06,123678973.0,RYSAS
2025-06-30,15.031,15.46,14.05,15.46,526430047.0,RYSAS
2025-07-01,16.275,16.81,15.14,16.31,1031368817.0,RYSAS
2025-07-02,16.772,17.22,15.82,17.17,1101791050.0,RYSAS
2025-07-03,17.028,17.58,16.51,17.02,572423027.0,RYSAS
2025-07-04,17.028,17.14,16.89,17.04,191282307.0,RYSAS
2025-07-07,16.931,17.16,16.48,17.09,245802163.0,RYSAS
2025-07-08,17.338,18.26,16.91,17.0,253308330.0,RYSAS
2025-07-09,16.959,17.19,16.67,16.75,131227035.0,RYSAS
2025-07-10,16.984,17.12,16.79,16.99,128677382.0,RYSAS
