date,open,high,low,close,volume,symbol
2025-01-02,4.084,4.12,4.06,4.09,1905872233.0,SASA
2025-01-03,4.243,4.33,4.1,4.27,5698508488.0,SASA
2025-01-06,4.322,4.44,4.24,4.3,7952607073.0,SASA
2025-01-07,4.241,4.32,4.16,4.17,3966752753.0,SASA
2025-01-08,4.132,4.18,4.09,4.09,2749199004.0,SASA
2025-01-09,4.113,4.14,4.08,4.11,2241311668.0,SASA
2025-01-10,4.051,4.14,3.97,3.99,3275334038.0,SASA
2025-01-13,3.91,4.0,3.85,3.87,2779758868.0,SASA
2025-01-14,3.871,3.92,3.82,3.88,3065280471.0,SASA
2025-01-15,3.906,3.95,3.88,3.92,2844383569.0,SASA
2025-01-16,3.923,3.98,3.87,3.94,2050027930.0,SASA
2025-01-17,3.923,3.96,3.89,3.91,1755611535.0,SASA
2025-01-20,3.895,3.94,3.87,3.89,1810762307.0,SASA
2025-01-21,3.889,3.94,3.85,3.85,2360289892.0,SASA
2025-01-22,3.852,3.88,3.83,3.86,1401367422.0,SASA
2025-01-23,3.893,3.94,3.86,3.87,2139182521.0,SASA
2025-01-24,3.855,3.89,3.83,3.84,1377641468.0,SASA
2025-01-27,3.772,3.82,3.72,3.74,2451913918.0,SASA
2025-01-28,3.743,3.77,3.71,3.74,1558151944.0,SASA
2025-01-29,3.712,3.77,3.67,3.68,2237195850.0,SASA
2025-01-30,3.711,3.74,3.68,3.69,2320778165.0,SASA
2025-01-31,3.672,3.72,3.65,3.66,1439500791.0,SASA
2025-02-03,3.559,3.64,3.5,3.51,3582606494.0,SASA
2025-02-04,3.527,3.57,3.5,3.53,1714369343.0,SASA
2025-02-05,3.466,3.54,3.38,3.46,3810975266.0,SASA
2025-02-06,3.495,3.53,3.46,3.52,1368820784.0,SASA
2025-02-07,3.535,3.59,3.49,3.58,1929487923.0,SASA
2025-02-10,3.515,3.59,3.47,3.48,1840092468.0,SASA
2025-02-11,3.489,3.54,3.44,3.53,2334345303.0,SASA
2025-02-12,3.533,3.6,3.5,3.52,1750914040.0,SASA
2025-02-13,3.546,3.58,3.52,3.54,1606831114.0,SASA
2025-02-14,3.523,3.56,3.5,3.52,1606807826.0,SASA
2025-02-17,3.515,3.54,3.48,3.49,1269024883.0,SASA
2025-02-18,3.474,3.54,3.42,3.52,2582347283.0,SASA
2025-02-19,3.495,3.53,3.45,3.47,1887845021.0,SASA
2025-02-20,3.616,3.68,3.47,3.64,4586844060.0,SASA
2025-02-21,3.59,3.68,3.47,3.51,3047944210.0,SASA
2025-02-24,3.54,3.59,3.51,3.53,1470744346.0,SASA
2025-02-25,3.496,3.54,3.45,3.47,1221615200.0,SASA
2025-02-26,3.495,3.53,3.46,3.48,1239774338.0,SASA
2025-02-27,3.508,3.55,3.48,3.5,1491923385.0,SASA
2025-02-28,3.496,3.53,3.47,3.53,1222027722.0,SASA
2025-03-03,3.604,3.65,3.57,3.57,2078385485.0,SASA
2025-03-04,3.489,3.55,3.45,3.47,1220653119.0,SASA
2025-03-05,3.495,3.53,3.47,3.51,1785671311.0,SASA
2025-03-06,3.606,3.74,3.5,3.73,4268954086.0,SASA
2025-03-07,3.726,3.77,3.69,3.73,2235870077.0,SASA
2025-03-10,3.707,3.78,3.66,3.66,1772190769.0,SASA
2025-03-11,3.747,3.79,3.66,3.79,2923158670.0,SASA
2025-03-12,3.803,3.84,3.76,3.82,2392287981.0,SASA
2025-03-13,3.85,3.88,3.81,3.86,1809530305.0,SASA
2025-03-14,3.914,3.97,3.85,3.95,1923580024.0,SASA
2025-03-17,3.968,4.02,3.93,4.01,1655808602.0,SASA
2025-03-18,3.97,4.02,3.93,3.97,2384375935.0,SASA
2025-03-19,3.694,3.79,3.58,3.58,2040803177.0,SASA
2025-03-20,3.65,3.73,3.53,3.6,2210644422.0,SASA
2025-03-21,3.374,3.6,3.24,3.31,2046381769.0,SASA
2025-03-24,3.299,3.41,3.16,3.33,2048242375.0,SASA
2025-03-25,3.401,3.48,3.33,3.44,2259342283.0,SASA
2025-03-26,3.405,3.47,3.36,3.45,1581347028.0,SASA
2025-03-27,3.615,3.76,3.49,3.7,2432547808.0,SASA
2025-03-28,3.747,3.82,3.7,3.74,1665941538.0,SASA
2025-04-02,3.736,3.79,3.7,3.72,1145886279.0,SASA
2025-04-03,3.7,3.79,3.62,3.62,1567592354.0,SASA
2025-04-04,3.561,3.62,3.51,3.53,1434039878.0,SASA
2025-04-07,3.522,3.65,3.38,3.61,1622616656.0,SASA
2025-04-08,3.665,3.73,3.61,3.69,1180544784.0,SASA
2025-04-09,3.688,3.76,3.64,3.68,1406282943.0,SASA
2025-04-10,3.833,3.95,3.74,3.83,2319539073.0,SASA
2025-04-11,3.919,3.99,3.83,3.99,2520376949.0,SASA
2025-04-14,4.074,4.15,3.97,4.08,2772280164.0,SASA
2025-04-15,4.201,4.27,4.09,4.23,3936800973.0,SASA
2025-04-16,4.235,4.29,4.2,4.22,2675187628.0,SASA
2025-04-17,4.208,4.31,4.08,4.2,3928794638.0,SASA
2025-04-18,4.245,4.29,4.2,4.23,2187261269.0,SASA
2025-04-21,4.156,4.27,4.05,4.06,3122203762.0,SASA
2025-04-22,4.096,4.13,4.06,4.09,2210710046.0,SASA
2025-04-24,4.106,4.14,4.07,4.11,2225694606.0,SASA
2025-04-25,4.127,4.18,4.06,4.18,3245534373.0,SASA
2025-04-28,4.108,4.19,4.07,4.09,1804715269.0,SASA
2025-04-29,4.12,4.15,4.07,4.13,2134475080.0,SASA
2025-04-30,4.209,4.25,4.17,4.23,3743926310.0,SASA
2025-05-02,4.179,4.24,4.13,4.13,1829968097.0,SASA
2025-05-05,4.041,4.15,3.99,4.06,2559940647.0,SASA
2025-05-06,4.036,4.09,3.99,3.99,1345743452.0,SASA
2025-05-07,3.853,3.98,3.74,3.78,2307431218.0,SASA
2025-05-08,3.805,3.83,3.78,3.79,1187668535.0,SASA
2025-05-09,3.806,3.88,3.77,3.77,2166255621.0,SASA
2025-05-12,3.835,3.87,3.8,3.84,2293279858.0,SASA
2025-05-13,3.794,3.83,3.76,3.81,1775590561.0,SASA
2025-05-14,3.813,3.85,3.79,3.79,1214433139.0,SASA
2025-05-15,3.721,3.84,3.63,3.64,1461977268.0,SASA
2025-05-16,3.621,3.67,3.56,3.62,1452655749.0,SASA
2025-05-20,3.561,3.62,3.53,3.54,1097384999.0,SASA
2025-05-21,3.621,3.7,3.51,3.68,2689213430.0,SASA
2025-05-22,3.711,3.76,3.66,3.7,1933292903.0,SASA
2025-05-23,3.655,3.7,3.61,3.65,1578102158.0,SASA
2025-05-26,3.632,3.68,3.6,3.61,1029425753.0,SASA
2025-05-27,3.594,3.65,3.55,3.57,1236630403.0,SASA
2025-05-28,3.494,3.6,3.39,3.4,1804422735.0,SASA
2025-05-29,3.321,3.43,3.24,3.3,2441044655.0,SASA
2025-05-30,3.238,3.33,3.18,3.28,1887850730.0,SASA
2025-06-02,3.233,3.28,3.2,3.2,1011358591.0,SASA
2025-06-03,3.279,3.31,3.23,3.29,933972443.0,SASA
2025-06-04,3.312,3.35,3.26,3.33,933652562.0,SASA
2025-06-05,3.333,3.36,3.3,3.34,340027208.0,SASA
2025-06-10,3.376,3.4,3.34,3.39,926329350.0,SASA
2025-06-11,3.364,3.39,3.34,3.35,1099225843.0,SASA
2025-06-12,3.258,3.3,3.22,3.24,758600788.0,SASA
2025-06-13,3.082,3.12,3.04,3.11,1032679981.0,SASA
2025-06-16,3.117,3.15,3.08,3.1,923371651.0,SASA
2025-06-17,3.068,3.12,3.03,3.04,868004711.0,SASA
2025-06-18,2.963,3.05,2.92,2.93,1072729766.0,SASA
2025-06-19,2.909,2.97,2.85,2.86,799955567.0,SASA
2025-06-20,2.879,2.92,2.84,2.85,728706628.0,SASA
2025-06-23,2.784,2.82,2.76,2.78,652518523.0,SASA
2025-06-24,2.887,2.93,2.86,2.88,1252500608.0,SASA
2025-06-25,2.899,2.93,2.87,2.88,940152812.0,SASA
2025-06-26,2.882,2.92,2.86,2.87,802387514.0,SASA
2025-06-27,2.877,2.92,2.83,2.9,1106096242.0,SASA
2025-06-30,2.987,3.06,2.9,3.06,1666769931.0,SASA
2025-07-01,3.149,3.22,3.05,3.17,2210790512.0,SASA
2025-07-02,3.203,3.27,3.14,3.16,1796369077.0,SASA
2025-07-03,3.202,3.22,3.18,3.2,787951684.0,SASA
2025-07-04,3.182,3.21,3.16,3.18,641919632.0,SASA
2025-07-07,3.095,3.14,3.06,3.08,653653464.0,SASA
2025-07-08,3.038,3.12,2.99,3.0,903030067.0,SASA
2025-07-09,3.053,3.1,2.99,3.08,888635006.0,SASA
2025-07-10,3.236,3.33,3.1,3.24,2177694352.0,SASA
2025-07-11,3.254,3.34,3.19,3.23,1481806211.0,SASA
2025-07-14,3.258,3.31,3.19,3.19,2241916582.0,SASA
2025-07-16,3.185,3.26,3.09,3.14,2029237119.0,SASA
2025-07-17,3.199,3.23,3.17,3.21,1689758484.0,SASA
2025-07-18,3.195,3.22,3.16,3.17,1161747686.0,SASA
2025-07-21,3.223,3.25,3.19,3.22,1482912171.0,SASA
2025-07-22,3.237,3.27,3.2,3.21,1590076876.0,SASA
2025-07-23,3.236,3.27,3.21,3.23,1658674569.0,SASA
2025-07-24,3.257,3.28,3.23,3.24,1537962085.0,SASA
2025-07-25,3.188,3.26,3.12,3.12,1847432914.0,SASA
2025-07-28,3.155,3.19,3.12,3.13,1789191616.0,SASA
2025-07-29,3.129,3.16,3.08,3.08,1018739752.0,SASA
2025-07-30,3.112,3.15,3.08,3.1,987333602.0,SASA
2025-07-31,3.13,3.16,3.1,3.12,1234172780.0,SASA
2025-08-01,3.128,3.15,3.11,3.12,1047821111.0,SASA
2025-08-04,3.168,3.19,3.15,3.18,1320096217.0,SASA
2025-08-05,3.178,3.21,3.14,3.16,1084133922.0,SASA
2025-08-06,3.164,3.18,3.14,3.18,886274435.0,SASA
2025-08-07,3.214,3.25,3.17,3.17,1738814443.0,SASA
2025-08-08,3.372,3.47,3.15,3.39,5865957555.0,SASA
2025-08-11,3.428,3.49,3.38,3.4,2756715336.0,SASA
2025-08-12,3.344,3.41,3.31,3.31,1796539409.0,SASA
2025-08-13,3.441,3.55,3.3,3.5,3911818843.0,SASA
2025-08-14,3.578,3.64,3.49,3.55,4084778231.0,SASA
2025-08-15,3.79,3.9,3.55,3.9,5654874215.0,SASA
2025-08-18,4.234,4.29,4.07,4.29,6667827583.0,SASA
2025-08-19,4.345,4.55,4.15,4.27,12577523845.0,SASA
2025-08-20,3.994,4.11,3.89,3.96,7957422641.0,SASA
2025-08-21,4.152,4.35,3.98,4.35,10575018160.0,SASA
2025-08-22,4.618,4.78,4.46,4.78,17509086048.0,SASA
2025-08-25,5.166,5.25,4.93,5.25,17774558413.0,SASA
2025-08-26,5.374,5.66,5.16,5.16,29030652129.0,SASA
2025-08-27,5.045,5.21,4.88,4.89,16515780340.0,SASA
2025-08-28,4.915,5.02,4.77,4.83,9344931814.0,SASA
2025-08-29,4.756,4.91,4.59,4.69,10473868761.0,SASA
2025-09-01,4.673,4.8,4.55,4.58,12972141680.0,SASA
2025-09-02,4.632,4.76,4.4,4.62,16473243439.0,SASA
2025-09-03,4.561,4.7,4.47,4.52,8355467265.0,SASA
2025-09-04,4.531,4.63,4.42,4.43,8991813271.0,SASA
2025-09-05,4.479,4.58,4.39,4.43,15060080639.0,SASA
2025-09-08,4.152,4.42,3.99,3.99,12550435548.0,SASA
2025-09-09,3.952,4.05,3.87,3.91,10508365434.0,SASA
2025-09-10,3.948,4.02,3.9,3.92,5825677447.0,SASA
2025-09-11,3.86,3.99,3.72,3.75,7032663627.0,SASA
2025-09-12,3.656,3.77,3.59,3.6,6702464593.0,SASA
2025-09-15,3.788,3.96,3.53,3.96,10443787097.0,SASA
2025-09-16,4.116,4.21,4.0,4.03,13908788093.0,SASA
2025-09-17,4.118,4.24,4.01,4.21,10498881929.0,SASA
2025-09-18,4.16,4.26,4.03,4.03,7285435994.0,SASA
2025-09-19,4.062,4.11,3.97,4.07,9575581498.0,SASA
2025-09-22,4.222,4.32,4.14,4.19,10658156358.0,SASA
2025-09-23,4.066,4.13,3.99,4.01,6291859278.0,SASA
2025-09-24,3.989,4.07,3.88,3.99,9015818713.0,SASA
2025-09-25,4.105,4.16,4.05,4.07,8113934537.0,SASA
2025-09-26,3.992,4.05,3.92,3.94,5263432084.0,SASA
2025-09-29,3.873,3.95,3.78,3.8,5233344120.0,SASA
2025-09-30,3.767,3.82,3.72,3.75,5465811645.0,SASA
2025-10-01,3.488,3.54,3.41,3.52,8812495996.0,SASA
2025-10-02,3.436,3.54,3.37,3.38,13448048247.0,SASA
2025-10-03,3.337,3.41,3.28,3.34,5340329779.0,SASA
2025-10-06,3.27,3.36,3.21,3.23,4110147321.0,SASA
2025-10-07,3.24,3.3,3.2,3.22,4862830487.0,SASA
2025-10-08,3.207,3.26,3.16,3.16,3366122489.0,SASA
2025-10-09,3.184,3.26,3.1,3.11,4857213214.0,SASA
2025-10-10,3.107,3.15,3.07,3.12,4946399729.0,SASA
2025-10-13,3.043,3.09,3.01,3.02,4003666885.0,SASA
2025-10-14,3.042,3.08,3.0,3.08,4885107968.0,SASA
2025-10-15,3.064,3.14,3.0,3.13,5675260455.0,SASA
2025-10-16,3.123,3.2,3.05,3.06,5953065638.0,SASA
2025-10-17,3.036,3.09,2.98,3.03,4440038648.0,SASA
2025-10-20,3.071,3.14,3.0,3.11,4575512765.0,SASA
2025-10-21,3.038,3.09,3.01,3.01,3764384678.0,SASA
2025-10-22,3.026,3.06,3.0,3.01,2828592893.0,SASA
2025-10-23,3.145,3.3,3.01,3.13,15391186635.0,SASA
2025-10-24,3.183,3.25,3.12,3.16,8340338436.0,SASA
2025-10-27,3.175,3.22,3.14,3.16,3012734456.0,SASA
2025-10-28,3.142,3.18,3.1,3.1,1119367950.0,SASA
2025-10-30,3.104,3.15,3.05,3.06,3148175369.0,SASA
2025-10-31,3.074,3.11,3.04,3.07,3991889732.0,SASA
2025-11-03,3.15,3.19,3.08,3.12,6408752489.0,SASA
2025-11-04,3.026,3.07,3.0,3.03,4980467338.0,SASA
