date,open,high,low,close,volume,symbol
2025-01-02,78.84162,79.98929,77.50515,78.002,139515319.0,SELEC
2025-01-03,80.163185,81.9766,77.90262,81.6785,248968276.0,SELEC
2025-01-06,82.679115,83.417404,81.18168,83.0199,141262163.0,SELEC
2025-01-07,82.86891,83.46709,81.72819,83.169,91229998.0,SELEC
2025-01-08,83.140175,84.36138,81.03263,81.4798,94847563.0,SELEC
2025-01-09,81.17373,82.32438,80.03898,81.4301,65678022.0,SELEC
2025-01-10,81.10517,82.37407,79.24405,79.244,57740396.0,SELEC
2025-01-13,79.455696,80.43643,78.2504,79.5918,97370811.0,SELEC
2025-01-14,76.99143,80.48612,75.319115,75.9153,105914936.0,SELEC
2025-01-15,75.46518,76.46181,74.4745,75.5675,62936233.0,SELEC
2025-01-16,75.954056,77.50515,74.97133,75.7166,89749305.0,SELEC
2025-01-17,77.50118,78.995636,75.21974,77.0083,188230616.0,SELEC
2025-01-20,75.71259,76.95864,74.57387,76.4618,78720934.0,SELEC
2025-01-21,75.269424,76.80959,74.27577,74.4248,72794365.0,SELEC
2025-01-22,71.66047,74.67323,70.1521,71.891,129664826.0,SELEC
2025-01-23,72.23778,72.88465,71.14575,72.0897,94720346.0,SELEC
2025-01-24,72.75548,73.53053,71.74194,72.6859,103782873.0,SELEC
2025-01-27,71.09707,72.7356,70.052734,70.4502,71685563.0,SELEC
2025-01-28,68.76893,70.996704,67.568596,68.5622,157437633.0,SELEC
2025-01-29,68.68348,69.55591,67.568596,69.5559,116978723.0,SELEC
2025-01-30,69.514175,70.94703,68.66161,69.5559,123600107.0,SELEC
2025-01-31,68.69838,71.29481,66.47558,69.3572,237568096.0,SELEC
2025-02-03,68.60895,69.65527,66.77367,68.1648,173673509.0,SELEC
2025-02-04,68.11908,68.91003,67.568596,68.4629,53705183.0,SELEC
2025-02-05,66.93067,68.61194,65.33287,66.1278,68317946.0,SELEC
2025-02-06,66.185425,66.922714,65.38255,66.6246,68703688.0,SELEC
2025-02-07,67.73751,68.76098,66.177475,67.5686,108874143.0,SELEC
2025-02-10,65.94595,67.518906,65.08446,65.1838,76427564.0,SELEC
2025-02-11,64.13551,65.28318,63.39524,63.7927,92604756.0,SELEC
2025-02-12,64.098755,65.03477,62.84873,63.8921,205457304.0,SELEC
2025-02-13,64.25277,65.03477,62.89841,64.7367,90257256.0,SELEC
2025-02-14,65.35075,66.37621,64.637314,65.78,100858244.0,SELEC
2025-02-17,65.91019,66.87304,65.13414,65.78,108345494.0,SELEC
2025-02-18,66.04333,66.77367,64.88573,66.2768,116507105.0,SELEC
2025-02-19,66.18245,67.07177,65.08446,65.9291,106619640.0,SELEC
2025-02-20,66.876015,67.96606,65.28318,67.4195,93422110.0,SELEC
2025-02-21,67.37086,68.61194,65.18382,66.1278,153742434.0,SELEC
2025-02-24,65.541534,66.922714,64.836044,65.1838,93167203.0,SELEC
2025-02-25,63.24023,65.233505,61.954437,62.8487,129699707.0,SELEC
2025-02-26,64.22892,65.58128,62.351902,64.3392,179306696.0,SELEC
2025-02-27,64.09975,65.08446,63.246193,64.7367,70281865.0,SELEC
2025-02-28,64.95229,65.8297,63.89207,65.1838,88506497.0,SELEC
2025-03-03,66.6276,67.369865,65.73033,66.4756,194592429.0,SELEC
2025-03-04,67.058846,67.76733,65.8297,66.873,92318765.0,SELEC
2025-03-05,67.426506,68.363525,66.574936,68.3635,115103810.0,SELEC
2025-03-06,68.31284,68.95972,67.41955,68.9597,146063272.0,SELEC
2025-03-07,69.1177,69.95337,68.363525,68.8604,136702078.0,SELEC
2025-03-10,68.821594,69.307495,68.4132,68.4629,73308094.0,SELEC
2025-03-11,68.94083,69.50622,68.115105,69.3572,100304746.0,SELEC
2025-03-12,68.38339,69.50622,66.87304,66.873,116141477.0,SELEC
2025-03-13,67.62424,68.512566,66.922714,68.4132,95481715.0,SELEC
2025-03-14,68.81265,69.45654,67.86669,68.91,116491571.0,SELEC
2025-03-17,69.18825,70.54956,68.115105,69.6056,187214237.0,SELEC
2025-03-18,70.11136,71.24512,68.81066,71.0464,300566328.0,SELEC
