date,open,high,low,close,volume,symbol
2025-01-02,5.164,5.22,5.14,5.17,68492989.0,SNICA
2025-01-03,5.206,5.26,5.16,5.21,137706899.0,SNICA
2025-01-06,5.287,5.33,5.21,5.29,88059765.0,SNICA
2025-01-07,5.275,5.32,5.24,5.25,69625491.0,SNICA
2025-01-08,5.241,5.3,5.18,5.19,82058891.0,SNICA
2025-01-09,5.224,5.25,5.19,5.24,56939777.0,SNICA
2025-01-10,5.244,5.31,5.19,5.19,88335773.0,SNICA
2025-01-13,5.15,5.22,5.09,5.1,53608826.0,SNICA
2025-01-14,5.233,5.33,5.13,5.16,149839887.0,SNICA
2025-01-15,5.151,5.21,5.11,5.15,55056661.0,SNICA
2025-01-16,5.182,5.22,5.15,5.21,36354631.0,SNICA
2025-01-17,5.183,5.23,5.15,5.19,37496082.0,SNICA
2025-01-20,5.246,5.3,5.2,5.23,99078327.0,SNICA
2025-01-21,5.377,5.46,5.2,5.34,255961470.0,SNICA
2025-01-22,5.384,5.46,5.31,5.38,91413438.0,SNICA
2025-01-23,5.357,5.43,5.3,5.31,64749600.0,SNICA
2025-01-24,5.297,5.35,5.24,5.28,50187631.0,SNICA
2025-01-27,5.228,5.32,5.16,5.18,50092264.0,SNICA
2025-01-28,5.199,5.23,5.17,5.2,49973566.0,SNICA
2025-01-29,5.208,5.23,5.2,5.2,44526581.0,SNICA
2025-01-30,5.135,5.21,5.04,5.11,72351221.0,SNICA
2025-01-31,5.043,5.1,4.99,5.03,70770678.0,SNICA
2025-02-03,4.927,5.0,4.88,4.89,48654456.0,SNICA
2025-02-04,4.983,5.03,4.91,5.0,52446975.0,SNICA
2025-02-05,4.927,4.99,4.85,4.9,37216145.0,SNICA
2025-02-06,4.923,4.96,4.89,4.93,53976438.0,SNICA
2025-02-07,4.99,5.03,4.93,4.98,52538174.0,SNICA
2025-02-10,4.979,5.03,4.94,4.96,31389855.0,SNICA
2025-02-11,4.892,4.98,4.85,4.9,64010978.0,SNICA
2025-02-12,4.863,4.92,4.83,4.84,45426867.0,SNICA
2025-02-13,4.844,4.88,4.82,4.85,80123060.0,SNICA
2025-02-14,4.816,4.87,4.78,4.79,82304842.0,SNICA
2025-02-17,4.8,4.82,4.77,4.78,45015555.0,SNICA
2025-02-18,4.751,4.78,4.72,4.76,53418425.0,SNICA
2025-02-19,4.789,4.86,4.71,4.71,77431166.0,SNICA
2025-02-20,4.763,4.82,4.7,4.78,56073973.0,SNICA
2025-02-21,4.738,4.8,4.66,4.69,41481473.0,SNICA
2025-02-24,4.739,4.77,4.71,4.73,29592966.0,SNICA
2025-02-25,4.666,4.74,4.62,4.66,35179891.0,SNICA
2025-02-26,4.648,4.69,4.6,4.64,34983194.0,SNICA
2025-02-27,4.67,4.7,4.63,4.68,29985406.0,SNICA
2025-02-28,4.711,4.77,4.66,4.74,36482997.0,SNICA
2025-03-03,4.768,4.83,4.71,4.75,64426066.0,SNICA
2025-03-04,4.351,4.51,4.28,4.29,167726540.0,SNICA
2025-03-05,4.205,4.32,4.14,4.17,84172860.0,SNICA
2025-03-06,4.204,4.23,4.18,4.22,60804138.0,SNICA
2025-03-07,4.284,4.34,4.21,4.31,57101823.0,SNICA
2025-03-10,4.335,4.38,4.29,4.33,57095116.0,SNICA
2025-03-11,4.296,4.34,4.26,4.32,44760489.0,SNICA
2025-03-12,4.313,4.34,4.29,4.3,41090104.0,SNICA
2025-03-13,4.356,4.39,4.31,4.36,37255403.0,SNICA
2025-03-14,4.402,4.43,4.36,4.41,37495207.0,SNICA
2025-03-17,4.429,4.47,4.41,4.44,45280229.0,SNICA
2025-03-18,4.362,4.43,4.32,4.38,41280405.0,SNICA
2025-03-19,4.06,4.21,3.95,3.97,57373700.0,SNICA
2025-03-20,3.998,4.08,3.87,3.94,58713581.0,SNICA
2025-03-21,3.726,3.98,3.63,3.7,46972607.0,SNICA
2025-03-24,3.703,3.82,3.56,3.72,48934715.0,SNICA
2025-03-25,3.809,3.88,3.72,3.86,39886689.0,SNICA
2025-03-26,3.854,3.9,3.79,3.88,28290315.0,SNICA
2025-03-27,3.941,3.96,3.9,3.93,28765969.0,SNICA
2025-03-28,3.903,3.97,3.86,3.96,23494113.0,SNICA
2025-04-02,4.023,4.07,3.94,4.02,31597164.0,SNICA
2025-04-03,4.05,4.1,3.99,4.01,26529340.0,SNICA
2025-04-04,3.956,4.04,3.92,3.94,21272725.0,SNICA
2025-04-07,3.826,3.9,3.74,3.88,27604467.0,SNICA
2025-04-08,3.944,3.98,3.91,3.96,27717854.0,SNICA
2025-04-09,3.921,3.95,3.89,3.91,29557094.0,SNICA
2025-04-10,3.975,4.02,3.94,3.94,23251059.0,SNICA
2025-04-11,3.951,4.01,3.92,3.95,26976187.0,SNICA
2025-04-14,4.002,4.05,3.96,3.97,34628482.0,SNICA
2025-04-15,4.202,4.32,3.98,4.12,145855597.0,SNICA
2025-04-16,4.039,4.24,3.98,4.0,43850751.0,SNICA
2025-04-17,4.004,4.07,3.94,4.0,40155163.0,SNICA
2025-04-18,3.965,4.04,3.93,3.96,22317588.0,SNICA
2025-04-21,3.94,3.98,3.92,3.95,22111418.0,SNICA
2025-04-22,3.911,3.98,3.87,3.88,23271774.0,SNICA
2025-04-24,3.87,3.91,3.84,3.87,25231867.0,SNICA
2025-04-25,3.903,3.93,3.88,3.89,24778162.0,SNICA
2025-04-28,3.876,3.92,3.83,3.84,24293373.0,SNICA
2025-04-29,3.833,3.89,3.78,3.83,25542979.0,SNICA
2025-04-30,3.786,3.83,3.75,3.77,21699294.0,SNICA
2025-05-02,3.65,3.71,3.62,3.65,39935701.0,SNICA
2025-05-05,3.707,3.81,3.63,3.71,39465657.0,SNICA
2025-05-06,3.845,3.93,3.78,3.81,48622940.0,SNICA
2025-05-07,3.892,4.03,3.74,3.84,81635563.0,SNICA
2025-05-08,3.808,3.9,3.77,3.81,29874012.0,SNICA
2025-05-09,4.009,4.19,3.79,4.19,100216077.0,SNICA
2025-05-12,4.089,4.31,4.0,4.03,142087596.0,SNICA
2025-05-13,4.116,4.2,4.01,4.12,65714638.0,SNICA
2025-05-14,4.196,4.27,4.13,4.14,47487841.0,SNICA
2025-05-15,4.066,4.18,4.01,4.02,41581892.0,SNICA
2025-05-16,4.065,4.14,4.0,4.07,43563773.0,SNICA
2025-05-20,4.03,4.13,3.99,4.0,29810418.0,SNICA
2025-05-21,3.969,4.03,3.93,3.93,28955090.0,SNICA
2025-05-22,3.923,3.98,3.89,3.92,27139369.0,SNICA
2025-05-23,3.892,3.93,3.86,3.86,27068925.0,SNICA
2025-05-26,3.907,3.99,3.84,3.91,32193785.0,SNICA
2025-05-27,3.95,4.04,3.87,3.88,31334712.0,SNICA
