date,open,high,low,close,volume,symbol
2025-01-02,65.41031,69.27308,64.54539,64.5454,788697098.0,TKFEN
2025-01-03,64.1831,66.13787,62.554783,64.197,964445428.0,TKFEN
2025-01-06,65.14755,65.889046,64.14726,64.9933,365700787.0,TKFEN
2025-01-07,67.68159,69.12378,64.893745,67.2327,917278447.0,TKFEN
2025-01-08,65.5188,68.028946,64.0975,65.0928,632903024.0,TKFEN
2025-01-09,65.05797,65.889046,64.19704,64.8937,389474351.0,TKFEN
2025-01-10,65.65415,66.386696,64.74445,64.8937,238026992.0,TKFEN
2025-01-13,63.251495,65.19234,61.45995,61.8581,317710905.0,TKFEN
2025-01-14,63.21865,64.69469,61.70878,64.2966,410618294.0,TKFEN
2025-01-15,64.76933,65.98858,63.550087,65.7895,489592161.0,TKFEN
2025-01-16,65.81341,66.386696,64.94351,65.9388,365944524.0,TKFEN
2025-01-17,65.01816,66.884346,63.699383,64.7445,542322817.0,TKFEN
2025-01-20,64.86289,66.038345,63.84868,63.8984,421959755.0,TKFEN
2025-01-21,63.550087,64.59515,62.803608,63.2515,227722331.0,TKFEN
2025-01-22,62.97978,63.550087,62.50502,63.5501,230570634.0,TKFEN
2025-01-23,64.412025,65.09281,63.50032,64.1473,255022977.0,TKFEN
2025-01-24,63.202724,64.54539,62.554783,63.4506,233630244.0,TKFEN
2025-01-27,62.722992,63.40079,62.25619,63.2515,205236803.0,TKFEN
2025-01-28,63.63369,64.74445,62.1069,63.6994,295848690.0,TKFEN
2025-01-29,64.18907,65.391396,62.355724,62.7041,397520632.0,TKFEN
2025-01-30,63.306236,64.29656,62.40549,63.8984,221133194.0,TKFEN
2025-01-31,64.18708,65.19234,63.35103,63.4506,248607785.0,TKFEN
2025-02-03,62.535873,63.50032,61.410187,62.9031,223352741.0,TKFEN
2025-02-04,62.944942,63.699383,62.057133,62.8036,211603655.0,TKFEN
2025-02-05,60.165062,63.102203,59.021458,59.3698,520454293.0,TKFEN
2025-02-06,59.412613,60.414883,58.374516,60.2158,382003250.0,TKFEN
2025-02-07,60.927464,62.20643,59.469345,62.2064,260906555.0,TKFEN
2025-02-10,64.24083,65.889046,63.50032,64.2468,590949777.0,TKFEN
2025-02-11,65.459076,66.28717,63.550087,65.3416,470126149.0,TKFEN
2025-02-12,66.265274,67.43177,65.09281,67.2825,395473579.0,TKFEN
2025-02-13,67.35015,68.825195,65.98858,67.1829,363155564.0,TKFEN
2025-02-14,67.28745,68.5266,66.23741,68.0787,357587805.0,TKFEN
2025-02-17,67.652725,68.22801,66.884346,67.9792,227175250.0,TKFEN
2025-02-18,67.65671,68.874954,66.58576,67.6806,331429310.0,TKFEN
2025-02-19,68.79234,69.77073,67.182945,68.1782,352790223.0,TKFEN
2025-02-20,68.4221,69.27308,67.63083,68.9745,267451732.0,TKFEN
2025-02-21,67.880646,68.97449,66.93412,67.4318,238664234.0,TKFEN
2025-02-24,68.955574,70.06932,67.382,68.875,267876288.0,TKFEN
2025-02-25,68.744576,69.62143,67.97919,68.6759,177271943.0,TKFEN
2025-02-26,67.83089,69.024254,65.93881,68.5266,434710851.0,TKFEN
2025-02-27,70.41569,71.462746,68.12848,70.6665,247898846.0,TKFEN
2025-02-28,71.27762,72.35851,70.06932,70.0693,383211960.0,TKFEN
2025-03-03,70.74414,72.05993,68.97449,71.3135,337762848.0,TKFEN
2025-03-04,70.34701,71.76134,69.521904,69.6712,230148902.0,TKFEN
2025-03-05,72.37344,73.70218,70.21862,73.105,434347085.0,TKFEN
2025-03-06,73.95598,75.39419,72.90594,75.3942,328300645.0,TKFEN
2025-03-07,74.44965,75.14536,73.90124,74.4487,336947423.0,TKFEN
2025-03-10,77.19668,79.076805,74.19983,78.2308,674794131.0,TKFEN
2025-03-11,79.42616,81.46554,77.384796,81.2665,621544585.0,TKFEN
2025-03-12,83.41434,86.292755,78.82798,85.5463,1220541970.0,TKFEN
2025-03-13,87.44631,88.581955,85.297455,87.5867,561490176.0,TKFEN
2025-03-14,93.59729,96.34532,87.33782,96.3453,1386483890.0,TKFEN
2025-03-17,102.89939,105.90022,95.9472,105.9002,1956251240.0,TKFEN
2025-03-18,112.163666,115.65419,106.696465,112.4692,2745750642.0,TKFEN
2025-03-19,108.01026,112.767815,103.61102,106.6965,1339731131.0,TKFEN
2025-03-20,114.39314,117.34621,108.488014,117.3462,1167976810.0,TKFEN
2025-03-21,124.438736,128.99126,116.94808,128.6927,5129982999.0,TKFEN
2025-03-24,134.61868,138.74521,128.59312,129.3894,2717483895.0,TKFEN
2025-03-25,127.05141,134.26634,120.73024,129.9866,4335658392.0,TKFEN
2025-03-26,139.40808,142.92549,128.39407,142.9255,1620744942.0,TKFEN
2025-03-27,150.17427,153.4757,147.10576,148.7978,3031794058.0,TKFEN
2025-03-28,149.6189,154.76959,144.9161,149.2954,5076132425.0,TKFEN
2025-04-02,153.61305,164.22498,134.36589,134.3659,3707232522.0,TKFEN
2025-04-03,128.32141,134.66447,124.01473,124.811,2800925057.0,TKFEN
2025-04-04,131.66962,137.25226,125.30863,129.688,3946419378.0,TKFEN
2025-04-07,132.24191,142.6269,121.82507,142.3283,3791439660.0,TKFEN
2025-04-08,143.4311,150.78838,134.86354,142.3283,4235747783.0,TKFEN
2025-04-09,140.57259,144.11986,133.17152,133.1715,1730925284.0,TKFEN
2025-04-10,136.06187,140.23816,130.68327,131.6786,1880432559.0,TKFEN
2025-04-11,135.0228,140.13864,129.09077,132.8729,2151588800.0,TKFEN
2025-04-14,136.38934,142.82596,132.17622,139.641,1495923763.0,TKFEN
2025-04-15,140.13069,145.81187,133.17152,133.1715,1770964006.0,TKFEN
2025-04-16,133.39647,135.95837,131.4795,131.9772,1001512585.0,TKFEN
2025-04-17,137.36473,140.13864,132.27574,139.8401,1311655950.0,TKFEN
2025-04-18,139.93063,143.02502,134.86354,136.456,1048418033.0,TKFEN
2025-04-21,138.50833,142.42784,133.76869,138.2476,1020308637.0,TKFEN
2025-04-22,144.4901,147.80247,139.04381,145.4138,1463524899.0,TKFEN
2025-04-24,141.76497,147.20529,138.34709,141.7311,1279015295.0,TKFEN
