date,open,high,low,close,volume,symbol
2025-01-02,22.803,23.26,22.34,22.46,1758980986.0,TRALT
2025-01-03,22.619,22.86,22.38,22.54,1210006236.0,TRALT
2025-01-06,22.883,23.26,22.58,23.12,1875848852.0,TRALT
2025-01-07,23.43,23.68,23.12,23.5,2471058609.0,TRALT
2025-01-08,23.036,23.68,22.62,22.72,3665363741.0,TRALT
2025-01-09,22.932,23.12,22.72,23.1,1611981217.0,TRALT
2025-01-10,23.247,23.56,22.86,22.9,1669343107.0,TRALT
2025-01-13,22.484,23.12,21.98,22.12,1459370454.0,TRALT
2025-01-14,21.999,22.44,21.7,21.78,1143241842.0,TRALT
2025-01-15,21.866,22.12,21.54,21.98,1458012282.0,TRALT
2025-01-16,22.477,23.1,22.04,23.02,1474252147.0,TRALT
2025-01-17,23.102,23.34,22.8,23.24,1584227432.0,TRALT
2025-01-20,23.946,24.38,23.32,24.2,2297866879.0,TRALT
2025-01-21,24.231,24.5,23.96,24.16,1682577713.0,TRALT
2025-01-22,24.14,24.38,23.74,24.1,1688484683.0,TRALT
2025-01-23,24.386,24.72,24.1,24.34,1914679051.0,TRALT
2025-01-24,24.394,24.64,24.2,24.3,1107075617.0,TRALT
2025-01-27,23.847,24.16,23.52,23.8,1447416521.0,TRALT
2025-01-28,23.615,24.02,23.32,23.66,1917129111.0,TRALT
2025-01-29,23.467,24.08,22.72,22.78,1933110681.0,TRALT
2025-01-30,22.859,23.08,22.58,22.7,1202883235.0,TRALT
2025-01-31,22.836,23.1,22.58,22.58,1248589128.0,TRALT
2025-02-03,21.973,22.4,21.72,21.96,1111100587.0,TRALT
2025-02-04,22.192,22.54,21.98,22.16,1335592122.0,TRALT
2025-02-05,22.142,22.5,21.64,22.0,1668266470.0,TRALT
2025-02-06,22.923,23.6,22.14,23.2,3132587105.0,TRALT
2025-02-07,23.377,23.82,23.08,23.7,1740394609.0,TRALT
2025-02-10,23.85,24.14,23.52,23.98,1891863231.0,TRALT
2025-02-11,24.195,24.56,23.74,24.5,2128713139.0,TRALT
2025-02-12,25.452,26.04,24.54,25.5,2652745317.0,TRALT
2025-02-13,25.051,25.62,24.66,24.76,1542972336.0,TRALT
2025-02-14,25.003,25.26,24.66,25.08,1507533719.0,TRALT
2025-02-17,25.249,25.6,24.76,25.24,1265758742.0,TRALT
2025-02-18,25.006,25.34,24.7,25.02,1023997689.0,TRALT
2025-02-19,25.421,26.06,24.7,24.9,3758287240.0,TRALT
2025-02-20,25.084,25.36,24.82,24.88,1380098004.0,TRALT
2025-02-21,24.065,24.98,22.92,23.24,1965246635.0,TRALT
