date,open,high,low,close,volume,symbol
2025-01-02,6.494,6.59,6.43,6.48,37300704.0,ULUUN
2025-01-03,6.489,6.53,6.42,6.49,24223953.0,ULUUN
2025-01-06,6.691,6.81,6.53,6.78,55985409.0,ULUUN
2025-01-07,6.817,6.9,6.68,6.76,41186964.0,ULUUN
2025-01-08,6.802,6.94,6.64,6.64,69869238.0,ULUUN
2025-01-09,6.697,6.83,6.52,6.71,38153182.0,ULUUN
2025-01-10,6.772,6.87,6.63,6.85,67761949.0,ULUUN
2025-01-13,6.705,6.93,6.48,6.54,65471856.0,ULUUN
2025-01-14,6.49,6.59,6.37,6.38,29389106.0,ULUUN
2025-01-15,6.356,6.5,6.29,6.39,22079311.0,ULUUN
2025-01-16,6.362,6.45,6.31,6.36,25590578.0,ULUUN
2025-01-17,6.371,6.41,6.33,6.38,22694869.0,ULUUN
2025-01-20,6.39,6.45,6.33,6.37,31810388.0,ULUUN
2025-01-21,6.317,6.43,6.25,6.27,27767415.0,ULUUN
2025-01-22,6.275,6.31,6.26,6.26,15660289.0,ULUUN
2025-01-23,6.277,6.33,6.23,6.25,18580340.0,ULUUN
2025-01-24,6.359,6.41,6.25,6.33,40366196.0,ULUUN
2025-01-27,6.21,6.33,6.13,6.16,34452316.0,ULUUN
2025-01-28,6.096,6.2,6.04,6.06,36892593.0,ULUUN
2025-01-29,6.071,6.12,6.01,6.01,21622190.0,ULUUN
2025-01-30,5.966,6.05,5.88,6.0,30602235.0,ULUUN
2025-01-31,5.969,6.03,5.94,5.95,15340473.0,ULUUN
2025-02-03,5.841,5.93,5.77,5.78,13742387.0,ULUUN
2025-02-04,5.85,5.94,5.78,5.85,17600833.0,ULUUN
2025-02-05,5.749,5.87,5.66,5.72,11677300.0,ULUUN
2025-02-06,5.762,5.84,5.67,5.78,20491557.0,ULUUN
2025-02-07,5.828,5.9,5.76,5.9,11328941.0,ULUUN
2025-02-10,5.976,6.04,5.85,5.99,18411112.0,ULUUN
2025-02-11,5.966,6.04,5.89,6.04,12761431.0,ULUUN
2025-02-12,6.112,6.3,5.92,6.06,32022781.0,ULUUN
2025-02-13,6.51,6.66,6.0,6.35,309983981.0,ULUUN
2025-02-14,6.282,6.45,6.15,6.21,89094162.0,ULUUN
2025-02-17,6.216,6.3,6.16,6.19,27345047.0,ULUUN
2025-02-18,6.156,6.28,6.07,6.15,31570531.0,ULUUN
2025-02-19,6.19,6.26,6.09,6.1,22990747.0,ULUUN
2025-02-20,6.118,6.17,6.07,6.12,11625210.0,ULUUN
2025-02-21,6.051,6.14,5.93,5.95,18921850.0,ULUUN
2025-02-24,6.045,6.12,5.98,6.03,14122461.0,ULUUN
2025-02-25,6.044,6.51,5.88,5.9,23100292.0,ULUUN
2025-02-26,5.872,5.92,5.82,5.83,10063665.0,ULUUN
2025-02-27,5.873,5.92,5.83,5.88,12521746.0,ULUUN
2025-02-28,5.899,5.97,5.86,5.9,11002467.0,ULUUN
2025-03-03,5.892,5.95,5.84,5.84,16320957.0,ULUUN
2025-03-04,5.766,5.85,5.72,5.72,16359160.0,ULUUN
2025-03-05,5.804,5.85,5.74,5.85,14051456.0,ULUUN
2025-03-06,5.897,6.0,5.82,5.91,24257977.0,ULUUN
2025-03-07,5.925,5.99,5.88,5.97,25332924.0,ULUUN
2025-03-10,6.045,6.11,5.95,6.04,33183641.0,ULUUN
2025-03-11,6.037,6.13,5.89,6.06,41979116.0,ULUUN
2025-03-12,6.16,6.3,6.03,6.24,52737447.0,ULUUN
2025-03-13,6.307,6.4,6.19,6.31,33705196.0,ULUUN
2025-03-14,6.323,6.39,6.25,6.33,42617541.0,ULUUN
2025-03-17,6.592,6.85,6.36,6.72,82227532.0,ULUUN
2025-03-18,6.663,6.79,6.56,6.56,41219538.0,ULUUN
2025-03-19,6.158,6.35,5.91,5.91,45096986.0,ULUUN
2025-03-20,5.965,6.14,5.75,5.91,37172122.0,ULUUN
2025-03-21,5.512,5.93,5.35,5.46,30723694.0,ULUUN
2025-03-24,5.483,5.65,5.3,5.54,37179430.0,ULUUN
2025-03-25,5.683,5.77,5.59,5.75,26442559.0,ULUUN
2025-03-26,5.697,5.74,5.64,5.69,19200492.0,ULUUN
2025-03-27,5.784,5.84,5.71,5.73,24876741.0,ULUUN
2025-03-28,5.712,5.83,5.63,5.8,17175255.0,ULUUN
2025-04-02,5.857,5.9,5.76,5.87,18961612.0,ULUUN
2025-04-03,5.924,5.99,5.83,5.89,15157303.0,ULUUN
2025-04-04,5.915,6.09,5.79,5.8,28389933.0,ULUUN
2025-04-07,5.652,5.78,5.49,5.74,21678425.0,ULUUN
