date,open,high,low,close,volume,symbol
2025-11-20,15.62,15.62,15.62,15.62,14071261.0,VAKFA
2025-11-21,17.18,17.18,17.18,17.18,17339018.0,VAKFA
2025-11-24,18.89,18.89,18.88,18.89,1456764575.0,VAKFA
2025-11-25,18.144,19.39,17.01,17.01,9097787707.0,VAKFA
2025-11-26,16.053,17.62,15.31,15.31,2977445773.0,VAKFA
2025-11-27,15.797,16.45,15.24,15.62,2884472502.0,VAKFA
2025-11-28,14.881,15.83,14.31,14.4,1851288622.0,VAKFA
2025-12-01,14.786,15.7,14.23,14.35,2358806321.0,VAKFA
2025-12-02,14.38,14.59,14.22,14.36,1165775493.0,VAKFA
2025-12-03,14.398,14.68,14.19,14.19,1132387958.0,VAKFA
2025-12-04,14.222,14.35,14.13,14.14,1098643283.0,VAKFA
2025-12-05,13.869,14.16,13.66,13.72,740542833.0,VAKFA
2025-12-08,13.718,14.25,13.27,13.9,2118733945.0,VAKFA
2025-12-09,14.082,14.4,13.78,13.82,1418669031.0,VAKFA
2025-12-10,13.838,14.15,13.5,13.5,700895874.0,VAKFA
2025-12-11,13.432,13.59,13.26,13.33,418914577.0,VAKFA
2025-12-12,13.255,13.42,13.07,13.07,337022988.0,VAKFA
2025-12-15,13.631,14.17,13.07,13.45,1891429035.0,VAKFA
2025-12-16,13.428,13.6,13.29,13.3,464693310.0,VAKFA
2025-12-17,13.324,13.48,13.13,13.14,492699769.0,VAKFA
2025-12-18,13.236,13.39,13.11,13.12,478676487.0,VAKFA
2025-12-19,13.115,13.19,13.02,13.03,222600399.0,VAKFA
2025-12-22,12.897,13.1,12.6,12.6,578805822.0,VAKFA
2025-12-23,12.411,12.73,12.13,12.13,485928905.0,VAKFA
2025-12-24,11.951,12.23,11.66,11.66,410855829.0,VAKFA
2025-12-25,11.828,12.09,11.67,11.7,304085655.0,VAKFA
2025-12-26,11.568,11.72,11.44,11.45,265788278.0,VAKFA
2025-12-29,11.64,11.9,11.36,11.37,396459736.0,VAKFA
2025-12-30,11.249,11.47,11.11,11.2,366374964.0,VAKFA
2025-12-31,11.296,11.44,11.22,11.24,214797238.0,VAKFA
