date,open,high,low,close,volume,symbol
2025-01-02,33.349,33.84,33.04,33.14,2886666.0,VKING
2025-01-03,32.657,33.74,32.38,32.6,3114650.0,VKING
2025-01-06,32.634,32.98,32.36,32.9,2902890.0,VKING
2025-01-07,32.692,33.0,32.38,32.9,2406125.0,VKING
2025-01-08,32.882,33.5,32.48,32.56,2548382.0,VKING
2025-01-09,32.426,33.1,32.06,32.4,3070615.0,VKING
2025-01-10,32.106,32.96,31.56,32.32,2851667.0,VKING
2025-01-13,31.705,32.8,31.34,31.48,2299504.0,VKING
2025-01-14,30.136,34.5,29.0,33.48,8821755.0,VKING
2025-01-15,31.956,32.9,30.58,31.98,7255360.0,VKING
2025-01-16,30.982,31.78,30.54,30.98,4735266.0,VKING
2025-01-17,30.72,31.3,30.02,30.96,2746130.0,VKING
2025-01-20,30.855,31.22,30.48,30.8,1680435.0,VKING
2025-01-21,30.252,30.96,29.3,30.3,3048051.0,VKING
2025-01-22,29.941,30.86,29.26,30.1,2621319.0,VKING
2025-01-23,30.013,30.78,29.68,29.9,1774844.0,VKING
2025-01-24,29.884,30.38,29.56,30.0,2234195.0,VKING
2025-01-27,29.529,30.0,29.02,29.6,1879994.0,VKING
2025-01-28,29.556,29.88,29.1,29.72,2429421.0,VKING
2025-01-29,29.41,30.56,28.32,30.0,1884420.0,VKING
2025-01-30,29.68,30.06,29.22,29.9,1226854.0,VKING
2025-01-31,29.556,30.16,29.0,29.82,1468922.0,VKING
2025-02-03,29.014,29.78,28.54,29.1,1774236.0,VKING
2025-02-04,29.272,29.6,28.8,29.5,1461130.0,VKING
2025-02-05,29.035,29.5,28.52,28.8,1120360.0,VKING
2025-02-06,28.815,29.2,28.7,28.7,951607.0,VKING
2025-02-07,28.903,30.5,28.54,30.0,2156195.0,VKING
2025-02-10,29.283,29.88,29.02,29.28,1346359.0,VKING
2025-02-11,28.981,29.5,28.78,28.96,1140370.0,VKING
2025-02-12,29.038,29.64,28.78,28.8,1191787.0,VKING
2025-02-13,28.399,29.16,27.16,28.7,1110739.0,VKING
2025-02-14,28.366,28.68,28.0,28.5,713563.0,VKING
2025-02-17,28.591,29.08,28.28,28.34,1843453.0,VKING
2025-02-18,27.991,28.5,27.66,28.14,1874401.0,VKING
2025-02-19,27.72,28.4,26.8,27.5,1305293.0,VKING
2025-02-20,27.315,27.5,26.22,27.3,2131748.0,VKING
2025-02-21,27.414,27.9,26.8,26.96,1662468.0,VKING
2025-02-24,27.267,27.86,26.96,27.18,1777263.0,VKING
2025-02-25,26.945,27.84,26.48,26.5,1852608.0,VKING
2025-02-26,25.873,27.04,25.44,25.96,1830354.0,VKING
2025-02-27,26.322,26.92,25.54,26.28,1505387.0,VKING
2025-02-28,26.107,26.4,25.84,26.08,800229.0,VKING
2025-03-03,25.772,26.48,25.3,25.7,2081861.0,VKING
2025-03-04,24.843,25.7,24.5,24.8,2630517.0,VKING
2025-03-05,24.31,25.0,23.5,25.0,3225330.0,VKING
2025-03-06,25.438,25.8,25.02,25.48,2017982.0,VKING
2025-03-07,26.143,26.64,25.54,26.42,2339993.0,VKING
2025-03-10,28.496,29.06,26.5,29.04,8027795.0,VKING
2025-03-11,27.687,28.9,27.0,28.9,5735293.0,VKING
2025-03-12,28.165,28.9,27.5,27.8,3019240.0,VKING
2025-03-13,28.305,29.5,27.34,28.26,3895941.0,VKING
2025-03-14,27.894,28.98,27.1,28.46,3021981.0,VKING
2025-03-17,27.834,28.78,27.42,28.06,3866659.0,VKING
2025-03-18,27.19,27.96,26.58,27.0,3086759.0,VKING
2025-03-19,25.316,26.0,25.04,25.16,3164148.0,VKING
2025-03-20,25.656,26.48,25.1,25.28,2573063.0,VKING
2025-03-21,24.513,25.78,23.64,24.82,1999013.0,VKING
2025-03-24,24.671,25.5,24.0,24.62,1988647.0,VKING
2025-03-25,24.901,25.2,24.3,25.0,1938833.0,VKING
2025-03-26,25.026,25.3,24.78,25.2,2003423.0,VKING
2025-03-27,25.465,26.6,24.9,25.2,1955440.0,VKING
2025-03-28,25.071,25.72,24.8,25.0,2721028.0,VKING
2025-04-02,25.147,25.5,24.6,25.3,2115296.0,VKING
2025-04-03,25.355,25.68,25.0,25.22,2548642.0,VKING
2025-04-04,26.694,27.74,25.12,27.74,110933580.0,VKING
2025-04-07,29.417,30.5,28.0,30.5,18504352.0,VKING
2025-04-08,32.356,33.54,30.62,33.54,20815524.0,VKING
2025-04-09,32.42,34.0,31.1,32.0,15649862.0,VKING
2025-04-10,30.584,31.88,29.98,29.98,12771287.0,VKING
2025-04-11,28.765,30.0,28.28,28.92,7974264.0,VKING
2025-04-14,29.485,30.4,28.24,29.8,7703760.0,VKING
2025-04-15,28.945,29.78,28.4,29.0,6087065.0,VKING
2025-04-16,28.153,29.0,27.9,27.9,3393987.0,VKING
2025-04-17,27.953,28.44,27.2,27.8,2572187.0,VKING
2025-04-18,28.265,28.98,27.76,28.8,2441668.0,VKING
2025-04-21,28.699,29.26,28.18,28.2,3058611.0,VKING
2025-04-22,28.197,28.94,27.88,27.88,2328966.0,VKING
2025-04-24,27.384,27.88,27.0,27.58,4055022.0,VKING
2025-04-25,27.532,27.88,27.22,27.46,2077557.0,VKING
2025-04-28,27.401,27.84,27.0,27.08,2034570.0,VKING
2025-04-29,27.173,27.82,26.66,27.16,3495938.0,VKING
2025-04-30,26.867,27.4,26.5,26.7,2478041.0,VKING
2025-05-02,26.358,26.82,25.6,26.74,2022806.0,VKING
2025-05-05,28.258,29.4,27.0,29.4,8480559.0,VKING
2025-05-06,28.934,29.92,28.0,28.52,6231178.0,VKING
2025-05-07,27.435,28.34,27.02,27.4,3788554.0,VKING
2025-05-08,27.125,28.0,26.6,27.44,2958335.0,VKING
2025-05-09,27.173,27.44,26.82,27.2,1606505.0,VKING
2025-05-12,27.024,27.44,26.5,27.1,2676948.0,VKING
2025-05-13,27.744,28.5,27.04,27.92,3175575.0,VKING
2025-05-14,27.468,28.2,27.02,27.6,1720176.0,VKING
2025-05-15,27.482,27.88,26.88,27.18,2205901.0,VKING
2025-05-16,27.107,27.48,26.92,27.4,2196998.0,VKING
2025-05-20,27.396,27.76,27.1,27.58,1810078.0,VKING
2025-05-21,29.502,30.32,27.12,30.08,10276687.0,VKING
2025-05-22,28.976,29.88,28.2,28.2,5288885.0,VKING
2025-05-23,28.436,29.2,27.5,28.48,5241227.0,VKING
2025-05-26,27.794,28.6,27.5,27.74,2715285.0,VKING
2025-05-27,27.351,28.36,26.98,26.98,2425972.0,VKING
2025-05-28,26.99,27.64,26.54,26.54,2607836.0,VKING
2025-05-29,26.7,27.1,26.22,26.72,941134.0,VKING
2025-05-30,26.454,27.66,26.12,26.38,1524185.0,VKING
2025-06-02,25.878,26.36,25.08,25.76,1492952.0,VKING
