date,open,high,low,close,volume,symbol
2025-01-02,27.437,27.7,27.26,27.42,19414290.0,YATAS
2025-01-03,27.957,28.16,27.44,28.16,39390401.0,YATAS
2025-01-06,28.706,29.02,28.2,28.7,43972031.0,YATAS
2025-01-07,28.405,28.76,27.98,28.38,28640222.0,YATAS
2025-01-08,28.113,28.48,27.16,27.8,17596087.0,YATAS
2025-01-09,27.996,28.2,27.8,28.06,15731710.0,YATAS
2025-01-10,27.807,28.18,27.54,27.66,27460814.0,YATAS
2025-01-13,27.554,28.22,27.02,27.06,31005994.0,YATAS
2025-01-14,27.056,27.42,26.54,26.94,19645013.0,YATAS
2025-01-15,26.598,26.84,26.4,26.64,20536700.0,YATAS
2025-01-16,26.712,27.04,26.52,26.78,15484899.0,YATAS
2025-01-17,26.732,26.96,26.56,26.76,12021025.0,YATAS
2025-01-20,27.018,27.48,26.82,27.06,16686786.0,YATAS
2025-01-21,26.831,27.2,26.62,26.62,13271735.0,YATAS
2025-01-22,26.128,27.1,25.74,26.06,51422013.0,YATAS
2025-01-23,26.22,26.38,26.08,26.24,20685868.0,YATAS
2025-01-24,26.254,26.42,26.12,26.38,16553056.0,YATAS
2025-01-27,28.225,28.96,27.3,28.6,309815402.0,YATAS
2025-01-28,27.937,28.6,27.62,28.08,66304638.0,YATAS
2025-01-29,28.319,28.66,27.94,28.02,71726372.0,YATAS
2025-01-30,28.346,28.78,28.02,28.58,35098424.0,YATAS
2025-01-31,27.768,28.58,27.32,27.46,44377893.0,YATAS
2025-02-03,26.928,27.36,26.76,26.8,27949193.0,YATAS
2025-02-04,27.092,27.3,26.74,27.16,18989491.0,YATAS
2025-02-05,26.659,27.28,25.82,26.4,27742316.0,YATAS
2025-02-06,26.639,26.96,26.44,26.84,18142326.0,YATAS
2025-02-07,27.179,27.6,26.78,27.44,21460267.0,YATAS
2025-02-10,27.286,27.62,27.0,27.14,16070600.0,YATAS
2025-02-11,26.491,27.12,26.0,26.54,19222647.0,YATAS
2025-02-12,26.348,26.72,26.18,26.26,11279417.0,YATAS
2025-02-13,26.55,26.96,26.18,26.66,13435058.0,YATAS
2025-02-14,26.764,27.14,26.5,26.72,15947260.0,YATAS
2025-02-17,27.303,27.74,26.72,27.34,36791353.0,YATAS
2025-02-18,27.048,27.44,26.5,27.26,22982584.0,YATAS
2025-02-19,26.977,27.4,26.56,26.62,14435083.0,YATAS
2025-02-20,26.519,26.8,26.32,26.6,23402164.0,YATAS
2025-02-21,26.329,26.8,25.68,26.0,20138831.0,YATAS
2025-02-24,26.304,26.6,26.1,26.22,14877153.0,YATAS
2025-02-25,25.759,26.22,25.22,25.44,36131161.0,YATAS
2025-02-26,25.347,25.66,24.98,25.34,14977932.0,YATAS
2025-02-27,25.313,25.68,25.0,25.28,29144602.0,YATAS
2025-02-28,25.3,25.48,25.1,25.2,14443820.0,YATAS
2025-03-03,25.546,26.06,25.0,25.96,23833421.0,YATAS
2025-03-04,25.424,25.98,25.18,25.2,18423612.0,YATAS
2025-03-05,25.709,26.66,25.38,26.66,20011579.0,YATAS
2025-03-06,26.475,26.86,26.08,26.74,27259160.0,YATAS
2025-03-07,26.92,27.3,26.4,27.3,25505588.0,YATAS
2025-03-10,27.151,27.8,26.96,27.0,35591112.0,YATAS
2025-03-11,26.849,27.56,26.02,27.56,45647611.0,YATAS
2025-03-12,27.874,28.18,27.4,27.86,36319265.0,YATAS
2025-03-13,28.091,28.32,27.8,28.3,30420399.0,YATAS
2025-03-14,29.192,29.74,28.2,29.1,66995972.0,YATAS
2025-03-17,29.128,29.48,28.66,29.0,54373484.0,YATAS
2025-03-18,28.799,29.16,28.5,28.82,26587238.0,YATAS
2025-03-19,26.862,28.48,25.94,25.94,42905874.0,YATAS
2025-03-20,26.08,26.72,25.22,25.7,30766019.0,YATAS
2025-03-21,23.973,25.5,23.56,23.8,39690123.0,YATAS
2025-03-24,24.09,24.66,22.64,24.3,31511896.0,YATAS
2025-03-25,25.506,26.32,24.44,26.02,27394151.0,YATAS
2025-03-26,26.188,26.72,25.58,26.24,25484769.0,YATAS
2025-03-27,26.516,26.72,26.06,26.7,19384881.0,YATAS
2025-03-28,26.217,26.68,25.78,26.44,13851284.0,YATAS
2025-04-02,25.568,26.4,25.1,25.4,36674024.0,YATAS
2025-04-03,25.646,25.9,25.4,25.52,20308491.0,YATAS
2025-04-04,25.83,26.4,25.3,25.48,33169506.0,YATAS
2025-04-07,24.761,25.42,24.18,25.0,26342007.0,YATAS
2025-04-08,25.563,25.78,25.26,25.62,22514227.0,YATAS
2025-04-09,25.167,25.58,24.92,24.92,34709755.0,YATAS
2025-04-10,25.396,25.64,25.16,25.34,30061525.0,YATAS
